房间	Room
奠基宝典	
少量的	Slightly 
奠基秘册	
奠基经	
金刚宝典	
五戒奠基秘法	
中量的	Visibly	
辟谷要诀	
微草佛心宝典	
黄芽合一册	
五内琢玉通卷	
凌霄决意神功	
大量的	Greatly 
奔烈合一要诀	
凌霄摄神	
海量的	Massively	
御木诀	
元坤妙法	
醍醐灌顶之术	
凌霄沃野密卷	
赋灵术	
五泉涤心法	
先天罡气	
化伤术	
天霖诀	
天一真法	
水镜观心定	
同风诀	
归海诀	
九阴真水界	
罡煞合流	
金刚诀	
霹雳陨星	
五台覆灭诀	
三才飞星诀	
咒神宝典	
咒神	
急诵宝典	
霹雳归藏	
大日咒神	
多宝急诵卷	
西海归祖七签	
神佑记	
清心	
饕餮秘法	
震雷百炼纲要	
勾陈鲸吞纪要	
多宝沃野	
震雷百炼通卷	
赤霄宫佛心书	
六气神农通卷	
少林合一书	
凝珀诀	
炼制灵晶之术	
玉液炼形诀	
药典	
明目诀	
菁华诀	
灵息诀	
清心咒	
百草金石录	
开炉九诀	
归元诀	
新体诀	
入定之术	
洗心咒	
太上丹经	
秘宝：神农鼎	
太上内经	
无漏之身	
再造术	
道德清净法	
道心	
秘宝：离地焰光旗	
速炼法	
炼身法-速	
精炼法	
炼身法-精	
神炼法	
炼身法-神	
伐毛洗髓之术	
再造形神之术	
开天眼之术	
天道神丹	
天道神器	
赤炎覆天真言	
道基流光神雷	
阴阳流光真言	
急诵	
急诵秘法	
崩天经	
朱雀归藏九卷	
五戒急诵秘诀	
道基崩天密卷	
焚日金刚宝典	
东华咒神	
丙火急诵宝典	
御气崩天经	
丁火千钧秘诀	
鲸吞秘传	
长生辟谷要诀	
龙虎神视要诀	
赤霄宫神龟宝典	
赤炎佛心	
炽凰沃野丹方	
华山妙手	
御神妙手要诀	
玄牝重生法	
少林覆天真言	
御气陨星真言	
归藏要诀	
千钧	
崩天秘诀	
归源咒神九卷	
嵩山咒神九卷	
惊波归藏七签	
白帝宫归藏卷	
六气急诵九卷	
彻法归藏秘法	
壬癸崩天	
三才归藏	
合一册	
百炼	
玄武神农秘要	
黄庭鲸吞纪要	
嵩山鬼手宝册	
勾陈摄神典	
逆浪佛心记	
杜国真人佛心记	
百汇摄神秘要	
魂体寄生	
慧剑斩念	
玄机心光咒	
太乙金刚神雷	
壬水化伤	
崩天宝典	
咒神七签	
百炼要诀	
摄神记	
现在贤神佑要诀	
新境通慧	
百汇通慧典	
灵淬之法	
尤灵雁上仙燃灵诀	
辛金接天神雷	
阴阳九极	
急诵卷	
迅击秘诀	
百炼秘传	
少林鬼手密卷	
金雷合一记	
搜魂大法	
风水鉴定	
麒麟落花神雷	
崩天七签	
蓄神秘法	
五内混元式	
赤日奠基经	
百草阁咒神七签	
入道归藏经	
阴阳鬼手卷	
彻法归藏卷	
冥灵真法	
灵犀咒	
流光咒	
断岳先天一气咒	
现在贤清心真言	
斩天流光	
咒神秘法	
归藏卷	
咒神卷	
白虎崩天九卷	
辛金崩天经	
鬼手秘传	
鬼手要诀	
气摄经	
庚辛鲸吞秘传	
震雷神视秘法	
赤月饕餮纪要	
本源多宝纲要	
天金合一记	
庚金鬼手要诀	
周天神算	Universal Foresight
阴神夺舍	Lesser Possession
形容之蚀	
形容返照	
血骨炼形	
龟息诀	
五感之蚀	
五感返照	
蛰命法	
献祭	Sacrifice Offering
神智之蚀	
神智返照	
鼎炉吸真术	
天魔解体大法	
欺天	
窃天	
阳神夺舍	Greater Possession
气运之蚀	
气运返照	
九幽返照	
浊之躯	
护体血罡	
凝血神盾	
偷天	
换日	
秘宝：偷天七绝针	
碧光落花神雷	
归真覆天真言	
圆转剑	
通慧	
黄芽多宝	
大日决意要诀	
归真万古神功	
天心正法	
心印诀	Chant of Resonance
蜀山蓄神宝典	
初解流光咒	
飞星神雷	
知节回春咒	
忘情九极真言	
咒神九卷	
咒神秘诀	
知节急诵经	
龙虎崩天秘要	
佛心	
佛心典	
初解气摄	
东华归祖经	
玄关合一册	
化形圆转十三式	
大衍神算	Derivative Calculation
吸星掌	
幽淬之法	
大日金刚	
混元剑诀	
破灭十式	
破灭	
曳影	
神佑书	
气摄神功	
百炼纲要	
鲁绮思上仙气摄	
新境百炼纲要	
勾陈佛心	
大日鲸吞经	
太乙琢玉密卷	
鸿蒙蓄神	
御灵术	
彻法辟谷宝典	
流光真言	
天火天星	
圆转决	
混元宝典	
天火千钧剑	
丁火迅影剑	
燃魂破灭决	
微草破灭七式	
赤炎破灭式	
炽凰蓄神	
鲸吞纪要	
鲸吞秘法	
神视经	
丙火百炼纲要	
少林摄神密卷	
天火合一	
托体同山诀	
紫薇震地咒	
逆浪落花诀	
东华镇神诀	
决意秘要	
过去庄严沃野宝册	
神视	
神视宝典	
神佑密卷	
勾陈决意密卷	
万源归真摄神典	
修蛇通慧书	
金丹神农药典	
五台清心神功	
化形摄神书	
万源归真摄神册	
风月幻境	
赤日通慧记	
紫云宫鲸吞	
御气急诵秘诀	
长生通天咒	
通天诀	
坤元密卷	
迅影七式	
坤元宝典	
圆转秘法	
甲木圆转十式	
入道破灭秘诀	
乙木蓄神	
冷月迅击剑	
华山千钧剑诀	
东海蓄神七式	
长生迅击十式	
况承真人神龟纪要	
百炼通卷	
万木决意经	
赤日多宝秘要	
苍木百炼通卷	
苍龙气摄	
现在贤百炼秘法	
紫霄妙手通卷	
大日五气	
天星真言	
奠基	
奠基密卷	
少林急诵	
鲸吞	
百汇决意秘传	
大日鲸吞纪要	
武当佛心宝典	
未来星宿百炼密卷	
南海辟谷纪要	
时氏多宝通卷	
玄武千钧剑	
百炼诀	
博物志	
上清真气	
灵淬法	
炼器十要	
炼制灵石之术	
琢玉册	
丙丁雷泽火	
神火合一·雷泽	
上清先天真焰	
神火合一·上清	
心焰	
神火合一·心焰	
上清秘传造化真解	
彻法无形神雷	
现在贤落花真言	
知节覆天	
微草清心要诀	
炽凰神佑	
入道饕餮神功	
紫火神视	
炽凰决意秘传	
未来星宿万古经	
六气千钧	
大日燃灵神雷	
六气不坏神雷	
东华覆天咒	
崩天卷	
沃野	
丙丁咒神秘诀	
大日急诵经	
赤日归祖宝典	
玄关咒神	
嵩山归藏	
清心纪要	
清心神功	
决意密卷	
天火决意秘法	
忘情辟谷要诀	
太乙辟谷神功	
燃魂辟谷秘传	
六壬神算	Astrological Foresight
过去庄严落花咒	
玄金金刚真言	
归藏九卷	
五内咒神秘诀	
入道妙手秘法	
御气鬼手通卷	
三才神佑密卷	
赤霄宫沃野秘要	
斩天神视经	
御神通慧典	
辛金合一	
玄金决意纪要	
沃野丹方	
飞星真言	
己土回魂咒	
微草陨星诀	
万里合一	
炎神殿咒神秘诀	
五戒崩天	
新境归藏卷	
地龙辟谷秘诀	
归真破灭秘诀	
合一书	
通慧秘法	
佛心书	
黄芽通慧记	
彻法沃野宝册	
入道鲸吞	
华山神佑册	
六气神佑宝典	
地龙饕餮	
回春咒	
逆浪陨星神雷	
急诵密卷	
崩天九卷	
归藏宝典	
多宝	
金丹通慧书	
入道鬼手	
彻法多宝宝册	
太阴锻体	
少阴锻体	
玄阴锻体	
神行术	
瞬形法	
九州大法	
辟邪真法	
幽剑	
地母玄经	
摄神御鬼大法	
九幽炼神	
尘暴术	
八极炼形诀	
灵视神观	
太虚元罡	
太虚神盾	
瞬霎诀	
太阴诀	
少阴诀	
玄阴诀	
渊狱诀	
幽狱诀	
通幽秘传	
坤元真气	
厚德篇	
虚空谒神法	
坏灭诀	
一剑	
秘宝：一剑	
丙火圆转剑	
五方真言	
朱雀不朽真言	
凌霄天星	
迅击七式	
蓄神十式	
黄芽圆转十式	
辟谷神功	
朱雀神佑记	
黄庭气摄神功	
金丹佛心	
入道饕餮	
化形神农宝册	
太乙鲸吞	
五印刻神	
天魔舞	
六气九极咒	
真丹妙手药典	
苍龙多宝纲要	
苍木妙手宝册	
忘情多宝宝典	
寒月琢玉密卷	
金雷落花真言	
初解金刚	
震雷金刚真言	
千钧秘诀	
蓄神	
圆转	
天金坤元宝典	
道基混元	
少林坤元七式	
归祖	
御气百炼纲要	
邢氏归祖秘要	
震雷清心秘传	
断岳鲸吞神功	
御神琢玉秘要	
忘情神佑记	
星辰气摄经	
白帝宫迅击剑	
镇神真言	
牟家镇神诀	
微草流光	
太乙震地	
归藏	
咒神要诀	
勾陈急诵秘法	
赤霄宫归藏宝典	
辛金急诵秘诀	
断岳咒神	
庚辛崩天秘要	
庚辛鲸吞纪要	
百炼密卷	
神视秘要	
霹雳神佑要诀	
辛金多宝宝册	
白虎多宝宝册	
真丹摄神典	
长生饕餮神功	
霹雳妙手秘要	
分神之术	
道基不朽	
坤元秘诀	
圆转要诀	
琢玉宝典	
黄庭琢玉	
阴阳琢玉宝册	
甘霖术	
五方	
圆转秘诀	
混元	Hybrid
蜀山坤元剑诀	
真丹迅影剑诀	
玄机圆转秘法	
金雷曳影秘诀	
辛金蓄神秘诀	
百炼秘要	
金雷决意要诀	
真丹琢玉通卷	
知节合一典	
玄机多宝密卷	
六气金钟真言	
燃魂不朽神雷	
朱雀震地诀	
金刚经	
金刚密卷	
初解奠基经	
武当金刚密卷	
颛孙斌上仙奠基秘册	
居紫雪上仙奠基秘册	
奔烈奠基经	
归祖神功	
焚日清心	
知节摄神典	
阴阳通慧	
入道多宝秘传	
玄机神视纪要	
真武录	
司南经	
洞心咒	
天枢诀	
天枢剑意	
秘宝：天枢剑	
天璇诀	
天璇剑意	
秘宝：天璇剑	
天玑诀	
天玑剑意	
秘宝：天玑剑	
天权诀	
天权剑意	
秘宝：天权剑	
玉衡诀	
玉衡剑意	
秘宝：玉衡剑	
开阳诀	
开阳剑意	
秘宝：开阳剑	
摇光诀	
摇光剑意	
秘宝：摇光剑	
劫心咒	
赦心咒	
雷暴术	
北斗剑界	
星斗之眼	
北斗绝式-七星诀	
北斗绝式-北极剑	
北斗绝式-归一剑	
御气混元秘诀	
碧光开天神雷	
金刚秘法	
南海迅击	
决意纪要	
神龟秘传	
苍木百炼密卷	
阴阳合一书	
真丹鬼手秘法	
东海气摄秘传	
暴雨术	Rainstorm
归源清心	
壬水镇神咒	
白帝宫金刚宝典	
归源琢玉	
赤霄宫辟谷经	
壬水鲸吞神功	
百草阁清心秘传	
未来星宿万古秘要	
冷月合一宝典	
焚风术	
腾岳化伤咒	
麒麟流光真言	
奠基秘法	
金刚	
逯氏奠基经	
多宝秘传	
麒麟多宝纲要	
腾岳清心秘传	
彻法万古纪要	
大日多宝纲要	
地龙合一要诀	
麒麟多宝	
腾岳百炼宝册	
长生飞星神雷	
五气诀	
流光神雷	
崩天	
归藏秘要	
御气神农要诀	
多宝宝典	
乙木鬼手	
万木鲸吞	
化形百炼纲要	
真丹神农	
紫薇琢玉宝册	
紫霄万古纪要	
五台琢玉通卷	
南海蓄神剑诀	
镇岳蓄神秘要	
阴阳清心	
玄关决意	
炎神殿百炼纲要	
星辰鬼手秘法	
戊己决意	
行疆决意秘传	
蓄神七式	
甘霖	
黄芽不坏咒	
黄庭金刚	
五戒金刚经	
燃魂金刚秘法	
炽凰奠基宝典	
奔烈金刚经	
妙手丹方	
丙丁气摄经	
龙虎辟谷	
范家合一记	
凌霄神视神功	
赤日神视纪要	
丙丁神视	
星辰通慧秘要	
蜀山急诵	
三才七星真言	
天星	
冷月镇神神雷	
迅击决	
寇豪真人鬼手宝册	
凝光百炼宝典	
长生清心纪要	
归源妙手宝册	
心斋	
养吾经	
寄情之术	
坐忘论	
七情剑	
如意幻境	
同心诀	
脱胎换骨	
长生诀	
心剑	
太上忘情	
秘宝：清宁飞羽	
风神云体	
斩道见我	
斩念剑	
极情剑	
南海心光咒	
不坏真言	
飞星诀	
行疆不朽真言	
蓄神密卷	
迅击剑诀	
圆转七式	
大日曳影秘法	
知节混元要诀	
华山迅影秘要	
戊己神农丹方	
琢玉	
黄芽摄神	
万里神佑书	
彻法琢玉	
太乙鬼手通卷	
坤元气摄经	
化形飞星咒	
六气流光诀	
坤元燃灵诀	
归藏秘诀	
五台崩天经	
鲸吞要诀	
地龙鬼手通卷	
西海琢玉秘传	
西海鬼手	
单于凡柔真人琢玉宝册	
蔺晶上仙鬼手秘法	
造化百炼秘要	
惊波落花诀	
逆浪甘霖咒	
百汇覆天神雷	
真丹覆天神雷	
紫薇金刚经	
癸水金刚秘册	
彻法金刚	
神龟	
知节佛心书	
紫云宫妙手	
百草阁归祖	
万源归真百炼	
现在贤长青秘法	
玄武饕餮神功	
御气陨星咒	
四象诀	
忘情镇神神雷	
嵩山金钟真言	
坤元	
千钧秘法	
玄机金刚秘册	
神佑册	
龙虎沃野宝典	
赤月摄神要诀	
玄关归祖纪要	
鸿蒙摄神书	
驱云诀	
玄武落花咒	
黄庭通天	
太上覆灭咒	
迅影十三式	
迅击宝典	
破灭秘要	
神视秘传	
琢玉宝册	
逆浪琢玉	
太乙多宝宝典	
紫云宫佛心记	
壬水多宝要诀	
东华咒神卷	
先天一气神雷	
行疆陨星真言	
御气九极咒	
迅击秘要	
归藏经	
戊己崩天	
五戒蓄神经	
真丹归藏	
紫云宫归藏要诀	
麒麟崩天卷	
炎神殿奠基秘法	
天岭饕餮秘法	
白帝宫清心秘传	
淳于氏气摄神功	
地龙摄神	
鸿蒙饕餮	
迅击	
行疆混元秘法	
三才清心诀	
赤霄宫不坏	
武当不朽真言	
迅击经	
多宝七签	
阴阳崩天经	
天岭归藏	
嵩山神农通卷	
五台决意	
化形饕餮	
现在贤鲸吞纪要	
玄关神龟纪要	
归真清心秘要	
逆浪金刚	
奔烈神农宝册	
星辰急诵七签	
甲乙奠基宝典	
白虎千钧十式	
御气流光真言	
彻法陨星咒	
本源金刚神雷	
迅击十三式	
苍莽千钧	
新境圆转十式	
苍木破灭	
龙虎混元七式	
气摄纪要	
琢玉秘传	
妙手秘法	
五内鬼手要诀	
青龙多宝纲要	
大日决意	
太乙百炼纲要	
勾陈通慧秘法	
黄芽妙手宝册	
戊己迅影秘要	
归源琢玉宝典	
龙虎鲸吞纪要	
流光诀	
微量的	
沃野宝册	
天妖化血术	
造化流光	
赤月流光咒	
玄金燃灵神雷	
白帝宫先天一气神雷	
壬水天星诀	
南海七星	
鸿蒙飞星	
臧家化影	
断岳五气	
过去庄严流光真言	
腾岳镇神诀	
御神绝杀神雷	
归真先天一气诀	
白帝宫绝杀咒	
白帝宫落花神雷	
天金镇神咒	
长生镇神咒	
紫霄落花神雷	
星辰流光真言	
壬癸飞星神雷	
紫霄金钟真言	
嵩山化影神雷	
蜀山镇神诀	
癸水天星	
百汇四象	
蜀山十二都天咒	
御神飞星咒	
星辰十二都天咒	
华山天星咒	
太上不坏神雷	
紫云宫震地诀	
嵩山金刚神雷	
鸿蒙七星真言	
玉虚飞星诀	
勾陈流光诀	
蜀山五气真言	
嵩山流光神雷	
归真化伤咒	
造化镇神真言	
乜氏通天咒	
宗发	
单于凤鸾	
江彪	
祁盛	
鞠倩	
文荣	
戎子石	
尚易容	
靳承	
阴醉柳	
汝初彤	
