拜祖师	Venerar os Ancestrais
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>Ge Muer</font> estava de bom humor porque <font color=OBJCOLOR>conversar</font>, e não resistiu a <font color=OBJCOLOR>olhar para o teto</font> para relaxar.
4天 17:46	4d 17:46
门派中，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	Na seita, <font color=MYCOLOR>Ge Muer</font> enquanto <font color=OBJCOLOR>dançar</font>, de repente se sentiu sufocado.
4天 21:53	4d 21:53
天朗气清，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，不小心踢到了旁边的<font color=OBJCOLOR>灵石墙</font>。	Céu claro e ar puro, <font color=MYCOLOR>Ge Muer</font> enquanto <font color=OBJCOLOR>dançar</font>, acabou chutando sem querer <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado.
4天 22:37	4d 22:37
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Earth Origin
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	Ao meio-dia, <font color=MYCOLOR>Xi Shun</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>pão achatado</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	No período de Shen, <font color=MYCOLOR>Xi Shun</font> sozinho(a) <font color=OBJCOLOR>observar as nuvens</font>, e de repente a mente se encheu de pensamentos.
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Céu claro e ar puro, <font color=MYCOLOR>Xi Shun</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Xi Shun</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de lobo macho</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o dia já declinando e o coração preguiçoso, <font color=MYCOLOR>Xi Shun</font> enquanto <font color=OBJCOLOR>pintar e caligrafar</font>, de repente se sentiu sufocado.
3天 13:34	3d 13:34
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Com o céu claro e o ar puro, <font color=MYCOLOR>Xi Shun</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente se sentiu inexplicavelmente irritado.
5天 21:45	5d 21:45
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Thunder Bamboo
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Mao Yibai</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de vaca</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	Perto do meio-dia, <font color=MYCOLOR>Mao Yibai</font> enquanto <font color=OBJCOLOR>contemplar o céu</font>, de repente começou a chorar.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Céu limpo por mil léguas, <font color=MYCOLOR>Mao Yibai</font> enquanto <font color=OBJCOLOR>dar uma olhada</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Céu limpo por mil léguas, <font color=MYCOLOR>Mao Yibai</font> enquanto <font color=OBJCOLOR>pintar e caligrafar</font>, de repente começou a chorar.
4天 12:15	4d 12:15
万籁俱静，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>跳舞</font>时，突然很想家。	Com tudo em silêncio, <font color=MYCOLOR>Mao Yibai</font> enquanto <font color=OBJCOLOR>dançar</font>, de repente ficou com saudade de casa.
4天 23:20	4d 23:20
毛	Mao
依白	Yibai
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Dark Flame
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>Xiang Hui</font> estava feliz por estar vestindo algo que lhe caiu bem. Ao ver <font color=HECOLOR>Mao Yibai</font> passar, puxou conversa com ela sobre <font color=OBJCOLOR>Vila Jiuhua</font>.
3天 05:57	3d 05:57
晴空万里，<font color=MYCOLOR>项辉</font>静静的<font color=OBJCOLOR>读书品卷</font>，突然想起自己的<font color=OBJCOLOR>母亲阎凡柔</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Xiang Hui</font> em silêncio <font color=OBJCOLOR>ler livros e pergaminhos</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Yan Fanrou</font>.
5天 05:49	5d 05:49
日落时分，<font color=MYCOLOR>项辉</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得很气闷。	Ao pôr do sol, <font color=MYCOLOR>Xiang Hui</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente se sentiu sufocado.
5天 18:24	5d 18:24
<font color=MYCOLOR>项辉</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Xiang Hui</font> estava de bom humor porque <font color=OBJCOLOR>um cenário de paraíso</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
5天 19:22	5d 19:22
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Removedor de Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Céu limpo por mil léguas, <font color=MYCOLOR>Feng Mei</font> enquanto <font color=OBJCOLOR>observar as estrelas</font>, de repente começou a chorar.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>Feng Mei</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, achou que <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado era bem interessante…
4天 04:34	4d 04:34
天朗气清，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>读书品卷</font>时，脑海中突然浮现<font color=OBJCOLOR>奚顺</font>的模样。	Céu claro e ar puro, <font color=MYCOLOR>Feng Mei</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, de repente imaginou <font color=OBJCOLOR>Xi Shun</font>.
4天 23:34	4d 23:34
春节气氛，<font color=MYCOLOR>凤妹</font>一个人<font color=OBJCOLOR>书画</font>，突然思绪万千。	No clima do Ano-Novo Chinês, <font color=MYCOLOR>Feng Mei</font> sozinho(a) <font color=OBJCOLOR>pintar e caligrafar</font>, e de repente a mente se encheu de pensamentos.
5天 07:59	5d 07:59
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Manto Dourado
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com tudo em silêncio, <font color=MYCOLOR>Chang Zhiyong</font> enquanto <font color=OBJCOLOR>pintar e caligrafar</font>, de repente começou a chorar.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	No período de Yin, <font color=MYCOLOR>Chang Zhiyong</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente começou a chorar.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	<font color=MYCOLOR>Chang Zhiyong</font> estava conversando com <font color=HECOLOR>Mao Yibai</font> quando <font color=HECOLOR>Mao Yibai</font> de repente notou as <font color=OBJCOLOR><font color=OBJCOLOR>Calças Finas de Couro de Javali</font></font> que <font color=MYCOLOR>Chang Zhiyong</font> estava usando. Então, ele contou a ela a origem das <font color=OBJCOLOR><font color=OBJCOLOR>Calças Finas de Couro de Javali</font></font>. <font color=HECOLOR>Mao Yibai</font> ficou impressionada ao ouvir.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu claro e o ar puro, <font color=MYCOLOR>Chang Zhiyong</font> enquanto <font color=OBJCOLOR>se divertir</font>, de repente teve um lampejo e ganhou muitas novas percepções sobre o Dao Celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Chang Zhiyong</font> em silêncio <font color=OBJCOLOR>olhar para o teto</font>, e de repente lembrou de <font color=OBJCOLOR>seu pai Chang Xuezhi</font>.
4天 14:12	4d 14:12
日斜心慵，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>简安露</font>的模样。	Com o dia já declinando e o coração preguiçoso, <font color=MYCOLOR>Chang Zhiyong</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente imaginou <font color=OBJCOLOR>Jian Anlu</font>.
5天 13:48	5d 13:48
新春喜庆，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>看天花板</font>时，脑海中突然浮现<font color=OBJCOLOR>南门墨竹</font>的模样。	Com a alegria do Ano-Novo, <font color=MYCOLOR>Chang Zhiyong</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente imaginou <font color=OBJCOLOR>Nanmen Mozhu</font>.
5天 20:24	5d 20:24
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Céu limpo por mil léguas, <font color=MYCOLOR>Gan Dong</font> enquanto <font color=OBJCOLOR>ler livros e pergaminhos</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Na seita, <font color=MYCOLOR>Gan Dong</font> enquanto <font color=OBJCOLOR>tocar música</font>, não resistiu e começou a cantarolar baixinho.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>Gan Dong</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente se sentiu inexplicavelmente irritado.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>Gan Dong</font> em silêncio <font color=OBJCOLOR>olhar para o teto</font>, e de repente lembrou de <font color=OBJCOLOR>sua mãe Jin Dai</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Na seita, <font color=MYCOLOR>Gan Dong</font> enquanto <font color=OBJCOLOR>pintar e caligrafar</font>, de repente imaginou <font color=OBJCOLOR>Tou Shi</font>.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>Gan Dong</font> sozinho(a) <font color=OBJCOLOR>olhar para o teto</font>, e de repente a mente se encheu de pensamentos.
4天 07:41	4d 07:41
<font color=MYCOLOR>干栋</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>凝神望天</font>来放空心灵。	<font color=MYCOLOR>Gan Dong</font> estava incomodado pela sensação de <font color=OBJCOLOR>precisar de um quarto</font>, então só conseguiu <font color=OBJCOLOR>contemplar o céu</font> para esvaziar a mente.
5天 17:08	5d 17:08
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>下棋</font>时，突然流下眼泪。	Na seita, <font color=MYCOLOR>Gan Dong</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente começou a chorar.
5天 18:10	5d 18:10
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Na seita, <font color=MYCOLOR>Ji Pengliang</font> enquanto <font color=OBJCOLOR>contemplar o céu</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o dia já declinando e o coração preguiçoso, <font color=MYCOLOR>Ji Pengliang</font> enquanto <font color=OBJCOLOR>tocar música</font>, achou que <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado era bem interessante…
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Ji Pengliang</font> estava de bom humor porque <font color=OBJCOLOR>cores vibrantes</font>, e não resistiu a <font color=OBJCOLOR>tocar música</font> para relaxar.
4天 11:16	4d 11:16
正午之时，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>书画</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao meio-dia, <font color=MYCOLOR>Ji Pengliang</font> enquanto <font color=OBJCOLOR>pintar e caligrafar</font>, achou que <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado era bem interessante…
5天 11:07	5d 11:07
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	No período de Hai, <font color=MYCOLOR>Shui Yalü</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente começou a chorar.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Céu limpo por mil léguas, <font color=MYCOLOR>Shui Yalü</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente se sentiu sufocado.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>Shui Yalü</font> enquanto <font color=OBJCOLOR>olhar para o teto</font>, de repente se sentiu inexplicavelmente irritado.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Dama da Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Céu claro e ar puro, <font color=MYCOLOR>Gao Shi</font> enquanto <font color=OBJCOLOR>observar as nuvens</font>, soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>Gao Shi</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente se sentiu inexplicavelmente irritado.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu limpo por mil léguas, <font color=MYCOLOR>Gao Shi</font> enquanto <font color=OBJCOLOR>jogar go</font>, de repente quis ir dar uma olhada em <font color=OBJCOLOR>Pico Tianji</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	No fim da manhã, <font color=MYCOLOR>Gao Shi</font> enquanto <font color=OBJCOLOR>tocar música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>Pílula de Absorção de Qi</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>Gao Shi</font> sozinho(a) <font color=OBJCOLOR>tocar música</font>, e de repente a mente se encheu de pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Gao Shi</font> estava incomodado pela sensação de <font color=OBJCOLOR>precisar de um quarto</font>, então só conseguiu <font color=OBJCOLOR>jogar go</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Coluna Queima-Almas
<font color=MYCOLOR>鱼莎</font>很喜欢<font color=OBJCOLOR>春节</font>。	<font color=MYCOLOR>Yu Sha</font> gosta muito de <font color=OBJCOLOR>Ano-Novo Chinês</font>.
<font color=MYCOLOR>鱼莎</font>很喜欢<font color=OBJCOLOR>春节</font>。	<font color=MYCOLOR>Yu Sha</font> gosta muito de <font color=OBJCOLOR>Ano-Novo Chinês</font>.
5天 15:49	5d 15:49
鱼	Yu
莎	Sha
表姐项飞柏	Biao Jie Xiang Fei Bo
况子石	Kuang Zi Shi
学	Xue
杨	Yang
况	Kuang
中毒（重）导致躯干被破坏	Envenenamento (grave) causou danos no tronco
简	Jian
安露	Anlu
来自采掘	Causado por mineração
失去右小腿骨	Perdeu o osso da panturrilha direita
左足骨	Osso do pé esquerdo
右大臂骨	Osso do braço direito
右肩骨	Osso do ombro direito
左大腿骨	Osso da coxa esquerda
军	Jun
能	Nai
瑗	Yuan
巧绿	Qiaolü
冉	Ran
庆	Qing
匡	Kuang
英发	Yingfa
肆叁伍叁贰贰零玖贰	435322092
打水	Pegar água
七七七	Qi Qi Qi
神秘大能	Poder misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do mundo
天苍246年 春 第9日	Ano 246 de Tian Cang, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, no fundo do deserto, a terra tremeu de repente, e as inscrições do Penhasco do Dragão — um antigo santuário do clã demoníaco — reapareceram no mundo!
天苍246年 春 第13日	Ano 246 de Tian Cang, Primavera, Dia 13
陶飞心境不稳	Tao Fei está com a mente instável
韶兴遇到瓶颈	Shao Xing encontrou um bloqueio
项辉遇到瓶颈	Xiang Hui encontrou um bloqueio
奚顺遇到瓶颈	Xi Shun encontrou um bloqueio
郜世遇到瓶颈	Gao Shi encontrou um bloqueio
姬彭亮遇到瓶颈	Ji Pengliang encontrou um bloqueio
昌志用遇到瓶颈	Chang Zhiyong encontrou um bloqueio
钭世遇到瓶颈	Tou Shi encontrou um bloqueio
熊子石遇到瓶颈	Xiong Zishi encontrou um bloqueio
陶飞遇到瓶颈	Tao Fei encontrou um bloqueio
干栋遇到瓶颈	Gan Dong encontrou um bloqueio
水雅绿遇到瓶颈	Shui Yalü encontrou um bloqueio
韶兴突破瓶颈成功	Shao Xing rompeu o bloqueio com sucesso
项辉突破瓶颈成功	Xiang Hui rompeu o bloqueio com sucesso
奚顺突破瓶颈成功	Xi Shun rompeu o bloqueio com sucesso
郜世突破瓶颈成功	Gao Shi rompeu o bloqueio com sucesso
姬彭亮突破瓶颈成功	Ji Pengliang rompeu o bloqueio com sucesso
昌志用突破瓶颈成功	Chang Zhiyong rompeu o bloqueio com sucesso
钭世突破瓶颈成功	Tou Shi rompeu o bloqueio com sucesso
干栋突破瓶颈成功	Gan Dong rompeu o bloqueio com sucesso
水雅绿突破瓶颈成功	Shui Yalü rompeu o bloqueio com sucesso
存档写入完成	Jogo salvo	
门派传闻	Rumor da seita
天苍246年 春 第12日	Ano 246 de Tian Cang, Primavera, Dia 12
据传百蛮山的大能蓟语山在稻香村出没。	Dizem que circulam boatos pela seita.
据传丹霞洞天的大能平坚在雪风原出没。	Dizem que circulam boatos pela seita.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que circulam boatos pela seita.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Dizem que circulam boatos pela seita.
灵石护山剑阵正被攻击	A Formação de Espadas de Defesa de Pedra Espiritual está sendo atacada
灵石墙正被攻击	A Parede de Pedra Espiritual está sendo atacada
咸元：出现残疾	Xianyuan: apareceu com uma deficiência
咸元：受伤	Xianyuan: se feriu.
敌人出现	Um inimigo apareceu
咸元：昏迷	Xianyuan: perdeu a consciência.
理气丹	Pílula de Regulagem do Qi
理气丹正在发挥药效	A Pílula de Regulagem do Qi está fazendo efeito
金疮药	Pomada para Feridas
金疮药正在发挥药效	A Pomada para Feridas está fazendo efeito
小还丹	Pílula de Pequena Restauração
小还丹正在发挥药效	A Pílula de Pequena Restauração está fazendo efeito
赋灵术	Técnica de Imbuir Espírito
五泉涤心法	Método das Cinco Fontes para Purificar o Coração
先天罡气	Qi do Vigor Inato
化伤术	Técnica de Cura de Ferimentos
天霖诀	Arte da Chuva Celestial
天一真法	Verdadeira Arte de Tianyi
水镜观心定	Meditação do Espelho d'Água
同风诀	Arte do Mesmo Vento
归海诀	Arte do Retorno ao Mar
九阴真水界	Domínio da Verdadeira Água dos Nove Yin
罡煞合流	Confluência de Vigor e Sha
新境神佑书	Xin Jing Shen You Shu
紫火千钧剑诀	Zi Huo Qian Jun Jian Jue
五方神雷	Wu Fang Shen Lei
紫火落花	Zi Huo Luo Hua
丁火落花真言	Ding Huo Luo Hua Zhen Yan
多宝流光真言	Duo Bao Liu Guang Zhen Yan
混元要诀	Hun Yuan Yao Jue
少量的	Pouco 
混元十三式	Hun Yuan Shi San Shi
破灭秘诀	Po Mie Mi Jue
曳影	Yi Ying
五戒坤元	Wu Jie Kun Yuan
中量的	Moderadamente	
御气混元宝典	Yu Qi Hun Yuan Bao Dian
赤炎圆转剑诀	Chi Yan Yuan Zhuan Jian Jue
五台混元七式	Wu Tai Hun Yuan Qi Shi
三才坤元十三式	Treze Formas do Kunyuan dos Três Talentos
大量的	Muito 
未来星宿千钧宝典	Códice do Grande Peso das Constelações do Futuro
嵩山坤元秘要	Song Shan Kun Yuan Mi Yao
佛心书	Fo Xin Shu
鄂芸上仙归祖经	Escritura do Retorno aos Ancestrais da Imortal E Yun
哈氏神佑秘要	Ha Shi Shen You Mi Yao
微草神农通卷	Wei Cao Shen Nong Tong Juan
五内多宝宝典	Wu Nei Duo Bao Bao Dian
赤月合一秘要	Chi Yue He Yi Mi Yao
五内饕餮神功	Wu Nei Tao Tie Shen Gong
阴神夺舍	Possessão menor
冥灵真法	Ming Ling Zhen Fa
天道神丹	Tian Dao Shen Dan
天道神器	Tian Dao Shen Qi
长生圆转剑	Chang Sheng Yuan Zhuan Jian
入定之术	Ru Ding Zhi Zhu
断岳覆天诀	Duan Yue Fu Tian Jue
勾陈流光	Gou Chen Liu Guang
经之柔上仙金刚咒	Mantra Vajra da Imortal Jing Zhirou
紫薇流光真言	Zi Wei Liu Guang Zhen Yan
金刚经	Jin Gang Jing
奠基宝典	Dian Ji Bao Dian
金刚宝典	Jin Gang Bao Dian
金刚秘册	Jin Gang Mi Ce
东海金刚秘要	Dong Hai Jin Gang Mi Yao
玄关金刚宝典	Xuan Guan Jin Gang Bao Dian
白虎奠基	Bai Hu Dian Ji
御气金刚	Yu Qi Jin Gang
庚辛金刚密卷	Geng Xin Jin Gang Mi Juan
断岳奠基秘要	Duan Yue Dian Ji Mi Yao
神佑册	Shen You Ce
辟谷密卷	Pi Gu Mi Juan
五内鲸吞纪要	Wu Nei Jing Tun Ji Yao
龙虎佛心书	Long Hu Fo Xin Shu
阴阳佛心记	Yin Yang Fo Xin Ji
庚辛清心经	Geng Xin Qing Xin Jing
寒月摄神秘法	Han Yue She Shen Mi Fa
海量的	Enormemente	
须雅芝上仙清心秘要	Segredos do Coração Sereno da Imortal Xu Yazhi
白虎饕餮要诀	Bai Hu Tao Tie Yao Jue
灵息诀	Ling Xi Jue
鼎炉吸真术	Ding Lu Xi Zhen Zhu
再造术	Zai Zao Zhu
尘暴术	Chen Bao Zhu
求雨术	Qiu Yu Zhu
甘霖术	Gan Lin Zhu
风水鉴定	Feng Shui Jian Ding
太和御气诀	Tai He Yu Qi Jue
清心咒	Qing Xin Zhou
御木诀	Yu Mu Jue
天水化伤术	Tian Shui Hua Shang Zhu
采水诀	Cai Shui Jue
玄牝重生法	Xuan Pin Zhong Sheng Fa
乘风诀	Cheng Feng Jue
奔流诀	Ben Liu Jue
水精真形	Shui Jing Zhen Xing
水气真形	Shui Qi Zhen Xing
水神真形	Shui Shen Zhen Xing
暴雨术	Tempestade
玄魂造命	Xuan Hun Zao Ming
醍醐灌顶之术	Ti Hu Guan Ding Zhi Zhu
玄金五气真言	Xuan Jin Wu Qi Zhen Yan
勾陈三花咒	Gou Chen San Hua Zhou
紫云宫流光咒	Zi Yun Gong Liu Guang Zhou
奠基经	Dian Ji Jing
金刚要诀	Jin Gang Yao Jue
奠基秘要	Dian Ji Mi Yao
玄金奠基秘册	Xuan Jin Dian Ji Mi Ce
入道奠基经	Ru Dao Dian Ji Jing
庚金金刚	Geng Jin Jin Gang
断岳奠基宝典	Duan Yue Dian Ji Bao Dian
断岳金刚宝典	Duan Yue Jin Gang Bao Dian
化形金刚	Hua Xing Jin Gang
辟谷宝典	Pi Gu Bao Dian
叶厚上仙神视神功	Arte Divina da Visão Espiritual da Imortal Ye Hou
御气清心经	Yu Qi Qing Xin Jing
赤霄宫合一册	Chi Xiao Gong He Yi Ce
入道归祖神功	Ru Dao Gui Zu Shen Gong
