拜祖师	Culto aos Ancestrais
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Movedor de Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>夜观星象</font>, de repente derramou lágrimas.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao alvorecer, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente achou o <font color=OBJCOLOR>灵石墙</font> ao lado muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Tecidos Dourados
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o silêncio absoluto, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>书画</font>, de repente derramou lágrimas.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Na hora de Yin, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente derramou lágrimas.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Enquanto <font color=MYCOLOR>昌志用</font> conversava com <font color=HECOLOR>毛依白</font>, <font color=HECOLOR>毛依白</font> de repente notou o <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font> em <font color=MYCOLOR>昌志用</font>. <font color=MYCOLOR>昌志用</font> então começou a contar a ela a origem do <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>, e <font color=HECOLOR>毛依白</font> ficou maravilhada.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu límpido, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>娱乐</font>, de repente sentiu seu coração se comover, adquirindo muitas percepções sobre o Tao.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu sem nuvens, <font color=MYCOLOR>昌志用</font> silenciosamente <font color=OBJCOLOR>看天花板</font>, de repente lembrou-se de seu <font color=OBJCOLOR>父亲昌学智</font>.
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>读书品卷</font>, de repente teve vontade de comer <font color=OBJCOLOR>母猫粪便</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>奏乐</font>, não pôde deixar de cantar baixinho.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente se sentiu inexplicavelmente irritado.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>干栋</font> silenciosamente enquanto <font color=OBJCOLOR>看天花板</font>, de repente lembrou-se de sua <font color=OBJCOLOR>母亲晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>书画</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>干栋</font> sozinho <font color=OBJCOLOR>看天花板</font>, de repente ficou imerso em pensamentos.
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Dentro da seita, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>凝神望天</font>, de repente teve vontade de comer <font color=OBJCOLOR>母猫粪便</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol inclinado, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente achou o <font color=OBJCOLOR>灵石琴台</font> ao lado muito interessante……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> por estar de bom humor devido a <font color=OBJCOLOR>多姿多彩</font>, não pôde deixar de <font color=OBJCOLOR>奏乐</font> para desabafar.
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Na hora de Hai, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente derramou lágrimas.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu sem nuvens, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>下棋</font>, de repente se sentiu muito irritada.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente se sentiu inexplicavelmente irritada.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Mulher d'Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu límpido, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>观云卷云舒</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente se sentiu inexplicavelmente irritado.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu sem nuvens, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>下棋</font>, de repente quis ir ver <font color=OBJCOLOR>天极峰</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	Na hora de Ri Yu, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente quis comer <font color=OBJCOLOR>饮气丹</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> sozinho <font color=OBJCOLOR>奏乐</font>, de repente ficou imerso em pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> foi perturbado emocionalmente por <font color=OBJCOLOR>需要房间</font>, e só pôde jogar <font color=OBJCOLOR>下棋</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Queimador de Almas
钱	Fortuna
煞	Funesto
二	Duplo
屠	Letal
兔	Coelho
丙	Prop
蛇	Serpente
子	Zi
劫	Larcenoso
酉	You
乙	Ondulante
朱	Carmesim
鬣	Arrepiado
达	Da
猪	Javali
毅	Yi
豪	Audacioso
山	Shan
肆叁伍叁贰贰零玖贰	
扫地	Varre o chão
七七七	777
神秘大能	Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo Mundano
天苍246年 春 第9日	246º ano de Tian Cang, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Segundo dizem, nas profundezas do deserto, de repente o céu desabou e a terra se partiu, e as inscrições em pedra do santuário ancestral dos demônios no penhasco do dragão reapareceram na Terra!
陶飞心境不稳	Tao Fei com o estado de espírito instável
韶兴遇到瓶颈	韶兴 encontrou um gargalo
项辉遇到瓶颈	项辉 encontrou um gargalo
奚顺遇到瓶颈	Xi Shun encontrou um gargalo
郜世遇到瓶颈	Gao Shi encontrou um gargalo
姬彭亮遇到瓶颈	Ji Pengliang encontrou um gargalo
昌志用遇到瓶颈	Chang Zhiyong encontrou um gargalo
钭世遇到瓶颈	Tou Shi encontrou um gargalo
熊子石遇到瓶颈	Xiong Zishi encontrou um gargalo
陶飞遇到瓶颈	Tao Fei encontrou um gargalo
干栋遇到瓶颈	Gan Dong encontrou um gargalo
水雅绿遇到瓶颈	Shui Yalü encontrou um gargalo
韶兴突破瓶颈成功	Shao Xing rompeu o gargalo com sucesso
项辉突破瓶颈成功	Xiang Hui rompeu o gargalo com sucesso
奚顺突破瓶颈成功	Xi Shun rompeu o gargalo com sucesso
郜世突破瓶颈成功	Gao Shi rompeu o gargalo com sucesso
姬彭亮突破瓶颈成功	Ji Pengliang rompeu o gargalo com sucesso
昌志用突破瓶颈成功	Chang Zhiyong rompeu o gargalo com sucesso
钭世突破瓶颈成功	Tou Shi rompeu o gargalo com sucesso
干栋突破瓶颈成功	Gan Dong rompeu o gargalo com sucesso
水雅绿突破瓶颈成功	Shui Yalü rompeu o gargalo com sucesso
存档写入完成	Jogo Salvado
门派传闻	Rumores da Seita
天苍246年 春 第12日	246º ano de Tian Cang, Primavera, Dia 12
据传百蛮山的大能蓟语山在稻香村出没。	Dizem que o grande cultivador Ji Yushan da Montanha Baiman apareceu na Vila Daoxiang.
据传丹霞洞天的大能平坚在雪风原出没。	Dizem que o grande cultivador Ping Jian de Danxia Dongtian apareceu na Planície Xuefeng.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que um ancião ascendido da Seita Zhengyi concedeu grandes bênçãos, aumentando consideravelmente a força da seita.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Dizem que a Seita Zhengyi encontrou a caverna de um antigo cultivador de artefatos, adquirindo inúmeros artefatos espirituais com essências primordiais, aumentando consideravelmente sua força.
灵石护山剑阵正被攻击	A Formação da Espada Guardiã de Pedra Espiritual está sendo atacada
灵石墙正被攻击	A Muralha de Pedra Espiritual está sendo atacada
妖兽钱煞出现了	A Fera Demoníaca Qian Sha apareceu
妖兽二屠出现了	A Fera Demoníaca Er Tu apareceu
妖兽兔丙出现了	A Fera Demoníaca Tu Bing apareceu
妖兽蛇子出现了	A Fera Demoníaca She Zi apareceu
妖兽劫酉出现了	A Fera Demoníaca Jie You apareceu
妖兽乙安出现了	A Fera Demoníaca Yi An apareceu
妖兽朱栋出现了	A Fera Demoníaca Zhu Dong apareceu
妖兽鬣达出现了	A Fera Demoníaca Lie Da apareceu
妖兽猪毅出现了	A Fera Demoníaca Zhu Yi apareceu
妖兽豪山出现了	A Fera Demoníaca Hao Shan apareceu
理气丹	Pílula de Regulação do Qi
理气丹正在发挥药效	A Pílula de Regulação do Qi está fazendo efeito
赋灵术	Arte de Infusão Espiritual
五泉涤心法	Técnica das Cinco Fontes Purificadoras da Mente
先天罡气	Qi Gang Inato
化伤术	Arte de Cura de Ferimentos
天霖诀	Técnica da Chuva Celestial
天一真法	Verdadeira Lei Tianyi
水镜观心定	Meditação do Espelho D'Água
同风诀	Técnica do Vento Unificado
归海诀	Técnica de Retorno ao Mar
九阴真水界	Reino da Água Sombria dos Nove Yin
罡煞合流	Fusão de Gang Sha
新境神佑书	Livro da Bênção Divina do Novo Reino
紫火千钧剑诀	Técnica da Espada de Mil Toneladas de Fogo Púrpura
五方神雷	Trovão Divino das Cinco Direções
紫火落花	Flores Caindo em Chamas Púrpuras
丁火落花真言	Mantra da Queda das Flores de Fogo Ding
多宝流光真言	Mantra do Brilho Fluido de Múltiplos Tesouros
混元要诀	Essência Primordial
少量的	Levemente
混元十三式	Treze Estilos Primordiais
破灭秘诀	Segredo da Aniquilação
曳影	Sombra Arrastada
五戒坤元	Cinco Restrições do Kun Yuan
中量的	Visivelmente
御气混元宝典	Grande Tomo do Controle de Qi Primordial
赤炎圆转剑诀	Técnica da Espada Giratória de Chamas Escarlates
五台混元七式	Sete Estilos Primordiais de Wutai
三才坤元十三式	Treze Estilos Kun Yuan dos Três Talentos
大量的	Grandemente
未来星宿千钧宝典	Grande Tomo da Constelação Estelar do Futuro
嵩山坤元秘要	Segredo Kun Yuan da Montanha Song
佛心书	Livro do Coração de Buda
鄂芸上仙归祖经	Sutra do Retorno Ancestral do Imortal E Yun
哈氏神佑秘要	Segredo da Bênção Divina de Ha
微草神农通卷	Tomo Completo da Medicina Shennong da Erva Suave
五内多宝宝典	Grande Tomo dos Cinco Tesouros Internos
赤月合一秘要	Segredo da União da Lua Escarlate
五内饕餮神功	Arte Marcial Glutona dos Cinco Órgãos
阴神夺舍	Possessão Parcial do Espírito Sombrio
冥灵真法	Verdadeira Lei do Espírito Abissal
天道神丹	Pílula Divina do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada Circular da Longevidade
入定之术	Arte da Meditação Profunda
断岳覆天诀	Técnica de Demolição e Cobertura Celestial
勾陈流光	Fluxo Temporal de Gouchen
经之柔上仙金刚咒	Mantra Adamantino do Imortal Jing Zhirou
紫薇流光真言	Mantra do Brilho Temporal da Estrela Púrpura
金刚经	Sutra Adamantino
奠基宝典	Grande Tomo de Fundação
金刚宝典	Grande Tomo Adamantino
金刚秘册	Compêndio Secreto Adamantino
东海金刚秘要	Segredo Adamantino do Mar do Leste
玄关金刚宝典	Grande Tomo Adamantino do Portal Místico
白虎奠基	Fundação do Tigre Branco
御气金刚	Controle de Qi Adamantino
庚辛金刚密卷	Rolo Secreto Adamantino de Gengxin
断岳奠基秘要	Segredo de Fundação da Montanha Partida
神佑册	Livro da Bênção Divina
辟谷密卷	Rolo Secreto da Abstinência Alimentar
五内鲸吞纪要	Resumo da Técnica da Devoradora de Baleia dos Cinco Órgãos
龙虎佛心书	Livro do Coração de Buda do Dragão e do Tigre
阴阳佛心记	Registro do Coração de Buda do Yin e Yang
庚辛清心经	Sutra da Mente Pura Gengxin
寒月摄神秘法	Arte Secreta de Captura Espiritual da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Segredo da Mente Pura do Imortal Xu Yazhi
白虎饕餮要诀	Essência da Fera Glutona do Tigre Branco
灵息诀	Técnica do Sopro Espiritual
鼎炉吸真术	Arte de Absorção Verdadeira do Cadinho
再造术	Arte da Recriação
尘暴术	Arte da Tempestade de Poeira
求雨术	Arte de Invocar Chuva
甘霖术	Arte da Chuva Abençoada
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica Suprema de Controle de Qi
清心咒	Mantra da Mente Pura
御木诀	Técnica de Controle da Madeira
天水化伤术	Arte da Água Celestial de Cura de Ferimentos
采水诀	Técnica de Coleta de Água
玄牝重生法	Lei do Renascimento Xuanpin
乘风诀	Técnica de Montaria no Vento
奔流诀	Técnica do Fluxo Impetuoso
水精真形	Verdadeira Forma do Espírito da Água
水气真形	Verdadeira Forma do Qi da Água
水神真形	Verdadeira Forma do Deus da Água
暴雨术	Arte da Tempestade
玄魂造命	Criação de Destino da Alma Mística
醍醐灌顶之术	Arte da Iluminação Suprema
玄金五气真言	Mantra dos Cinco Qis do Ouro Místico
勾陈三花咒	Feitiço das Três Flores de Gouchen
紫云宫流光咒	Feitiço do Fluxo Radiante do Palácio das Nuvens Púrpuras
奠基经	Sutra da Fundação
金刚要诀	Essência do Adamantino
奠基秘要	Segredo da Fundação
玄金奠基秘册	Compêndio Secreto da Fundação do Ouro Místico
入道奠基经	Sutra da Fundação no Caminho Daoísta
庚金金刚	Adamantino Gengjin
断岳奠基宝典	Grande Tomo da Fundação da Montanha Partida
断岳金刚宝典	Grande Tomo Adamantino da Montanha Partida
化形金刚	Adamantino Metamórfico
辟谷宝典	Grande Tomo da Abstinência Alimentar
叶厚上仙神视神功	Arte Marcial da Visão Divina do Imortal Ye Hou
御气清心经	Sutra da Mente Pura de Controle de Qi
赤霄宫合一册	Compêndio da União do Palácio Chixiao
入道归祖神功	Arte Marcial do Retorno Ancestral no Caminho Daoísta
玄机神视秘要	Segredo da Visão Divina do Mistério Profundo
归真鲸吞要诀	Essência da Devoradora de Baleia do Retorno Verdadeiro
天魔解体大法	Grande Arte da Dissolução Demoníaca Celestial
炼制灵石之术	Arte de Refinamento de Pedras Espirituais
玄机流光真言	Mantra do Fluxo Radiante do Mistério Profundo
金丹流光	Fluxo Radiante do Dantian Dourado
迅影	Sombra Rápida
混元秘法	Arte Secreta Primordial
寒月坤元决	Técnica Kun Yuan da Lua Fria
五戒千钧剑诀	Técnica da Espada de Mil Toneladas das Cinco Restrições
彻法混元十式	Dez Estilos Primordiais da Lei Absoluta
多宝通卷	Tomo Completo dos Múltiplos Tesouros
百炼秘要	Segredo das Cem Refinagens
饕餮	Taotie (Fera Mítica Devoradora)
龙虎鬼手通卷	Tomo Completo da Mão Fantasma do Dragão e do Tigre
真丹多宝	Dan Verdadeiro dos Múltiplos Tesouros
三才多宝纲要	Compêndio dos Múltiplos Tesouros dos Três Talentos
六气圆转十三式	Treze Estilos do Fluxo Circular dos Seis Qis
献祭	Oferta de Sacrifício
精火筑灵	Forja Espiritual da Chama Essencial
逆浪天星咒	Feitiço da Estrela Celestial contra a Maré
少林金刚神雷	Trovão Divino Adamantino de Shaolin
金刚	Adamantino
奠基要诀	Essência da Fundação
修蛇金刚宝典	Grande Tomo Adamantino da Serpente Refinada
五内奠基宝典	Grande Tomo da Fundação dos Cinco Órgãos
知节奠基经	Sutra da Fundação de Zhi Jie
万源归真金刚宝典	Grande Tomo Adamantino do Retorno Verdadeiro das Dez Mil Origens
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Rolo Secreto Adamantino da Estrela Púrpura
凌霄奠基秘要	Segredo da Fundação do Palácio Lingxiao
百汇奠基秘法	Arte Secreta da Fundação Baihui
沃野丹方	Fórmula da Pílula dos Campos Férteis
星辰合一册	Compêndio da União das Estrelas
壬水合一书	Livro da União da Água Ren
凌霄合一册	Compêndio da União do Palácio Lingxiao
逆浪清心神功	Arte Marcial da Mente Pura contra a Maré
文盛真人摄神册	Compêndio de Captura Espiritual do Mestre Wensheng
百汇佛心	Coração de Buda Baihui
大衍神算	Cálculo Derivativo
分神之术	Arte da Separação da Alma
庚金决意秘传	Transmissão Secreta da Determinação Gengjin
赤日三花诀	Técnica das Três Flores do Sol Escarlate
奠基密卷	Rolo Secreto da Fundação
天金金刚经	Sutra Adamantino do Ouro Celestial
玄金金刚秘要	Segredo Adamantino do Ouro Místico
龙虎金刚	Adamantino do Dragão e do Tigre
勾陈奠基	Fundação de Gouchen
百草阁金刚秘法	Arte Secreta Adamantina do Pavilhão das Cem Ervas
饕餮纪要	Resumo da Fera Glutona Taotie
多宝	Múltiplos Tesouros
阴阳鬼手秘传	Transmissão Secreta da Mão Fantasma Yin-Yang
金雷鬼手宝典	Grande Tomo da Mão Fantasma do Trovão Dourado
寒月百炼通卷	Tomo Completo das Cem Refinagens da Lua Fria
炎神殿鬼手纲要	Compêndio da Mão Fantasma do Salão do Deus das Chamas
御气万古秘要	Segredo Eterno do Controle de Qi
阴阳神佑秘要	Segredo da Bênção Divina Yin-Yang
魂体寄生	Parasitismo de Alma e Corpo
武当佛心典	Clássico do Coração de Buda de Wudang
星辰五方	Constelação das Cinco Direções
陨星诀	Técnica do Meteorito
逆浪不坏真言	Mantra Indestrutível contra a Maré
曳影七式	Sete Estilos da Sombra Arrastada
归祖要诀	Essência do Retorno Ancestral
勾陈气摄秘法	Arte Secreta de Captura de Qi de Gouchen
壬癸神佑	Bênção Divina Ren-Gui
凝光鬼手宝典	Grande Tomo da Mão Fantasma da Luz Condensada
惊波百炼宝册	Compêndio das Cem Refinagens da Onda Assustadora
修蛇归祖密卷	Rolo Secreto do Retorno Ancestral da Serpente Refinada
玄武神视纪要	Resumo da Visão Divina da Tartaruga Negra
冷月急诵秘法	Arte Secreta da Recitação Urgente da Lua Fria
腾岳覆天	Ascensão da Montanha para Cobrir os Céus
破灭	Destruição
破灭密卷	Rolo Secreto da Destruição
气摄宝典	Grande Tomo de Captura de Qi
勾陈决意要诀	Essência da Determinação de Gouchen
彻法归祖秘要	Segredo Supremo do Retorno Ancestral
华山万古神功	Arte Marcial Eterna de Huashan
伐毛洗髓之术	Arte de Remover os Pelos e Purificar a Medula
彻法不朽	Imortalidade da Lei Absoluta
化形金刚神雷	Trovão Divino Adamantino da Metamorfose
奠基秘册	Compêndio Secreto da Fundação
长生金刚秘要	Segredo Adamantino da Longevidade
黄庭金刚秘法	Arte Secreta Adamantina do Pavilhão Amarelo
新境奠基经	Sutra da Fundação do Novo Reino
少林金刚经	Sutra Adamantino de Shaolin
大日奠基秘要	Segredo da Fundação do Grande Sol
佛心秘法	Arte Secreta do Coração de Buda
合一秘要	Segredo da União
长生通慧记	Registros da Longevidade e Iluminação
南海佛心典	Clássico do Coração de Buda do Mar do Sul
玄关神农	Mistério Profundo do Divino Agricultor
断岳鲸吞秘要	Segredo da Devoradora de Baleia da Montanha Partida
化形神佑典	Clássico da Bênção Divina da Metamorfose
太乙清心经	Sutra da Mente Pura Taiyi
托体同山诀	Técnica de Apoiar o Corpo como a Montanha
西海九极咒	Feitiço dos Nove Extremos do Mar Ocidental
咒神宝典	Grande Tomo dos Feitiços Divinos
崩天卷	Rolo do Colapso Celestial
多宝秘传	Transmissão Secreta dos Múltiplos Tesouros
多宝宝册	Compêndio dos Múltiplos Tesouros
天金摄神册	Compêndio de Captura Espiritual do Ouro Celestial
未来星宿百炼秘传	Transmissão Secreta das Cem Refinagens da Constelação do Futuro
辛金百炼秘传	Transmissão Secreta das Cem Refinagens do Metal Xin
断岳多宝宝册	Compêndio dos Múltiplos Tesouros da Montanha Partida
玄机多宝	Múltiplos Tesouros do Mistério Profundo
天魔化身术	Arte da Encarnação do Demônio Celestial
开天眼之术	Arte de Abrir o Olho Celestial
通符书	Livro dos Talismãs Comunicantes
云气汇流	Convergência da Energia das Nuvens
剑符录	Registro dos Talismãs da Espada
玄符录	Registro dos Talismãs Místicos
天甲符	Talismã da Armadura Celestial
咒符录	Registro dos Talismãs de Feitiço
神咒符	Talismã de Feitiço Divino
结云经	Sutra da Formação das Nuvens
祈天经	Sutra da Oração Celestial
通天符法	Lei dos Talismãs que Conectam aos Céus
天真论	Dissertação sobre a Verdade Celestial
无上神符	Talismã Supremo Divino
借天符	Talismã de Empréstimo Celestial
遮天符	Talismã de Ocultação Celestial
云行法	Lei do Caminho das Nuvens
东木分神书	Livro da Separação da Alma da Madeira Oriental
天岭金刚真言	Mantra Adamantino da Cordilheira Celestial
戊土八极真言	Mantra dos Oito Extremos da Terra Wutu
归家五方诀	Técnica das Cinco Direções do Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos do Kun Yuan
千钧十三式	Treze Estilos de Mil Toneladas
曳影式	Estilo da Sombra Arrastada
破灭要诀	Essência da Destruição
神农宝典	Grande Tomo do Divino Agricultor
摄神	Captura Espiritual
万里多宝	Múltiplos Tesouros das Dez Mil Léguas
五内琢玉通卷	Tomo Completo da Lapidação de Jade dos Cinco Órgãos
凌霄佛心要诀	Essência do Coração de Buda do Palácio Lingxiao
己土辟谷要诀	Essência da Abstinência Alimentar da Terra Ji
炎神殿通慧要诀	Essência da Sabedoria do Salão do Deus das Chamas
东海神佑要诀	Essência da Bênção Divina do Mar do Leste
风月幻境	Ilusão do Vento e da Lua
真丹金刚	Dan Verdadeiro Adamantino
长生陨星诀	Técnica do Meteorito da Longevidade
崩天	Colapso Celestial
急诵秘要	Segredo da Recitação Urgente
崩天秘诀	Segredo do Colapso Celestial
华山归藏密卷	Rolo Secreto do Recolhimento de Huashan
摄神册	Compêndio da Captura Espiritual
入道鬼手要诀	Essência da Mão Fantasma do Caminho Daoísta
多宝神农	Tesouros Múltiplos do Divino Agricultor
造化饕餮神功	Arte Divina do Criador Devorador
戊己神佑要诀	Essência da Bênção Divina Wu-Ji
五印刻神	Cinco Selos de Marcação Divina
行疆神视秘传	Transmissão Secreta da Visão Divina do Caminho
知节金刚咒	Mantra Adamantino da Moderação
现在贤流光真言	Mantra da Iluminação da Era Atual
戊土金刚咒	Mantra Adamantino da Terra Wu
急诵	Recitação Urgente
咒神九卷	Nove Rolos dos Feitiços Divinos
归祖	Retorno Ancestral
通慧册	Compêndio da Sabedoria
琢玉通卷	Tomo Completo da Lapidação de Jade
行疆佛心典	Clássico do Coração de Buda do Caminho
东华多宝秘传	Transmissão Secreta dos Múltiplos Tesouros de Donghua
和春枫真人神佑典	Clássico da Bênção Divina do Mestre He Chunfeng
玄关合一秘法	Arte Secreta da União do Portal Místico
真丹佛心册	Compêndio do Coração de Buda do Verdadeiro Dan
镇岳鬼手纲要	Compêndio da Mão Fantasma da Montanha Guardiã
六气饕餮神功	Arte Divina Devoradora dos Seis Qi
驱云诀	Técnica de Expulsar as Nuvens
行疆陨星咒	Feitiço do Meteorito do Caminho
阴阳天星咒	Feitiço da Estrela Celestial Yin-Yang
化影神雷	Trovão Divino da Transformação Sombria
迅击要诀	Essência do Golpe Rápido
迅影宝典	Grande Tomo da Sombra Rápida
迅击决	Técnica do Golpe Rápido
千钧密卷	Rolo Secreto de Mil Toneladas
西海混元	Mistura Primordial do Mar Ocidental
神视秘法	Arte Secreta da Visão Divina
麒麟归祖	Retorno Ancestral do Quilin
现在贤清心要诀	Essência da Mente Pura da Era Atual
