拜祖师	Venerando os ancestrais
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Sem uma nuvem no céu, enquanto <font color=MYCOLOR>Mao Yibai</font> estava <font color=OBJCOLOR>olhando por aí</font>, a imagem de <font color=OBJCOLOR>Tou Shi</font> surgiu de repente em sua mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Sem uma nuvem no céu, enquanto <font color=MYCOLOR>Mao Yibai</font> estava <font color=OBJCOLOR>pintando e caligrafando</font>, de repente começou a chorar.
4天 12:15	4d 12:15
毛	Mao
依白	Yibai
南门墨竹	Nanmen Mozhu
葛慕儿	Ge Muer
从功	Cong Gong
韶兴	Shao Xing
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Chama Negra
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>Xiang Hui</font> estava feliz por a roupa cair bem; ao ver <font color=HECOLOR>Mao Yibai</font> passar, a puxou para conversar sobre <font color=OBJCOLOR>Vila Jiuhua</font>.
3天 05:57	3d 05:57
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Senhor que Move Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Sem uma nuvem no céu, enquanto <font color=MYCOLOR>Feng Mei</font> estava <font color=OBJCOLOR>observando as estrelas</font>, de repente começou a chorar.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, enquanto <font color=MYCOLOR>Feng Mei</font> estava <font color=OBJCOLOR>olhando para o teto</font>, de repente achou que a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado era bem interessante...
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Vestes Douradas
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com tudo em silêncio, enquanto <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>pintando e caligrafando</font>, de repente começou a chorar.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	De madrugada, enquanto <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>tocando música</font>, de repente começou a chorar.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Quando <font color=MYCOLOR>Chang Zhiyong</font> estava conversando com <font color=HECOLOR>Mao Yibai</font>, <font color=HECOLOR>Mao Yibai</font> de repente notou a <font color=OBJCOLOR><font color=OBJCOLOR>calça fina de couro de javali</font></font> em <font color=MYCOLOR>Chang Zhiyong</font>. Então <font color=MYCOLOR>Chang Zhiyong</font> contou a origem da <font color=OBJCOLOR><font color=OBJCOLOR>calça fina de couro de javali</font></font>, e <font color=HECOLOR>Mao Yibai</font> ficou impressionada ao ouvir.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o tempo claro, enquanto <font color=MYCOLOR>Chang Zhiyong</font> estava <font color=OBJCOLOR>se divertindo</font>, de repente sentiu um estalo e ganhou muitas novas percepções sobre o Dao Celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Sem uma nuvem no céu, <font color=MYCOLOR>Chang Zhiyong</font> ficou em silêncio <font color=OBJCOLOR>olhando para o teto</font> quando de repente se lembrou de seu <font color=OBJCOLOR>pai, Chang Xuezhi</font>.
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Sob um céu limpo, enquanto <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>lendo livros e pergaminhos</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Na seita, enquanto <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>tocando música</font>, não resistiu e começou a cantarolar baixinho junto.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, enquanto <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>olhando para o teto</font>, de repente sentiu uma irritação sem motivo.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>Gan Dong</font> ficou em silêncio <font color=OBJCOLOR>olhando para o teto</font> quando de repente se lembrou de sua <font color=OBJCOLOR>mãe, Jin Dai</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Na seita, enquanto <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>pintando e caligrafando</font>, a imagem de <font color=OBJCOLOR>Tou Shi</font> surgiu de repente em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>Gan Dong</font> estava sozinho <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, mil pensamentos passaram pela cabeça.
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Entardecer
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Na seita, enquanto <font color=MYCOLOR>Ji Pengliang</font> estava <font color=OBJCOLOR>concentrado olhando para o céu</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol já baixo e a mente preguiçosa, enquanto <font color=MYCOLOR>Ji Pengliang</font> estava <font color=OBJCOLOR>tocando música</font>, de repente achou que a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado era bem interessante...
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>Ji Pengliang</font> está de bom humor por estar tudo <font color=OBJCOLOR>cheio de cores e variedade</font>, e não resistiu a vir <font color=OBJCOLOR>tocar música</font> para desabafar.
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro Numinoso de Controle da Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	À noite, enquanto <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>olhando para o teto</font>, de repente começou a chorar.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Sem uma nuvem no céu, enquanto <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>jogando xadrez</font>, de repente sentiu um aperto no peito.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, enquanto <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>olhando para o teto</font>, de repente sentiu uma irritação sem motivo.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Senhora da Água Ren
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o tempo claro, enquanto <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>observando as nuvens se formando e se desfazendo</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Na seita, enquanto <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>tocando música</font>, de repente sentiu uma irritação sem motivo.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Sob um céu limpo, enquanto <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>jogando xadrez</font>, de repente teve vontade de ir ver o <font color=OBJCOLOR>Pico Tianji</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	À tarde, enquanto <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>tocando música</font>, de repente ficou com vontade de comer a <font color=OBJCOLOR>Pílula de Beber Qi</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>Gao Shi</font> estava sozinho <font color=OBJCOLOR>tocando música</font> quando, de repente, mil pensamentos passaram pela cabeça.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Gao Shi</font> ficou incomodado pela sensação de <font color=OBJCOLOR>precisar de um quarto</font>, e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Queimador de Almas
肆叁伍叁贰贰零玖贰	435322092
扫地	Varrer o Chão
七七七	777
神秘大能	Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do Mundo
天苍246年 春 第9日	Ano Tian Cang 246, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, nas profundezas do grande deserto, a terra e o céu se romperam de repente, e as inscrições de Pedra do Penhasco do Dragão — a terra sagrada da raça demoníaca da antiguidade — reapareceram no mundo!
陶飞心境不稳	O estado mental de Tao Fei está instável
韶兴遇到瓶颈	Shao Xing encontrou um gargalo
项辉遇到瓶颈	Xiang Hui encontrou um gargalo
奚顺遇到瓶颈	Xi Shun encontrou um gargalo
郜世遇到瓶颈	Gao Shi encontrou um gargalo
姬彭亮遇到瓶颈	Ji Pengliang encontrou um gargalo
昌志用遇到瓶颈	Chang Zhiyong encontrou um gargalo
钭世遇到瓶颈	Tou Shi encontrou um gargalo
熊子石遇到瓶颈	Xiong Zishi encontrou um gargalo
陶飞遇到瓶颈	Tao Fei encontrou um gargalo
干栋遇到瓶颈	Gan Dong encontrou um gargalo
水雅绿遇到瓶颈	Shui Yalü encontrou um gargalo
韶兴突破瓶颈成功	Shao Xing rompeu o gargalo com sucesso
项辉突破瓶颈成功	Xiang Hui rompeu o gargalo com sucesso
奚顺突破瓶颈成功	Xi Shun rompeu o gargalo com sucesso
郜世突破瓶颈成功	Gao Shi rompeu o gargalo com sucesso
姬彭亮突破瓶颈成功	Ji Pengliang rompeu o gargalo com sucesso
昌志用突破瓶颈成功	Chang Zhiyong rompeu o gargalo com sucesso
钭世突破瓶颈成功	Tou Shi rompeu o gargalo com sucesso
干栋突破瓶颈成功	Gan Dong rompeu o gargalo com sucesso
水雅绿突破瓶颈成功	Shui Yalü rompeu o gargalo com sucesso
存档写入完成	Jogo Salvo
门派传闻	Rumores da Seita
天苍246年 春 第12日	Ano Tian Cang 246, Primavera, Dia 12
据传百蛮山的大能蓟语山在稻香村出没。	Dizem que o grande cultivador Ji Yushan, de Baima Shan, apareceu perto da Vila Daoxiang.
据传丹霞洞天的大能平坚在雪风原出没。	Dizem que o grande cultivador Ping Jian, de Danxia Dongtian, apareceu nas Planícies de Neve e Vento.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que um ancião ascendido da Seita Zhengyi concedeu de repente muitas bênçãos, e a força da seita aumentou muito.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Dizem que a Seita Zhengyi encontrou a caverna de um antigo cultivador de artefatos, obtendo muitos itens espirituais com essências anímicas vinculadas, e a força da seita aumentou muito.
灵石护山剑阵正被攻击	A Matriz de Espadas de Proteção da Montanha de Pedra Espiritual está sendo atacada
灵石墙正被攻击	A Parede de Pedra Espiritual está sendo atacada
理气丹	Pílula de Regular o Qi
理气丹正在发挥药效	A Pílula de Regular o Qi está fazendo efeito
赋灵术	Técnica de Infundir Espírito
五泉涤心法	Método de Purificar a Mente das Cinco Fontes
先天罡气	Qi Gang Inato
化伤术	Técnica de Cura de Feridas
天霖诀	Arte da Chuva Celestial
天一真法	Verdadeiro Método do Céu Uno
水镜观心定	Meditação do Espelho d’Água para Observar a Mente
同风诀	Arte do Mesmo Vento
归海诀	Arte de Retornar ao Mar
九阴真水界	Domínio da Água Verdadeira dos Nove Yins
罡煞合流	Confluência de Gang e Sha
新境神佑书	Escritura de Proteção Divina do Novo Reino
紫火千钧剑诀	Arte da Espada de Mil-Jin do Fogo Violeta
五方神雷	Trovão Divino das Cinco Direções
紫火落花	Queda de Flores do Fogo Violeta
丁火落花真言	Verdadeiro Mantra da Queda de Flores do Fogo Ding
多宝流光真言	Verdadeiro Mantra do Brilho Fluente de Duobao
混元要诀	Instrução Essencial do Caos Primordial
少量的	Pouco 
混元十三式	Treze Formas do Caos Primordial
破灭秘诀	Segredo da Ruína
曳影	Rastro de Sombra
五戒坤元	Caos Terreno dos Cinco Preceitos
中量的	Visível 
御气混元宝典	Manual do Caos Primordial de Controle do Qi
赤炎圆转剑诀	Arte da Espada do Giro Circular da Chama Escarlate
五台混元七式	Sete Formas do Caos Primordial das Cinco Plataformas
三才坤元十三式	Treze Formas do Caos Terreno dos Três Talentos
大量的	Em grande quantidade 
未来星宿千钧宝典	Manual de Mil-Jin das Constelações Futuras
嵩山坤元秘要	Segredos Essenciais do Caos Terreno de Songshan
佛心书	Escritura do Coração de Buda
鄂芸上仙归祖经	Escritura de Retorno ao Ancestral do Imortal E Yun
哈氏神佑秘要	Segredos Essenciais da Proteção Divina da Família Ha
微草神农通卷	Compêndio Completo de Shennong das Ervas Sutis
五内多宝宝典	Manual de Duobao dos Cinco Órgãos
赤月合一秘要	Segredos Essenciais da Unificação da Lua Rubra
五内饕餮神功	Arte Divina do Taotie dos Cinco Órgãos
阴神夺舍	Possessão Menor
冥灵真法	Verdadeiro Método do Espírito Sombrio
天道神丹	Pílula Divina do Dao Celestial
天道神器	Artefato Divino do Dao Celestial
长生圆转剑	Espada do Giro Circular da Longevidade
入定之术	Técnica de Entrar em Meditação
断岳覆天诀	Arte de Cobrir o Céu e Cortar Montanhas
勾陈流光	Brilho Fluente de Gouchen
经之柔上仙金刚咒	Mantra Vajra do Imortal Jing Zhirou
紫薇流光真言	Verdadeiro Mantra do Brilho Fluente de Ziwei
金刚经	Sutra Vajra
奠基宝典	Manual de Fundação
金刚宝典	Manual Vajra
金刚秘册	Grimório Secreto Vajra
东海金刚秘要	Segredos Essenciais Vajra do Mar do Leste
玄关金刚宝典	Manual Vajra do Portal Místico
白虎奠基	Fundação do Tigre Branco
御气金刚	Vajra de Controle do Qi
庚辛金刚密卷	Pergaminho Secreto Vajra de Geng-Xin
断岳奠基秘要	Segredos Essenciais de Fundação de Duanyue
神佑册	Registro da Proteção Divina
辟谷密卷	Pergaminho Secreto de Bigu
五内鲸吞纪要	Resumo do Devorar-Baleia dos Cinco Órgãos
龙虎佛心书	Escritura do Coração de Buda do Dragão e Tigre
阴阳佛心记	Registro do Coração de Buda do Yin-Yang
庚辛清心经	Escritura da Purificação da Mente de Geng-Xin
寒月摄神秘法	Técnica Secreta de Captura da Alma da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Segredos Essenciais de Purificar a Mente do Imortal Xu Yazhi
白虎饕餮要诀	Instrução Essencial do Taotie do Tigre Branco
灵息诀	Arte da Respiração Espiritual
鼎炉吸真术	Técnica de Absorver o Verdadeiro pelo Caldeirão-Forno
再造术	Técnica de Recriação
尘暴术	Técnica de Tempestade de Poeira
求雨术	Técnica de Invocar Chuva
甘霖术	Técnica da Chuva Abençoada
风水鉴定	Avaliação de Feng Shui
太和御气诀	Arte de Controle do Qi da Grande Harmonia
清心咒	Mantra de Purificar a Mente
御木诀	Arte de Controle da Madeira
天水化伤术	Técnica de Cura de Feridas da Água Celestial
采水诀	Arte de Coletar Água
玄牝重生法	Método de Renascimento do Mistério Feminino
乘风诀	Arte de Montar o Vento
奔流诀	Arte da Correnteza
水精真形	Forma Verdadeira da Essência de Água
水气真形	Forma Verdadeira do Qi de Água
水神真形	Forma Verdadeira do Deus da Água
暴雨术	Tempestade de Chuva
玄魂造命	Criação de Vida da Alma Misteriosa
醍醐灌顶之术	Técnica de Iluminação Total
玄金五气真言	Verdadeiro Mantra dos Cinco Qis do Metal Místico
勾陈三花咒	Mantra das Três Flores de Gouchen
紫云宫流光咒	Mantra do Brilho Fluente do Palácio da Nuvem Violeta
奠基经	Escritura de Fundação
金刚要诀	Instrução Essencial Vajra
奠基秘要	Segredos Essenciais de Fundação
玄金奠基秘册	Grimório Secreto de Fundação do Metal Místico
入道奠基经	Escritura de Fundação para Entrar no Dao
庚金金刚	Vajra do Metal Geng
断岳奠基宝典	Manual de Fundação de Duanyue
断岳金刚宝典	Manual Vajra de Duanyue
化形金刚	Vajra de Transformação
辟谷宝典	Manual de Bigu
叶厚上仙神视神功	Arte Divina da Visão Espiritual do Imortal Ye Hou
御气清心经	Escritura de Purificar a Mente de Controle do Qi
赤霄宫合一册	Registro de Unificação do Palácio Chixiao
入道归祖神功	Arte Divina de Retorno ao Ancestral para Entrar no Dao
玄机神视秘要	Segredos Essenciais da Visão Espiritual do Mistério Profundo
归真鲸吞要诀	Instrução Essencial do Devorar-Baleia do Retorno ao Verdadeiro
天魔解体大法	Grande Técnica de Desintegração do Demônio Celestial
炼制灵石之术	Técnica de Refinar Pedras Espirituais
玄机流光真言	Verdadeiro Mantra do Brilho Fluente do Mistério Profundo
金丹流光	Brilho Fluente do Núcleo Dourado
迅影	Sombra Veloz
混元秘法	Técnica Secreta do Caos Primordial
寒月坤元决	Arte do Caos Terreno da Lua Fria
五戒千钧剑诀	Arte da Espada de Mil-Jin dos Cinco Preceitos
彻法混元十式	Dez Formas do Caos Primordial da Lei Completa
多宝通卷	Compêndio Completo de Duobao
百炼秘要	Segredos Essenciais das Cem Refinações
饕餮	Taotie
龙虎鬼手通卷	Compêndio Completo da Mão Fantasma do Dragão e Tigre
真丹多宝	Duobao do Verdadeiro Elixir
三才多宝纲要	Esboço de Duobao dos Três Talentos
六气圆转十三式	Treze Formas do Giro Circular das Seis Energias
献祭	Oferenda de Sacrifício
精火筑灵	Forjar o Espírito com Fogo Essencial
逆浪天星咒	Mantra da Estrela Celestial da Maré Inversa
少林金刚神雷	Trovão Divino Vajra de Shaolin
金刚	Vajra
奠基要诀	Instrução Essencial de Fundação
修蛇金刚宝典	Manual Vajra da Serpente Xiu
五内奠基宝典	Manual de Fundação dos Cinco Órgãos
知节奠基经	Escritura de Fundação de Zhijie
万源归真金刚宝典	Manual Vajra de Retorno ao Verdadeiro das Dez Mil Origens
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Pergaminho Secreto Vajra de Ziwei
凌霄奠基秘要	Segredos Essenciais de Fundação de Lingxiao
百汇奠基秘法	Técnica Secreta de Fundação das Cem Convergências
沃野丹方	Receituário de Elixires das Terras Férteis
星辰合一册	Registro de Unificação das Estrelas
壬水合一书	Escritura de Unificação da Água Ren
凌霄合一册	Registro de Unificação de Lingxiao
逆浪清心神功	Arte Divina de Purificar a Mente da Maré Inversa
文盛真人摄神册	Registro de Captura da Alma do Verdadeiro Wen Sheng
百汇佛心	Coração de Buda das Cem Convergências
大衍神算	Cálculo Derivado
分神之术	Técnica de Dividir a Mente
庚金决意秘传	Ensinamento Secreto de Determinação do Metal Geng
赤日三花诀	Arte das Três Flores do Sol Escarlate
奠基密卷	Pergaminho Secreto de Fundação
天金金刚经	Escritura Vajra do Metal Celestial
玄金金刚秘要	Segredos Essenciais Vajra do Metal Místico
龙虎金刚	Vajra do Dragão e Tigre
勾陈奠基	Fundação de Gouchen
百草阁金刚秘法	Técnica Secreta Vajra do Pavilhão das Cem Ervas
饕餮纪要	Resumo do Taotie
多宝	Duobao
阴阳鬼手秘传	Ensinamento Secreto da Mão Fantasma do Yin-Yang
金雷鬼手宝典	Manual da Mão Fantasma do Trovão Dourado
寒月百炼通卷	Compêndio Completo das Cem Refinações da Lua Fria
炎神殿鬼手纲要	Esboço da Mão Fantasma do Templo do Deus das Chamas
御气万古秘要	Segredos Essenciais de Controle do Qi das Dez Mil Eras
阴阳神佑秘要	Segredos Essenciais da Proteção Divina do Yin-Yang
魂体寄生	Parasitismo do Corpo-Alma
武当佛心典	Cânone do Coração de Buda de Wudang
星辰五方	Cinco Direções Estelares
陨星诀	Arte da Estrela Cadente
逆浪不坏真言	Verdadeiro Mantra da Indestrutibilidade da Maré Inversa
曳影七式	Sete Formas do Rastro de Sombra
归祖要诀	Instrução Essencial de Retorno ao Ancestral
勾陈气摄秘法	Técnica Secreta de Absorção de Qi de Gouchen
壬癸神佑	Proteção Divina de Ren-Gui
凝光鬼手宝典	Manual da Mão Fantasma da Luz Condensada
惊波百炼宝册	Grimório de Tesouros das Cem Refinações da Onda Turbulenta
修蛇归祖密卷	Pergaminho Secreto de Retorno ao Ancestral da Serpente Xiu
玄武神视纪要	Resumo da Visão Espiritual da Tartaruga Negra
冷月急诵秘法	Técnica Secreta de Recitação Rápida da Lua Fria
腾岳覆天	Cobrir o Céu de Tengyue
破灭	Ruína
破灭密卷	Pergaminho Secreto da Ruína
气摄宝典	Manual de Absorção de Qi
勾陈决意要诀	Instrução Essencial de Determinação de Gouchen
彻法归祖秘要	Segredos Essenciais de Retorno ao Ancestral da Lei Completa
华山万古神功	Arte Divina das Dez Mil Eras de Huashan
伐毛洗髓之术	Técnica de Purificar Medula e Pele
彻法不朽	Imortalidade da Lei Completa
化形金刚神雷	Trovão Divino Vajra de Transformação
奠基秘册	Grimório Secreto de Fundação
长生金刚秘要	Segredos Essenciais Vajra da Longevidade
黄庭金刚秘法	Técnica Secreta Vajra do Pátio Amarelo
新境奠基经	Escritura de Fundação do Novo Reino
少林金刚经	Escritura Vajra de Shaolin
大日奠基秘要	Segredos Essenciais de Fundação do Grande Sol
佛心秘法	Técnica Secreta do Coração de Buda
合一秘要	Segredos Essenciais da Unificação
长生通慧记	Registro de Sabedoria Ampla da Longevidade
南海佛心典	Cânone do Coração de Buda do Mar do Sul
玄关神农	Shennong do Portal Místico
断岳鲸吞秘要	Segredos Essenciais do Devorar-Baleia de Duanyue
化形神佑典	Cânone da Proteção Divina de Transformação
太乙清心经	Escritura de Purificar a Mente de Taiyi
托体同山诀	Arte de Ancorar o Corpo à Montanha
西海九极咒	Mantra dos Nove Extremos do Mar do Oeste
咒神宝典	Manual do Deus dos Mantras
崩天卷	Pergaminho do Colapso do Céu
多宝秘传	Ensinamento Secreto de Duobao
多宝宝册	Grimório de Duobao
天金摄神册	Registro de Captura da Alma do Metal Celestial
未来星宿百炼秘传	Ensinamento Secreto das Cem Refinações das Constelações Futuras
辛金百炼秘传	Ensinamento Secreto das Cem Refinações do Metal Xin
断岳多宝宝册	Grimório de Duobao de Duanyue
玄机多宝	Duobao do Mistério Profundo
天魔化身术	Técnica de Encarnação do Demônio Celestial
开天眼之术	Técnica de Abrir o Olho Celestial
通符书	Escritura de Talismãs
云气汇流	Confluência de Qi Nublado
剑符录	Registro de Talismãs de Espada
玄符录	Registro de Talismãs Místicos
天甲符	Talismã da Armadura Celestial
咒符录	Registro de Talismãs de Mantra
神咒符	Talismã do Mantra Divino
结云经	Escritura de Condensar Nuvens
祈天经	Escritura de Prece ao Céu
通天符法	Técnica de Talismãs que Alcança o Céu
天真论	Tratado do Verdadeiro Celestial
无上神符	Talismã Divino Supremo
借天符	Talismã de Tomar Emprestado do Céu
遮天符	Talismã de Encobrir o Céu
云行法	Método de Caminhar nas Nuvens
东木分神书	Escritura de Dividir a Mente da Madeira do Leste
天岭金刚真言	Verdadeiro Mantra Vajra de Tianling
戊土八极真言	Verdadeiro Mantra dos Oito Extremos da Terra Wu
归家五方诀	Arte das Cinco Direções do Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos do Caos Terreno
千钧十三式	Treze Formas de Mil-Jin
曳影式	Forma do Rastro de Sombra
破灭要诀	Instrução Essencial da Ruína
神农宝典	Manual de Shennong
摄神	Captura da Alma
万里多宝	Duobao de Dez Mil Léguas
五内琢玉通卷	Compêndio Completo de Polir Jade dos Cinco Órgãos
凌霄佛心要诀	Instrução Essencial do Coração de Buda de Lingxiao
己土辟谷要诀	Instrução Essencial de Bigu da Terra Ji
炎神殿通慧要诀	Instrução Essencial de Sabedoria Ampla do Templo do Deus das Chamas
东海神佑要诀	Instrução Essencial da Proteção Divina do Mar do Leste
风月幻境	Ilusão do Vento e da Lua
真丹金刚	Vajra do Verdadeiro Elixir
长生陨星诀	Arte da Estrela Cadente da Longevidade
崩天	Colapso do Céu
急诵秘要	Segredos Essenciais de Recitação Rápida
崩天秘诀	Segredo do Colapso do Céu
华山归藏密卷	Pergaminho Secreto de Retorno e Ocultação de Huashan
摄神册	Registro de Captura da Alma
入道鬼手要诀	Instrução Essencial da Mão Fantasma para Entrar no Dao
多宝神农	Shennong de Duobao
造化饕餮神功	Arte Divina do Taotie da Criação
戊己神佑要诀	Instrução Essencial da Proteção Divina de Wu-Ji
五印刻神	Cinco Selos de Gravar o Espírito
行疆神视秘传	Ensinamento Secreto da Visão Espiritual de Xingjiang
知节金刚咒	Mantra Vajra de Zhijie
现在贤流光真言	Verdadeiro Mantra do Brilho Fluente do Sábio Atual
戊土金刚咒	Mantra Vajra da Terra Wu
急诵	Recitação Rápida
咒神九卷	Nove Pergaminhos do Deus dos Mantras
