拜祖师	Culto aos Ancestrais
韶兴	
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Fogo Negro
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>项辉</font> estava contente por estar vestindo algo que caía bem, e ao ver <font color=HECOLOR>毛依白</font> passando, puxou-a para conversar sobre <font color=OBJCOLOR>九华村</font>.
3天 05:57	3d 05:57
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Mount Mover
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Sem nuvens por todos os cantos, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>observava os astros à noite</font>, de repente derramou lágrimas.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente achou que a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado era muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Veste Dourada
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com tudo em silêncio, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>pintava e escrevia</font>, de repente derramou lágrimas.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	No período de 寅时, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente derramou lágrimas.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Enquanto conversava com <font color=HECOLOR>毛依白</font>, <font color=MYCOLOR>昌志用</font> teve seu <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font> descoberto por <font color=HECOLOR>毛依白</font>; então, <font color=MYCOLOR>昌志用</font> contou a ela a origem do <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>, e <font color=HECOLOR>毛依白</font> ficou maravilhado.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu límpido, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>se divertia</font>, de repente sentiu algo no coração, adquirindo novas percepções sobre o Tao Celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Sem nuvens por todos os cantos, <font color=MYCOLOR>昌志用</font> silenciosamente <font color=OBJCOLOR>olhava o teto</font>, de repente lembrou de seu <font color=OBJCOLOR>pai昌学智</font>.
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente quis comer <font color=OBJCOLOR>fezes de gata</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>tocava música</font>, não pôde deixar de cantar suavemente.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente sentiu uma irritação inexplicável.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	ao meio-dia, <font color=MYCOLOR>干栋</font> silenciosamente <font color=OBJCOLOR>olhava o teto</font>, de repente lembrou de sua <font color=OBJCOLOR>mãe晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>pintava e escrevia</font>, de repente a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>干栋</font> sozinho <font color=OBJCOLOR>olhava o teto</font>, de repente ficou imerso em pensamentos.
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Dentro da seita, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente quis comer <font color=OBJCOLOR>fezes de gata</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol se pondo e o coração preguiçoso, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> por estar de bom humor devido à sua <font color=OBJCOLOR>vibrante</font> disposição, não pôde evitar <font color=OBJCOLOR>tocar música</font> para expressar seus sentimentos.
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	No período de 亥时, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente derramou lágrimas.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Sem nuvens por todos os cantos, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente se sentiu muito desanimada.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente sentiu uma irritação inexplicável.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Water Woman	(Mulher da Água)
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu límpido, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>observava as nuvens se desfazerem</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente sentiu uma irritação inexplicável.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu sem nuvens, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente quis ir ver o <font color=OBJCOLOR>天极峰</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	No período de 日禺, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente quis comer <font color=OBJCOLOR>饮气丹</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> sozinho <font color=OBJCOLOR>tocava música</font>, de repente ficou imerso em pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> foi perturbado pela emoção de <font color=OBJCOLOR>necessitar de um quarto</font> e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Queimador de Almas
钱	Fortuna
煞	Funesto
二	Duplo
屠	Letal
兔	Coelho
丙	Prop
蛇	Cobra
子	Zi
劫	Larcenoso
酉	You
乙	Ondulante
朱	Carmesim
鬣	Peludo
达	Da
猪	Porco
毅	Yi
豪	Audacioso
山	Shan
肆叁伍叁贰贰零玖贰	435322092
扫地	Varre o Chão
七七七	777
神秘大能	Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do Mundo
天苍246年 春 第9日	Ano 246, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Diz-se que nas profundezas do deserto, de repente, o céu desabou e a terra se rachou, e as inscrições na pedra do sagrado penhasco do dragão da antiga era dos demônios reapareceram no mundo!
天苍246年 春 第12日	Ano 246, Primavera, Dia 12
陶飞心境不稳	陶飞 com mente instável
韶兴遇到瓶颈	韶兴 encontrou um impasse
项辉遇到瓶颈	项辉 encontrou um impasse
奚顺遇到瓶颈	奚顺 encontrou um impasse
郜世遇到瓶颈	郜世 encontrou um impasse
姬彭亮遇到瓶颈	姬彭亮 encontrou um impasse
昌志用遇到瓶颈	昌志用 encontrou um impasse
钭世遇到瓶颈	钭世 encontrou um impasse
熊子石遇到瓶颈	熊子石 encontrou um impasse
陶飞遇到瓶颈	陶飞 encontrou um impasse
干栋遇到瓶颈	干栋 encontrou um impasse
水雅绿遇到瓶颈	水雅绿 encontrou um impasse
韶兴突破瓶颈成功	韶兴 rompeu o impasse com sucesso
项辉突破瓶颈成功	项辉 rompeu o impasse com sucesso
奚顺突破瓶颈成功	奚顺 rompeu o impasse com sucesso
郜世突破瓶颈成功	郜世 rompeu o impasse com sucesso
姬彭亮突破瓶颈成功	姬彭亮 rompeu o impasse com sucesso
昌志用突破瓶颈成功	昌志用 rompeu o impasse com sucesso
钭世突破瓶颈成功	钭世 rompeu o impasse com sucesso
干栋突破瓶颈成功	干栋 rompeu o impasse com sucesso
水雅绿突破瓶颈成功	水雅绿 rompeu o impasse com sucesso
存档写入完成	Jogo Salvado	
门派传闻	Rumor da Seita
据传百蛮山的大能蓟语山在稻香村出没。	Diz-se que o poderoso 蓟语山 de Montanha dos Bárbaros aparece na Vila do Cheiro de Arroz.
据传丹霞洞天的大能平坚在雪风原出没。	Diz-se que o poderoso 平坚 de Céu Danxia aparece na Planície do Vento de Neve.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Diz-se que um venerável ascendido da Seita do Caminho Correto de repente derramou uma grande quantidade de bênçãos, aumentando significativamente o poder da seita.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Diz-se que a Seita do Caminho Correto encontrou a caverna de um cultivador de artefatos antigos, obtendo uma grande quantidade de instrumentos espirituais que abrigam o espírito primordial, aumentando significativamente o poder da seita.
灵石护山剑阵正被攻击	Formação de Espada de Proteção da Pedra Espiritual está sendo atacada
灵石墙正被攻击	A Muralha da Pedra Espiritual está sendo atacada
妖兽猪毅出现了	Besta ZhuYi apareceu.
猪毅突破瓶颈成功	ZhuYi rompeu o impasse com sucesso
妖兽二屠出现了	Besta Er Tu apareceu.
妖兽兔丙出现了	Besta Tu Bing apareceu.
妖兽钱煞出现了	Besta Qian Sha apareceu.
妖兽朱栋出现了	Besta Zhu Dong apareceu.
妖兽乙安出现了	Besta Yi An apareceu.
妖兽豪山出现了	Besta Hao Shan apareceu.
妖兽劫酉出现了	Besta Jie You apareceu.
妖兽鬣达出现了	Besta Lie Da apareceu.
妖兽蛇子出现了	Besta She Zi apareceu.
理气丹	Pílula de Regulação Qi
理气丹正在发挥药效	A Pílula de Regulação Qi está fazendo efeito
赋灵术	Técnica de Infusão Espiritual
五泉涤心法	Método de Purificação do Coração das Cinco Fontes
先天罡气	Qi Inato
化伤术	Técnica de Cura de Ferimentos
天霖诀	Técnica Tianlin
天一真法	Verdadeira Técnica Tianyi
水镜观心定	Meditação do Espelho d'Água para Contemplar o Coração
同风诀	Técnica do Vento Comum
归海诀	Segredo do Retorno ao Mar
九阴真水界	Mundo Verdadeiro da Água Nove Yin
罡煞合流	Confluência de Força Brutal
新境神佑书	Livro da Nova Dimensão de Proteção Divina
紫火千钧剑诀	Técnica da Espada de Milhares de Unidades de Fogo Roxo
五方神雷	Relâmpago Divino dos Cinco Lados
紫火落花	Flor Caída de Fogo Roxo
丁火落花真言	Verdadeiro Feitiço da Flor Caída de Fogo de Ding
多宝流光真言	Verdadeiro Feitiço do Fluxo de Luz de Duo Bao
混元要诀	Segredo do Caos Primordial
少量的	Levemente
混元十三式	Treze Formas do Caos Primordial
破灭秘诀	Segredo da Aniquilação
曳影	Arrasto de Sombra
五戒坤元	Os Cinco Preceitos do Kun Yuan
中量的	Visivelmente
御气混元宝典	Manual do Caos Primordial de Domínio do Qi
赤炎圆转剑诀	Técnica da Espada Giratória do Fogo Vermelho
五台混元七式	Sete Formas do Caos Primordial de Wutai
三才坤元十三式	Treze Formas dos Três Talentos de Kun Yuan
大量的	Grandemente
未来星宿千钧宝典	Manual do Milhão de Unidades dos Astros Futuros
嵩山坤元秘要	Essência Secreta de Kun Yuan de Songshan
佛心书	Livro do Coração Budista
鄂芸上仙归祖经	Clássico do Retorno ao Ancestral do Imortal E Yun
哈氏神佑秘要	Essência Secreta da Proteção Divina da Família Ha
微草神农通卷	Volume de Comunicação Divina de Shen Nong de Wei Cao
五内多宝宝典	Manual do Múltiplo Tesouro Interno
赤月合一秘要	Essência Secreta da União da Lua Vermelha
五内饕餮神功	Arte Marcial Divina do Voraz das Profundezas
阴神夺舍	Posse Menor
冥灵真法	Verdadeira Técnica do Espírito Sombrio
天道神丹	Elixir Divino do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada Giratória da Longevidade
入定之术	Técnica de Meditação Profunda
断岳覆天诀	Encantamento de Demolição e Encobrimento
勾陈流光	Horário de Gouchen
经之柔上仙金刚咒	Encantamento Inquebrável do Imortal Jing Zhirou
紫薇流光真言	Mantra do Tempo da Mirta Roxa
金刚经	Sutra do Diamante
奠基宝典	Livro de Fundação
金刚宝典	Manual do Diamante
金刚秘册	Compêndio Secreto do Diamante
东海金刚秘要	Essência Secreta do Diamante do Mar do Leste
玄关金刚宝典	Manual do Diamante do Portal Místico
白虎奠基	Fundação do Tigre Branco
御气金刚	Diamante do Domínio do Qi
庚辛金刚密卷	Compêndio Secreto do Diamante de Geng Xin
断岳奠基秘要	Essência Secreta da Fundação de Duanyue
神佑册	Compêndio da Proteção Divina
辟谷密卷	Compêndio Secreto do Jejum
五内鲸吞纪要	Resumo do Engolimento Interno
龙虎佛心书	Livro do Coração Budista do Dragão e Tigre
阴阳佛心记	Crônica do Coração Budista Yin Yang
庚辛清心经	Sutra do Coração Puro de Geng Xin
寒月摄神秘法	Técnica Secreta da Captura Divina da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Essência Secreta do Coração Puro do Imortal Xu Yazhi
白虎饕餮要诀	Segredo Essencial do Voraz do Tigre Branco
灵息诀	Técnica da Respiração Espiritual
鼎炉吸真术	Técnica do Caldeirão de Absorção da Verdadeira Essência
再造术	Técnica da Reconstrução
尘暴术	Técnica da Tempestade de Poeira
求雨术	Técnica de Invocação da Chuva
甘霖术	Técnica da Chuva Abençoada
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica do Domínio do Qi Taihe
清心咒	Feitiço do Coração Puro
御木诀	Técnica do Domínio da Madeira
天水化伤术	Técnica de Cura da Água Celestial
采水诀	Técnica de Coleta de Água
玄牝重生法	Método da Reencarnação do Útero Místico
乘风诀	Técnica de Cavalgar o Vento
奔流诀	Técnica do Fluxo Veloz
水精真形	Verdadeira Forma da Essência da Água
水气真形	Verdadeira Forma do Qi da Água
水神真形	Verdadeira Forma do Deus da Água
暴雨术	Tempestade de Chuva
玄魂造命	Criação do Destino pelo Espírito Místico
醍醐灌顶之术	Técnica da Iluminação Suprema
玄金五气真言	Verdadeiro Feitiço do Qi Místico de Xuan Jin
勾陈三花咒	Feitiço dos Três Flores de Gouchen
紫云宫流光咒	Feitiço do Fluxo de Luz do Palácio Ziyun
奠基经	Sutra de Fundação
金刚要诀	Segredo Essencial do Diamante
奠基秘要	Essência Secreta da Fundação
玄金奠基秘册	Compêndio Secreto de Fundação de Xuan Jin
入道奠基经	Sutra de Fundação da Entrada no Caminho
庚金金刚	Diamante de Geng Jin
断岳奠基宝典	Manual de Fundação de Duanyue
断岳金刚宝典	Manual do Diamante de Duanyue
化形金刚	Diamante da Transformação
辟谷宝典	Manual do Jejum
叶厚上仙神视神功	Arte Divina da Visão do Imortal Ye Hou
御气清心经	Sutra do Coração Puro do Domínio do Qi
赤霄宫合一册	Compêndio da União do Palácio Chixiao
入道归祖神功	Arte Divina do Retorno ao Ancestral
玄机神视秘要	Essência Secreta da Visão Divina do Mistério
归真鲸吞要诀	Segredo Essencial do Engolimento da Baleia
天魔解体大法	Grande Técnica de Desintegração do Demônio Celestial
炼制灵石之术	Técnica de Refinamento da Pedra Espiritual
玄机流光真言	Verdadeiro Feitiço do Fluxo de Luz do Mistério
金丹流光	Fluxo de Luz do Elixir Dourado
迅影	Sombra Veloz
混元秘法	Técnica Secreta do Caos Primordial
寒月坤元决	Decisão de Kun Yuan da Lua Fria
五戒千钧剑诀	Técnica da Espada de Milhares de Unidades dos Cinco Preceitos
彻法混元十式	Dez Formas do Caos Primordial da Totalidade
多宝通卷	Volume de Comunicação de Duo Bao
百炼秘要	Essência Secreta da Centena de Forjas
饕餮	Voraz
龙虎鬼手通卷	Volume das Mãos Fantasmagóricas do Dragão e Tigre
真丹多宝	Elixir Verdadeiro de Duo Bao
三才多宝纲要	Esboço dos Três Talentos de Duo Bao
六气圆转十三式	Treze Formas da Rotação dos Seis Qi
献祭	Oferta Sacrificial
精火筑灵	Construção Espiritual com Fogo Refinado
逆浪天星咒	Feitiço da Estrela Celestial Contra as Correntes
少林金刚神雷	Relâmpago Divino do Diamante de Shaolin
金刚	Diamante
奠基要诀	Segredo Essencial da Fundação
修蛇金刚宝典	Manual do Diamante da Serpente Cultivada
五内奠基宝典	Manual de Fundação do Interior dos Cinco
知节奠基经	Sutra de Fundação da Sabedoria dos Preceitos
万源归真金刚宝典	Manual do Diamante do Retorno ao Verdadeiro de Wan Yuan
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Volume Secreto do Diamante Ziwei
凌霄奠基秘要	Essência Secreta da Fundação de Lingxiao
百汇奠基秘法	Técnica Secreta de Fundação de Baihui
沃野丹方	Fórmula do Elixir dos Campos Férteis
星辰合一册	Compêndio da União das Estrelas
壬水合一书	Livro da União de Ren Shui
凌霄合一册	Compêndio da União de Lingxiao
逆浪清心神功	Arte Divina do Coração Puro Contra as Correntes
文盛真人摄神册	Livro de Captura de Espíritos do Mestre Wensheng
百汇佛心	Coração de Buda de Baihui
大衍神算	Cálculo Derivado
分神之术	Técnica de Divisão de Espírito
庚金决意秘传	Transmissão Secreta da Decisão de Gengjin
赤日三花诀	Técnica das Três Flores do Sol Escarlate
奠基密卷	Volume Secreto de Fundação
天金金刚经	Sutra do Diamante Dourado Celestial
玄金金刚秘要	Essência Secreta do Diamante de Ouro Místico
龙虎金刚	Diamante do Dragão e do Tigre
勾陈奠基	Fundação de Goucheng
百草阁金刚秘法	Técnica Secreta do Diamante do Pavilhão das Cem Ervas
饕餮纪要	Resumo de Taotie
多宝	Muitos Tesouros
阴阳鬼手秘传	Transmissão Secreta da Mão Fantasma Yin-Yang
金雷鬼手宝典	Grimório da Mão Fantasma do Trovão Dourado
寒月百炼通卷	Volume Completo das Cem Refinarias da Lua Fria
炎神殿鬼手纲要	Compêndio da Mão Fantasma do Salão do Deus das Chamas
御气万古秘要	Essência Secreta do Controle do Qi Eterno
阴阳神佑秘要	Essência Secreta da Bênção Yin-Yang
魂体寄生	Parasita da Alma e do Corpo
武当佛心典	Cânone do Coração de Buda de Wudang
星辰五方	Constelação das Cinco Direções
陨星诀	Cântico da Estrela Cadente
逆浪不坏真言	Mantra Inquebrável Contra as Correntes
曳影七式	Sete Estilos da Sombra Arrastada
归祖要诀	Essência do Retorno aos Ancestrais
勾陈气摄秘法	Técnica Secreta de Captura de Qi de Goucheng
壬癸神佑	Bênção Divina de Ren e Gui
凝光鬼手宝典	Grimório da Mão Fantasma da Luz Condensada
惊波百炼宝册	Grimório das Cem Refinarias da Onda Surpreendente
修蛇归祖密卷	Volume Secreto do Retorno à Serpente Refinada
玄武神视纪要	Resumo da Visão Divina de Xuanwu
冷月急诵秘法	Técnica Secreta de Canto Rápido da Lua Fria
腾岳覆天	Teng Yue Cobrindo o Céu
破灭	Destruição
破灭密卷	Volume Secreto da Destruição
气摄宝典	Grimório de Captura de Qi
勾陈决意要诀	Essência da Decisão de Goucheng
彻法归祖秘要	Essência Secreta da Retomada Completa da Lei
华山万古神功	Arte Divina Eterna de Huashan
伐毛洗髓之术	Técnica de Purificação de Medula e Cabelo
彻法不朽	Imortalidade da Lei Completa
化形金刚神雷	Trovão Divino do Diamante da Transformação
奠基秘册	Livro Secreto de Fundação
长生金刚秘要	Essência Secreta da Longevidade do Diamante
黄庭金刚秘法	Técnica Secreta do Diamante do Jardim Amarelo
新境奠基经	Sutra da Fundação do Novo Reino
少林金刚经	Sutra do Diamante de Shaolin
大日奠基秘要	Essência Secreta da Fundação do Grande Sol
佛心秘法	Técnica Secreta do Coração de Buda
合一秘要	Essência Secreta da União
长生通慧记	Registro da Sabedoria Eterna da Longevidade
南海佛心典	Cânone do Coração de Buda do Mar do Sul
玄关神农	Shennong do Portal Misterioso
断岳鲸吞秘要	Essência Secreta da Baleia Devoradora da Montanha Quebrada
化形神佑典	Cânone da Bênção Divina da Transformação
太乙清心经	Sutra do Coração Puro de Taiyi
托体同山诀	Técnica de Fusão Corporal com a Montanha
西海九极咒	Feitiço dos Nove Extremos do Mar Ocidental
咒神宝典	Grimório dos Feitiços Divinos
崩天卷	Volume da Ruína Celestial
多宝秘传	Transmissão Secreta dos Muitos Tesouros
多宝宝册	Grimório dos Muitos Tesouros
天金摄神册	Livro de Captura de Espíritos de Ouro Celestial
未来星宿百炼秘传	Transmissão Secreta das Cem Refinarias das Constelações Futuras
辛金百炼秘传	Transmissão Secreta das Cem Refinarias de Xinjin
断岳多宝宝册	Grimório dos Muitos Tesouros da Montanha Quebrada
玄机多宝	Muitos Tesouros do Mistério Oculto
天魔化身术	Técnica da Encarnação do Demônio Celestial
开天眼之术	Técnica da Abertura do Olho Celestial
通符书	Livro dos Símbolos Conectados
云气汇流	Convergência das Energias das Nuvens
剑符录	Registro dos Símbolos da Espada
玄符录	Registro dos Símbolos Místicos
天甲符	Símbolo da Armadura Celestial
咒符录	Registro dos Símbolos de Feitiço
神咒符	Símbolo dos Feitiços Divinos
结云经	Sutra da Formação das Nuvens
祈天经	Sutra da Oração Celestial
通天符法	Técnica do Símbolo da Passagem Celestial
天真论	Discurso sobre a Verdade Celestial
无上神符	Símbolo Divino Supremo
借天符	Símbolo da Concessão Celestial
遮天符	Símbolo da Cobertura Celestial
云行法	Técnica da Caminhada sobre as Nuvens
东木分神书	Livro da Divisão de Espírito de Dongmu
天岭金刚真言	Mantra de Diamante do Pico Celestial
戊土八极真言	Mantra dos Oito Extremos da Terra Wu
归家五方诀	Técnica das Cinco Direções de Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos de Kun Yuan
千钧十三式	Treze Estilos de Mil Jin
曳影式	Estilo da Sombra Arrastada
破灭要诀	Essência da Destruição
神农宝典	Grimório de Shennong
摄神	Captura de Espírito
万里多宝	Muitos Tesouros de Mil Li
五内琢玉通卷	Volume Completo da Lapidação dos Cinco Órgãos
凌霄佛心要诀	Essência do Coração de Buda de Lingxiao
己土辟谷要诀	Essência da Reclusão de Ji Tu
炎神殿通慧要诀	Essência da Sabedoria do Salão do Deus das Chamas
东海神佑要诀	Essência da Bênção Divina do Mar Oriental
风月幻境	Ilusão do Vento e da Lua
真丹金刚	Diamante do Verdadeiro Elixir
长生陨星诀	Técnica da Estrela Cadente da Longevidade
崩天	Ruína Celestial
急诵秘要	Essência Secreta do Canto Rápido
崩天秘诀	Técnica Secreta da Ruína Celestial
华山归藏密卷	Volume Secreto do Retorno Oculto de Huashan
摄神册	Livro de Captura de Espíritos
入道鬼手要诀	Essência da Mão Fantasma da Entrada no Caminho
多宝神农	Muitos Tesouros de Shennong
造化饕餮神功	Arte Divina da Criação de Taotie
戊己神佑要诀	Essência da Bênção Divina de Wu e Ji
五印刻神	Cinco Selos Gravados Divinos
行疆神视秘传	Transmissão Secreta da Visão Divina de Xingjiang
知节金刚咒	Prudent Ironclad Incantation
现在贤流光真言	Auspicious Aeon Time Mantra
戊土金刚咒	Grim Ironclad Incantation
急诵	Recitação Rápida
咒神九卷	Nove Pergaminhos do Deus dos Feitiços
归祖	Retorno aos Ancestrais
通慧册	Compêndio da Sabedoria Universal
琢玉通卷	Pergaminho Completo de Esculpir Jade
行疆佛心典	Clássico do Coração Búdico de Xingjiang
东华多宝秘传	Segredo dos Muitos Tesouros de Donghua
和春枫真人神佑典	Clássico da Bênção Divina do Mestre He Chunfeng
玄关合一秘法	Técnica Secreta de União do Portão Misterioso
真丹佛心册	Compêndio do Coração Búdico do Verdadeiro Elixir
镇岳鬼手纲要	Resumo da Mão Fantasma que Domina as Montanhas
六气饕餮神功	Arte Divina das Seis Energias do Glutão
驱云诀	Técnica de Dispersar Nuvens
行疆陨星咒	Feitiço da Estrela Cadente de Xingjiang
阴阳天星咒	Feitiço da Estrela Celestial do Yin-Yang
化影神雷	Trovão Divino da Transformação Sombria
迅击要诀	Técnica de Golpe Rápido
