talk	notarget	thing	int
DoTalkEat_Item_EarthEssence		Eu estou bebendo Fluxo da Terra	
DoTalkEat_Item_SilverGrit		Eu estou comendo Pó de Cristal de Gelo	
DoTalkEat_Item_CopperGrit		Eu estou comendo Pó de Cobre Igniógeno	
DoTalkEat_Item_Cinnabar		Eu estou comendo Cinnabar	
DoTalkEat_Item_LingMuXueJie		Eu estou comendo Essência de Resina	
DoTalkEat_Item_EarthEssence_1		Eu estou comendo Essência Sagrada	
DoTalkEat_Item_EarthEssence1_1		Eu estou comendo Essência Maléfica	
DoTalkEat_Item_Healroot		Eu estou comendo Erva Curativa	
DoTalkEat_Item_Mint		Eu estou comendo Folha de Pureza	
DoTalkEat_Item_MagicHerb		Eu estou comendo Folha Espiritual	
DoTalkEat_Item_Laxative		Eu estou comendo Laxante	
CantEat_Item_SnakeGallbladder	Não consigo encontrar Vesícula Biliar de Cobra para comer		
CantEat_Item_BearGallbladder	Não consigo encontrar Vesícula Biliar de Urso para comer		
CantEat_Item_RedGinseng	Não consigo encontrar Ginseng Vermelho para comer		
CantEat_Item_PurpleGanodermaLucidum	Não consigo encontrar Ganoderma Púrpura para comer		
CantEat_Item_TuEssence	Não consigo encontrar Essência de Ocre para comer		
CantEat_Item_HuoEssence	Não consigo encontrar Fruto Carmesim para comer		
CantEat_Item_ShuiEssence	Não consigo encontrar Lótus Prismático para comer		
CantEat_Item_JinEssence	Não consigo encontrar Fruto da Sagacidade para comer		
CantEat_Item_MuEssence	Não consigo encontrar Videira Retorcida para comer		
CantEat_Item_LifeStream	Não consigo encontrar Fonte da Vida para beber		
CantEat_Item_LongEgg	Não consigo encontrar Ovos de Dragão das Inundações para comer		
CantEat_Item_FengEgg	Não consigo encontrar Ovos de Fênix para comer		
CantEat_Item_DragonShit	Não consigo encontrar Fezes de Dragão para comer		
CantEat_Item_Jiaozi	Não consigo encontrar Jiaozi para comer		
CantEat_Item_BossFeng_Meat	Não consigo encontrar Carne de Fênix para comer		
CantEat_Item_BossLong_Meat	Não consigo encontrar Carne de Dragão para comer		
CantEat_Item_BossZhuLong_Meat	Não consigo encontrar Carne Primordial para comer		
CantEat_Item_Cake	Não consigo encontrar Pão para comer		
CantEat_Item_MonsterBlood	Não consigo encontrar Sangue de Monstro para comer		
CantEat_Item_EarthEssence	Não consigo encontrar Fluxo da Terra para beber		
CantEat_Item_SilverGrit	Não consigo encontrar Pó de Cristal de Gelo para comer		
CantEat_Item_CopperGrit	Não consigo encontrar Pó de Cobre Igniógeno para comer		
CantEat_Item_Cinnabar	Não consigo encontrar Cinnabar para comer		
CantEat_Item_LingMuXueJie	Não consigo encontrar Essência de Resina para comer		
CantEat_Item_EarthEssence_1	Não consigo encontrar Essência Sagrada para comer		
CantEat_Item_EarthEssence1_1	Não consigo encontrar Essência Maléfica para comer		
CantEat_Item_Healroot	Não consigo encontrar Erva Curativa para comer		
CantEat_Item_Mint	Não consigo encontrar Folha de Pureza para comer		
CantEat_Item_MagicHerb	Não consigo encontrar Folha Espiritual para comer		
CantEat_Item_Laxative	Não consigo encontrar Laxante para comer		
Leave1		{0}, tome cuidado na estrada	
Leave2		Volte logo, {0}	
Leave3		Viaje em segurança, {0}	
Back1		{0}, você finalmente voltou	
Back2		Bem-vindo de volta, {0}	
Back3		Senti sua falta, {0}	
NotBack1		{0}, como você ainda não voltou?	
NotBack2		{0}, o que você foi fazer?	
NotBack3		Eu me pergunto como está {0}	
BackComa1		O que aconteceu, {0}?	
BackComa2		{0} precisa de ajuda	
BackComa3		{0}, continue assim	
SleepHelp1		Melhoras logo, {0}!	
SleepHelp2		Melhoras logo, {0}!	
SleepHelp3		Melhoras logo, {0}!	
Lacrimosa1			...
Lacrimosa2			...
Lacrimosa3			...
QiGan_FullTalk	My Qi is at its limit		
NeiDan_FullTalk	My Internal Core is at its limit		
HuTi_FullTalk	My Protection is at its limit		
LingZhi_FullTalk	My Intelligence is at its limit		
ShuFa_FullTalk	My casting ability is at its limit		
