书	Escritura
腾岳神糜	Toalha de Mesa Divina da Colina Ascendente
苍莽问心符	Encantamento de Consciência Clara Colossal
火精锭	Barra de Essência de Fogo
丁火圭	Metal Ardente
青龙灵骨线	Damask de Osso Espiritual de Azuragon
腾岳障	Capa da Colina Ascendente
苍莽戮血木	Madeira de Abate Sangrento Colossal
万里障	Barreira Marchante
地龙罩	Capa do Dragão Terrestre
甲乙恶魄咒	Encantamento de Alma Maléfica Oriental
天玄散	Pó Daroth
天枢紫霞纱	Têxtil de Brilho Matinal Roxo de Dubhe
蜚皮休闲衣衫	Camisa Casual de Pele de Fei
蜚皮修行下裳	Calças de Cultivador de Pele de Fei
巧夺天工的神兵，融合制作者的心血与灵感而成。	Uma arma divina de habilidade inigualável, formada com o suor e a inspiração do seu criador.
千韧弓	Arco de Madeira Espiritual
青龙紫霞禁	Encantamento de Brilho Matinal Roxo de Azuragon
断岳彩云阙	Estela de Nuvem Iridescente da Demolição da Montanha Quebrada
天罡碑	Estela do Grande Carro
苍龙先天纱	Gaze de União Celestial de Marinagon
甲乙魔骨禁	Talismã Demoníaco Oriental
无极卷	Pergaminho Infinito
提高战斗能力，提高疼痛忍耐。	Usado para melhorar as habilidades de combate e a tolerância à dor.
武昌符	Talismã da Prosperidade Militar
佩戴者可以降低道行。	Reduz a realização do portador.
遮天符	Talismã de Ocultação Celestial
佩戴者可以提高寿元，远离疾瘴。恭祝各位新春快乐，万事如意！	Usado para aumentar a longevidade e a imunidade a doenças para quem o utiliza. Feliz Ano Novo Chinês e tudo de bom!
万寿图	Ilustração da Longevidade Eterna
角色出生点	Ponto de Nascimento
逻辑点	Ponto Lógico
灵石玄磁天坑	Cratera Magnética de Pedra Espiritual
上古残木	Toco Ancestral
奚	Xi
天苍 227年第102日,通过从打喷嚏获取的理智，对非常愤怒的感知，对湖的认知，产生了一点灵智碎片。	Tian Cang, dia 102 do ano 227, ao adquirir sanidade através de um espirro, com a percepção de extrema raiva e o entendimento do lago, gerou um fragmento de sabedoria espiritual.
天苍 228年第24日,通过从闻到了腐臭获取的理智，对非常恐惧的感知，对农田的认知，产生了一点灵智碎片。	Tian Cang, dia 24 do ano 228, ao adquirir sanidade através do odor de putrefação, com a percepção de extremo medo e o entendimento dos campos, gerou um fragmento de sabedoria espiritual.
天苍 228年第44日,通过从听弟子练功获取的理智，对担忧的感知，对裤子的认知，产生了一点灵智碎片。	Tian Cang, dia 44 do ano 228, ao adquirir sanidade através de ouvir os discípulos praticarem, com a percepção de preocupação e o entendimento das calças, gerou um fragmento de sabedoria espiritual.
天苍 236年第65日,通过从回忆获取的理智，对非常思念的感知，对秋季的认知，产生了一点灵智碎片。	Tian Cang, dia 65 do ano 236, ao adquirir sanidade através das memórias, com a percepção de extrema saudade e o entendimento do outono, gerou um fragmento de sabedoria espiritual.
天苍 238年第2日,通过从被捕猎获取的理智，对非常愤怒的感知，对秋季的认知，产生了一点灵智碎片。	Tian Cang, dia 2 do ano 238, ao adquirir sanidade através de ser caçado, com a percepção de extrema raiva e o entendimento do outono, gerou um fragmento de sabedoria espiritual.
天苍 245年第26日,通过从聆听琴声获取的理智，对有点思念的感知，对门的认知，产生了一点灵智碎片。	Tian Cang, dia 26 do ano 245, ao adquirir sanidade através de ouvir o som do qin, com a percepção de uma leve saudade e o entendimento da porta, gerou um fragmento de sabedoria espiritual.
天苍 245年第78日,通过从看巨石获取的理智，对平静的感知，对雷的认知，产生了一点灵智碎片。	Tian Cang, dia 78 do ano 245, ao adquirir sanidade através de ver uma pedra gigante, com a percepção de tranquilidade e o entendimento do trovão, gerou um fragmento de sabedoria espiritual.
沙漠之母·万磁之吞噬者	Mãe do Deserto-Magnet Devourer
南海十二都天诀		Os Doze Segredos Celestiais dos Doze Cidades do Mar do Sul
惊波流光	Brilho das Ondas Surpreendentes
哈家开天真言	O Verbo de Criação Celestial da Família Ha
冷月金钟	Sino Dourado da Lua Fria

我沉眠于地心亿万年，然而红尘的纷争唤醒了我。我既应召而来，世界也该付出代价！	Eu dormi no núcleo da Terra por séculos, mas os conflitos do mundo mortal me despertaram. Já que vim, o mundo deve pagar!
沙漠啊，我的孩子！扬起你的灰尘，遮蔽太阳的光芒吧！	Deserto, meu filho! Levanta tuas areias e encobre a luz do sol!
