拜祖师	Reverenciando os Ancestrais
门派中，<font color=MYCOLOR>葛慕儿</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>葛慕儿</font> <font color=OBJCOLOR>jogava Go</font> sozinha e, de repente, a mente se encheu de pensamentos.
4天 10:42	4d 10:42
<font color=MYCOLOR>葛慕儿</font>正无所事事的消磨着时光，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>需要房间</font>的事。	<font color=MYCOLOR>葛慕儿</font> estava matando o tempo sem fazer nada. Ao ver <font color=HECOLOR>毛依白</font> passando, puxou conversa com ela sobre <font color=OBJCOLOR>precisar de um quarto</font>.
4天 12:00	4d 12:00
日昳时分，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	No fim da tarde, <font color=MYCOLOR>葛慕儿</font>, enquanto <font color=OBJCOLOR>dançava</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
4天 14:38	4d 14:38
<font color=MYCOLOR>葛慕儿</font>因<font color=OBJCOLOR>聊天</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>葛慕儿</font> ficou de bom humor por causa da <font color=OBJCOLOR>conversa</font> e não resistiu: veio <font color=OBJCOLOR>olhar o teto</font> para desabafar.
4天 17:46	4d 17:46
门派中，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然觉得很气闷。	Na seita, <font color=MYCOLOR>葛慕儿</font>, enquanto <font color=OBJCOLOR>dançava</font>, de repente se sentiu muito sufocada.
4天 21:53	4d 21:53
天朗气清，<font color=MYCOLOR>葛慕儿</font>在<font color=OBJCOLOR>跳舞</font>时，突然想吃<font color=OBJCOLOR>兔肉</font>。	Com o céu claro e o ar puro, <font color=MYCOLOR>葛慕儿</font>, enquanto <font color=OBJCOLOR>dançava</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>carne de coelho</font>.
5天 03:55	5d 03:55
葛	Ge
慕儿	Muer
友	You
鲁	Lu
之玉	Zhiyu
汲	Ji
遮月	Zheyue
坤元圭	Origem da Terra
海	Hai
乜	Nie
珊	Shan
日中之时，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>面饼</font>。	No auge do dia, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>bolo de massa</font>.
2天 12:27	2d 12:27
申时，<font color=MYCOLOR>奚顺</font>一个人<font color=OBJCOLOR>观云卷云舒</font>，突然思绪万千。	À hora Shen, <font color=MYCOLOR>奚顺</font> ficou sozinho <font color=OBJCOLOR>observando as nuvens indo e vindo</font> e, de repente, a mente se encheu de pensamentos.
2天 16:14	2d 16:14
天朗气清，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu claro e o ar puro, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
2天 16:58	2d 16:58
晴空万里，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>下棋</font>时，突然想吃<font color=OBJCOLOR>公狼粪便</font>。	Com um céu vasto e limpo, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de lobo macho</font>.
3天 04:14	3d 04:14
日斜心慵，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得很气闷。	Com o sol já baixo e o coração preguiçoso, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente se sentiu muito sufocado.
3天 13:34	3d 13:34
门派中，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Na seita, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>se divertia</font>, de repente sentiu um lampejo no coração e teve muitos novos insights sobre o Dao Celestial.
4天 21:17	4d 21:17
月上柳梢，<font color=MYCOLOR>奚顺</font>在<font color=OBJCOLOR>书画</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Com a lua subindo sobre os ramos, <font color=MYCOLOR>奚顺</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente achou a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado bem interessante…
99天 21:52	99d 21:52
奚	Xi
顺	Shun
苗宣	Miaoxuan
容	Rong
春柏	Chunbai
震雷竹	Bambu do Trovão
晴空万里，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，突然想吃<font color=OBJCOLOR>母牛粪便</font>。	Com um céu vasto e limpo, <font color=MYCOLOR>毛依白</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de vaca</font>.
2天 03:55	2d 03:55
隅中时分，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>凝神望天</font>时，突然流下眼泪。	No meio da tarde, <font color=MYCOLOR>毛依白</font>, ao <font color=OBJCOLOR>contemplar o céu concentrada</font>, de repente deixou as lágrimas caírem.
2天 09:58	2d 09:58
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>随便看看</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>毛依白</font>, enquanto <font color=OBJCOLOR>dava uma olhada por aí</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
2天 12:16	2d 12:16
万里无云，<font color=MYCOLOR>毛依白</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>毛依白</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente deixou as lágrimas caírem.
4天 12:15	4d 12:15
晴空万里，<font color=MYCOLOR>毛依白</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Com um céu vasto e limpo, <font color=MYCOLOR>毛依白</font> ficou sozinha <font color=OBJCOLOR>olhando o teto</font> e, de repente, a mente se encheu de pensamentos.
5天 06:10	5d 06:10
毛	Mao
依白	Yibai
邦	Bang
子车	Ziju
晓凡	Xiaofan
赵	Zhao
智渊	Zhiyuan
黑苍龙	Chama Sombria
<font color=MYCOLOR>项辉</font>正因穿着合身而开心，看<font color=HECOLOR>毛依白</font>路过，就拉着她聊了聊关于<font color=OBJCOLOR>九华村</font>的事。	<font color=MYCOLOR>项辉</font> estava feliz por a roupa servir bem. Ao ver <font color=HECOLOR>毛依白</font> passando, puxou conversa com ela sobre <font color=OBJCOLOR>九华村</font>.
3天 05:57	3d 05:57
门派中，<font color=MYCOLOR>项辉</font>在<font color=OBJCOLOR>书画</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石水井</font>很有意思……	Na seita, <font color=MYCOLOR>项辉</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente achou o <font color=OBJCOLOR>poço de pedra espiritual</font> ao lado bem interessante…
5天 02:23	5d 02:23
天朗气清，<font color=MYCOLOR>项辉</font>在<font color=OBJCOLOR>看天花板</font>时，突然想吃<font color=OBJCOLOR>饺子</font>。	Com o céu claro e o ar puro, <font color=MYCOLOR>项辉</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>jiaozi</font>.
5天 06:34	5d 06:34
门派中，<font color=MYCOLOR>项辉</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>项辉</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente se sentiu irritado sem motivo.
99天 13:26	99d 13:26
项	Xiang
辉	Hui
商震	Shangzhen
阎	Yan
凡柔	Fanrou
搬山公	Príncipe Removedor de Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>凤妹</font>, enquanto <font color=OBJCOLOR>observava as estrelas à noite</font>, de repente deixou as lágrimas caírem.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>凤妹</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente achou a <font color=OBJCOLOR>parede de pedra espiritual</font> ao lado bem interessante…
4天 04:34	4d 04:34
<font color=MYCOLOR>凤妹</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>奏乐</font>来放空心灵。	<font color=MYCOLOR>凤妹</font> ficou incomodada com o sentimento de <font color=OBJCOLOR>precisar de um quarto</font>; só conseguiu <font color=OBJCOLOR>tocar música</font> para esvaziar a mente.
5天 07:29	5d 07:29
门派中，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然很想家。	Na seita, <font color=MYCOLOR>凤妹</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente sentiu muita saudade de casa.
5天 11:13	5d 11:13
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Manto de Tecido Dourado
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com tudo em absoluto silêncio, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente deixou as lágrimas caírem.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	À hora Yin, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente deixou as lágrimas caírem.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Durante uma conversa entre <font color=MYCOLOR>昌志用</font> e <font color=HECOLOR>毛依白</font>, <font color=HECOLOR>毛依白</font> de repente notou as <font color=OBJCOLOR><font color=OBJCOLOR>calças finas de couro de javali</font></font> que <font color=MYCOLOR>昌志用</font> estava usando. Então <font color=MYCOLOR>昌志用</font> contou a origem das <font color=OBJCOLOR><font color=OBJCOLOR>calças finas de couro de javali</font></font>, e <font color=HECOLOR>毛依白</font> ficou impressionada ao ouvir.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu claro e o ar puro, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>se divertia</font>, de repente sentiu um lampejo no coração e teve muitos novos insights sobre o Dao Celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>昌志用</font> ficou em silêncio <font color=OBJCOLOR>olhando o teto</font> e, de repente, lembrou de seu <font color=OBJCOLOR>pai 昌学智</font>.
4天 14:12	4d 14:12
万里无云，<font color=MYCOLOR>昌志用</font>一个人<font color=OBJCOLOR>下棋</font>，突然思绪万千。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>昌志用</font> <font color=OBJCOLOR>jogava Go</font> sozinho e, de repente, a mente se encheu de pensamentos.
5天 03:46	5d 03:46
门派中，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，脑海中突然浮现<font color=OBJCOLOR>葛慕儿</font>的模样。	Na seita, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente viu a imagem de <font color=OBJCOLOR>葛慕儿</font> surgir na mente.
5天 10:36	5d 10:36
门派中，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Na seita, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>tocava música</font>, não resistiu e começou a cantarolar baixinho junto.
99天 13:15	99d 13:15
日昳时分，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然很想家。	No fim da tarde, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente sentiu muita saudade de casa.
99天 14:13	99d 14:13
门派中，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石灯笼</font>很有意思……	Na seita, <font color=MYCOLOR>昌志用</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente achou a <font color=OBJCOLOR>lanterna de pedra espiritual</font> ao lado bem interessante…
99天 15:15	99d 15:15
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com um céu vasto e limpo, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Na seita, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>tocava música</font>, não resistiu e começou a cantarolar baixinho junto.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente se sentiu irritado sem motivo.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>干栋</font> ficou em silêncio <font color=OBJCOLOR>olhando o teto</font> e, de repente, lembrou de sua <font color=OBJCOLOR>mãe 晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Na seita, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>pintava e fazia caligrafia</font>, de repente viu a imagem de <font color=OBJCOLOR>钭世</font> surgir na mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Na seita, <font color=MYCOLOR>干栋</font> ficou sozinho <font color=OBJCOLOR>olhando o teto</font> e, de repente, a mente se encheu de pensamentos.
4天 07:41	4d 07:41
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>下棋</font>时，突然很想家。	Na seita, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente sentiu muita saudade de casa.
4天 23:15	4d 23:15
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想去<font color=OBJCOLOR>五龙池</font>看看。	Na seita, <font color=MYCOLOR>干栋</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente quis ir ver <font color=OBJCOLOR>五龙池</font>.
5天 12:03	5d 12:03
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Na seita, <font color=MYCOLOR>姬彭亮</font>, ao <font color=OBJCOLOR>contemplar o céu concentrado</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol já baixo e o coração preguiçoso, <font color=MYCOLOR>姬彭亮</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> ficou de bom humor por causa de <font color=OBJCOLOR>tanta diversidade</font> e não resistiu: veio <font color=OBJCOLOR>tocar música</font> para desabafar.
4天 11:16	4d 11:16
生气苏始，<font color=MYCOLOR>姬彭亮</font>静静的<font color=OBJCOLOR>奏乐</font>，突然想起自己的<font color=OBJCOLOR>朋友秦苗宣</font>。	Com a energia vital despertando, <font color=MYCOLOR>姬彭亮</font> ficou em silêncio <font color=OBJCOLOR>tocando música</font> e, de repente, lembrou de seu <font color=OBJCOLOR>amigo 秦苗宣</font>.
5天 08:01	5d 08:01
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>宛如仙境</font>心情不错，忍不住来<font color=OBJCOLOR>看天花板</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> ficou de bom humor por estar em um lugar <font color=OBJCOLOR>como um reino de imortais</font> e não resistiu: veio <font color=OBJCOLOR>olhar o teto</font> para desabafar.
99天 12:23	99d 12:23
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>姬彭亮</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente se sentiu irritado sem motivo.
99天 16:01	99d 16:01
<font color=MYCOLOR>姬彭亮</font>被<font color=OBJCOLOR>有点冷</font>的情绪困扰，只能<font color=OBJCOLOR>夜观星象</font>来放空心灵。	<font color=MYCOLOR>姬彭亮</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>estar com um pouco de frio</font>; só conseguiu <font color=OBJCOLOR>observar as estrelas à noite</font> para esvaziar a mente.
99天 21:23	99d 21:23
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>读书品卷</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Na seita, <font color=MYCOLOR>姬彭亮</font>, enquanto <font color=OBJCOLOR>lia livros e pergaminhos</font>, de repente achou a <font color=OBJCOLOR>mesa de cítara de pedra espiritual</font> ao lado bem interessante…
99天 23:27	99d 23:27
凌冽寒风中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	No vento gelado e cortante, <font color=MYCOLOR>姬彭亮</font>, enquanto <font color=OBJCOLOR>tocava música</font>, não resistiu e começou a cantarolar baixinho junto.
100天 00:10	100d 00:10
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro Numinoso de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	À hora Hai, <font color=MYCOLOR>水雅绿</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente deixou as lágrimas caírem.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu limpo e sem nuvens, <font color=MYCOLOR>水雅绿</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente se sentiu muito sufocada.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>水雅绿</font>, enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente se sentiu irritada sem motivo.
4天 01:23	4d 01:23
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Na seita, <font color=MYCOLOR>水雅绿</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente deixou as lágrimas caírem.
99天 19:14	99d 19:14
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，脑海中突然浮现<font color=OBJCOLOR>葛慕儿</font>的模样。	Na seita, <font color=MYCOLOR>水雅绿</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente viu a imagem de <font color=OBJCOLOR>葛慕儿</font> surgir na mente.
99天 22:11	99d 22:11
雅绿	Yalü
壬水娘子	Dama da Água Ren
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu claro e o ar puro, <font color=MYCOLOR>郜世</font>, enquanto <font color=OBJCOLOR>observava as nuvens indo e vindo</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Na seita, <font color=MYCOLOR>郜世</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente se sentiu irritado sem motivo.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com um céu vasto e limpo, <font color=MYCOLOR>郜世</font>, enquanto <font color=OBJCOLOR>jogava Go</font>, de repente quis ir ver <font color=OBJCOLOR>天极峰</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	No fim da manhã, <font color=MYCOLOR>郜世</font>, enquanto <font color=OBJCOLOR>tocava música</font>, de repente ficou com vontade de comer <font color=OBJCOLOR>饮气丹</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> <font color=OBJCOLOR>tocava música</font> sozinho e, de repente, a mente se encheu de pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> ficou incomodado com o sentimento de <font color=OBJCOLOR>precisar de um quarto</font>; só conseguiu <font color=OBJCOLOR>jogar Go</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Pilar Queima-Almas
傀儡	 Vaso
肆叁伍叁贰贰零玖贰	肆叁伍叁贰贰零玖贰
扫地	Varrer o Chão
七七七	七七七
神秘大能	Grande Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do Mundo
天苍246年 春 第9日	Ano Tian Cang 246, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, nas profundezas do grande deserto, a terra e o céu se romperam de repente, e as inscrições de pedra do antigo santuário dos demônios, o Penhasco do Dragão, reapareceram no mundo!
天苍246年 冬 第15日	Ano Tian Cang 246, Inverno, Dia 15
听说南屏村的猎户在月轮山麓发现一具尸体，尸体身上带有一个石匣，水火不侵，十分灵异。	Dizem que um caçador da Vila Nanping encontrou um cadáver ao pé do Monte Yuelun. O corpo carregava um cofre de pedra que não é afetado por água nem fogo — algo extremamente estranho.
    （触发秘闻，请前往[color=#D06508]天下[/color]面板，点击右下角的秘闻按钮查看秘闻。点击秘闻可以转移到秘闻所在地，如果地点未解锁，则需要多多历练以解锁新的地点。）	    (Segredo ativado: vá ao painel [color=#D06508]天下[/color] e clique no botão de Segredos no canto inferior direito para ver o segredo. Ao clicar no segredo, você será transferido para o local do segredo. Se o local ainda não estiver desbloqueado, será preciso fazer mais jornadas para desbloquear novos locais.)
算一算已经过去半个多月，不知灭亡太一门的凶徒是否离去。也许可以回太一门看看，有没有什么线索。	Fazendo as contas, já se passou mais de meio mês. Não sei se os criminosos que destruíram a Seita Taiyi já foram embora. Talvez valha a pena voltar à Seita Taiyi para procurar alguma pista.
修行界一年一度的仙缘会开启，各大派齐聚丰城，招收有资质的弟子。一时间天下有志求仙问道之英才汇聚于此。	A Conferência Anual do Destino Imortal começou no mundo do cultivo. Grandes seitas se reúnem em Fengcheng para recrutar discípulos talentosos. Por um tempo, os aspirantes a buscar a imortalidade e o Dao se juntam aqui.
南荒邪帝陵三年一度开启之时已至。据说邪帝陵会持续开启二十八天，有缘者皆有可能获取邪帝传承。一时间修行界风云汇聚南荒。	Chegou a hora da abertura trienal do Túmulo do Imperador Maligno do Deserto do Sul. Dizem que ele ficará aberto por vinte e oito dias; qualquer pessoa destinada pode obter a herança do Imperador Maligno. Por um tempo, o mundo do cultivo converge para o Deserto do Sul.
近日观海城有传言流出，北方深海中出现了一片云雾缭绕的海域，有进无出，异常凶险。	Recentemente, surgiram rumores em Guanhai: no mar profundo ao norte apareceu uma região envolta em névoa. Quem entra não sai — é extremamente perigosa.
近日，有附近的村民说铜陵山出现一名怪人，其双臂奇长，健步如飞，翻山越岭如履平地。听此人形貌，似乎是昔日门中痴迷阵法之道的七师兄。难道他也从这场浩劫中幸存下来了么？也许应该找个时间去看看。	Recentemente, moradores próximos disseram que apareceu um estranho no Monte Tongling: seus braços são muito longos, ele corre como o vento e atravessa montanhas como se estivesse em terreno plano. Pela descrição, parece ser o antigo Sétimo Irmão Sênior, obcecado pelo Dao das Formações. Será que ele também sobreviveu a essa calamidade? Talvez eu devesse arrumar um tempo para ir ver.
据说太一门信徒无处参拜，怨声载道，是否应该去一问究竟？	Dizem que os fiéis da Seita Taiyi não têm onde venerar, e as reclamações se acumulam. Será que eu deveria ir descobrir o que está acontecendo?
陶飞心境不稳	Tao Fei está com a mente instável
韶兴遇到瓶颈	Shao Xing encontrou um gargalo
项辉遇到瓶颈	Xiang Hui encontrou um gargalo
奚顺遇到瓶颈	Xi Shun encontrou um gargalo
郜世遇到瓶颈	Gao Shi encontrou um gargalo
姬彭亮遇到瓶颈	Ji Pengliang encontrou um gargalo
昌志用遇到瓶颈	Chang Zhiyong encontrou um gargalo
钭世遇到瓶颈	Tou Shi encontrou um gargalo
熊子石遇到瓶颈	Xiong Zishi encontrou um gargalo
陶飞遇到瓶颈	Tao Fei encontrou um gargalo
干栋遇到瓶颈	Gan Dong encontrou um gargalo
水雅绿遇到瓶颈	Shui Yalü encontrou um gargalo
门派传闻	Rumor da Seita
天苍246年 春 第12日	Ano Tian Cang 246, Primavera, Dia 12
