拜祖师	Culto aos ancestrais
搬山公	Homem que Move Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>凤妹</font> estava <font color=OBJCOLOR>夜观星象</font> quando, de repente, lágrimas escorreram.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>凤妹</font> estava <font color=OBJCOLOR>看天花板</font> quando, de repente, achou que a <font color=OBJCOLOR>灵石墙</font> ao lado era muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Vestimenta Dourada
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o silêncio absoluto, <font color=MYCOLOR>昌志用</font> estava <font color=OBJCOLOR>书画</font> quando, de repente, lágrimas escorreram.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	Durante o período Yin, <font color=MYCOLOR>昌志用</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, lágrimas escorreram.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Enquanto <font color=MYCOLOR>昌志用</font> conversava com <font color=HECOLOR>毛依白</font>, ela notou as <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font> que ele usava. Então, <font color=MYCOLOR>昌志用</font> contou a origem dessas vestes, e <font color=HECOLOR>毛依白</font> ficou maravilhada.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu claro, <font color=MYCOLOR>昌志用</font> estava <font color=OBJCOLOR>娱乐</font> quando, de repente, sentiu algo em seu coração, ganhando novas percepções sobre o caminho celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu sem nuvens, <font color=MYCOLOR>昌志用</font> estava calmamente <font color=OBJCOLOR>看天花板</font> quando, de repente, lembrou-se de seu <font color=OBJCOLOR>父亲昌学智</font>.
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>干栋</font> estava <font color=OBJCOLOR>读书品卷</font> quando, de repente, desejou comer <font color=OBJCOLOR>母猫粪便</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Dentro da seita, <font color=MYCOLOR>干栋</font> estava <font color=OBJCOLOR>奏乐</font> quando não pôde evitar cantar baixinho.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>干栋</font> estava <font color=OBJCOLOR>看天花板</font> quando, de repente, sentiu uma irritação inexplicável.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>干栋</font> estava calmamente <font color=OBJCOLOR>看天花板</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>母亲晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Dentro da seita, <font color=MYCOLOR>干栋</font> estava <font color=OBJCOLOR>书画</font> quando, de repente, a imagem de <font color=OBJCOLOR>钭世</font> surgiu em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>干栋</font> estava sozinho <font color=OBJCOLOR>看天花板</font> quando, de repente, seus pensamentos se multiplicaram.
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Dentro da seita, <font color=MYCOLOR>姬彭亮</font> estava <font color=OBJCOLOR>凝神望天</font> quando, de repente, desejou comer <font color=OBJCOLOR>母猫粪便</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol inclinado, <font color=MYCOLOR>姬彭亮</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, achou que o <font color=OBJCOLOR>灵石琴台</font> ao lado era muito interessante……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> estava de bom humor por ser <font color=OBJCOLOR>多姿多彩</font>, e não pôde evitar vir <font color=OBJCOLOR>奏乐</font> para desabafar.
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Durante o período Hai, <font color=MYCOLOR>水雅绿</font> estava <font color=OBJCOLOR>看天花板</font> quando, de repente, lágrimas escorreram.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu sem nuvens, <font color=MYCOLOR>水雅绿</font> estava <font color=OBJCOLOR>下棋</font> quando, de repente, sentiu-se muito irritada.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>水雅绿</font> estava <font color=OBJCOLOR>看天花板</font> quando, de repente, sentiu uma irritação inexplicável.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Mulher da Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu claro, <font color=MYCOLOR>郜世</font> estava <font color=OBJCOLOR>观云卷云舒</font> quando, de repente, soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>郜世</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, sentiu uma irritação inexplicável.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu sem nuvens, <font color=MYCOLOR>郜世</font> estava <font color=OBJCOLOR>下棋</font> quando, de repente, desejou ir ver <font color=OBJCOLOR>天极峰</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	Durante o período Ri Yu, <font color=MYCOLOR>郜世</font> estava <font color=OBJCOLOR>奏乐</font> quando, de repente, desejou comer <font color=OBJCOLOR>饮气丹</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> estava sozinho <font color=OBJCOLOR>奏乐</font> quando, de repente, seus pensamentos se multiplicaram.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> foi perturbado pela sensação de <font color=OBJCOLOR>需要房间</font> e só pôde <font color=OBJCOLOR>下棋</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Coluna Queimadora de Almas
肆叁伍叁贰贰零玖贰	435322092
扫地	Varrer o Chão
七七七	七七七
神秘大能	Poder Misterioso
教学	Tutorial
门	Escola
江湖秘闻	Segredo do Mundo
天苍246年 春 第9日	Ano 246 de Tian Cang, Primavera, Dia 9
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, nas profundezas do deserto, de repente o céu desabou e a terra se partiu, e as inscrições em pedra do santuário sagrado dos demônios da era antiga, 龙崖, reapareceram no mundo!
天苍246年 春 第12日	Ano 246 de Tian Cang Primavera Dia 12
陶飞心境不稳	陶飞 com estado de espírito instável
韶兴遇到瓶颈	韶兴 encontrou um gargalo
项辉遇到瓶颈	项辉 encontrou um gargalo
奚顺遇到瓶颈	奚顺 encontrou um gargalo
郜世遇到瓶颈	郜世 encontrou um gargalo
姬彭亮遇到瓶颈	姬彭亮 encontrou um gargalo
昌志用遇到瓶颈	昌志用 encontrou um gargalo
钭世遇到瓶颈	钭世 encontrou um gargalo
熊子石遇到瓶颈	熊子石 encontrou um gargalo
陶飞遇到瓶颈	陶飞 encontrou um gargalo
干栋遇到瓶颈	干栋 encontrou um gargalo
水雅绿遇到瓶颈	水雅绿 encontrou um gargalo
韶兴突破瓶颈成功	韶兴 superou o gargalo com sucesso
项辉突破瓶颈成功	项辉 superou o gargalo com sucesso
奚顺突破瓶颈成功	奚顺 superou o gargalo com sucesso
郜世突破瓶颈成功	郜世 superou o gargalo com sucesso
姬彭亮突破瓶颈成功	姬彭亮 superou o gargalo com sucesso
昌志用突破瓶颈成功	昌志用 superou o gargalo com sucesso
钭世突破瓶颈成功	钭世 superou o gargalo com sucesso
干栋突破瓶颈成功	干栋 superou o gargalo com sucesso
水雅绿突破瓶颈成功	水雅绿 superou o gargalo com sucesso
存档写入完成	Jogo Salvo
门派传闻	Rumor da Seita
据传百蛮山的大能蓟语山在稻香村出没。	Diz-se que o grande mestre de 百蛮山, 蓟语山, aparece em 稻香村.
据传丹霞洞天的大能平坚在雪风原出没。	Diz-se que o grande mestre de 丹霞洞天, 平坚, aparece em 雪风原.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Diz-se que, na Seita do Caminho Correto, um venerável ancião que ascendeu repentinamente desceu uma grande quantidade de bênçãos, e a força da seita aumentou consideravelmente.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Diz-se que a Seita do Caminho Correto encontrou a caverna de um cultivador de artefatos antigos, obtendo inúmeros instrumentos espirituais para abrigar o espírito, e a força da seita aumentou consideravelmente.
灵石护山剑阵正被攻击	A formação de espada que protege a montanha Lingshi está sendo atacada
灵石墙正被攻击	A parede de Lingshi está sendo atacada
理气丹	Pílula de Regulação do Qi
理气丹正在发挥药效	A Pílula de Regulação do Qi está exercendo seu efeito medicinal
赋灵术	Técnica de Infusão de Espírito
五泉涤心法	Técnica dos Cinco Fontes para Purificar o Coração
先天罡气	Qi Inato
化伤术	Técnica de Cura de Feridas
天霖诀	Técnica da Chuva Celestial
天一真法	Técnica Verdadeira de Tianyi
水镜观心定	Contemplação do Coração no Espelho d'Água
同风诀	Técnica do Vento Unido
归海诀	Técnica do Retorno ao Mar
九阴真水界	Reino Verdadeiro da Água dos Nove Yin
罡煞合流	Fusão das Forças Violentas
新境神佑书	Livro da Benção Divina do Novo Reinado
紫火千钧剑诀	Técnica da Espada de Mil Quilos de Fogo Roxo
五方神雷	Cinco Relâmpagos Divinos
紫火落花	Queda de Flores de Fogo Roxo
丁火落花真言	Verdadeiro Feitiço da Queda de Flores de Fogo Ding
多宝流光真言	Verdadeiro Feitiço do Fluxo de Multibençãos
混元要诀	Segredo do Mistério Primordial
少量的	Ligeiramente
混元十三式	As Treze Formas do Caos Primordial
破灭秘诀	Segredo da Aniquilação
曳影	Sombra Arrastada
五戒坤元	Cinco Mandamentos de Kun Yuan
中量的	Visivelmente
御气混元宝典	Manual do Caos Primordial para Dominar o Qi
赤炎圆转剑诀	Técnica da Espada de Giro Circular do Fogo Vermelho
五台混元七式	As Sete Formas do Caos Primordial de Wutai
三才坤元十三式	As Treze Formas de Kun Yuan dos Três Talentos
大量的	Grandemente
未来星宿千钧宝典	Manual dos Mil Quilos dos Astros Futuros
嵩山坤元秘要	Segredo Essencial de Kun Yuan de Songshan
佛心书	Livro do Coração Budista
鄂芸上仙归祖经	Clássico do Retorno aos Antepassados do Imortal Superior 鄂芸
哈氏神佑秘要	Segredo Essencial da Benção Divina de Ha
微草神农通卷	Compêndio do Shennong de Wei Cao
五内多宝宝典	Manual dos Muitos Tesouros Internos
赤月合一秘要	Segredo Essencial da União com a Lua Vermelha
五内饕餮神功	Arte Divina Voraz dos Internos
阴神夺舍	Possessão Menor
冥灵真法	Técnica Verdadeira do Espírito Sombrio
天道神丹	Pílula Divina do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada Circular da Longevidade
入定之术	Técnica de Meditação Profunda
断岳覆天诀	Segredo de Derrubar Montanhas e Cobrir o Céu
勾陈流光	Fluxo de Luz de Gou Chen
经之柔上仙金刚咒	Feitiço de Diamante do Imortal Jing Zhi Rou
紫薇流光真言	Verdadeiro Feitiço do Fluxo de Luz de Ziwei
金刚经	Sutra do Diamante
奠基宝典	Compêndio Fundacional
金刚宝典	Manual do Diamante
金刚秘册	Livro Secreto do Diamante
东海金刚秘要	Segredo Essencial do Diamante do Mar do Leste
玄关金刚宝典	Manual do Diamante do Portal Sombrio
白虎奠基	Fundação do Tigre Branco
御气金刚	Diamante da Maestria do Qi
庚辛金刚密卷	Volume Secreto do Diamante Geng-Xin
断岳奠基秘要	Segredo Essencial da Fundação de Quebrar Montanhas
神佑册	Livro da Benção Divina
辟谷密卷	Volume Secreto da Dieta de Jejum
五内鲸吞纪要	Registros da Engolida Interna dos Cinco
龙虎佛心书	Livro do Coração Budista do Dragão e Tigre
阴阳佛心记	Memórias do Coração Budista Yin-Yang
庚辛清心经	Sutra da Mente Clara Geng-Xin
寒月摄神秘法	Técnica Secreta de Capturar o Espírito na Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Segredo Essencial do Coração Claro do Imortal Superior 须雅芝
白虎饕餮要诀	Segredo dos Vorazes do Tigre Branco
灵息诀	Técnica do Alento Espiritual
鼎炉吸真术	Técnica de Absorção da Verdadeira Essência do Forno
再造术	Técnica da Recriação
尘暴术	Técnica da Tempestade de Poeira
求雨术	Técnica de Invocação da Chuva
甘霖术	Técnica da Chuva Suave
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica do Domínio do Qi da Grande Harmonia
清心咒	Feitiço da Mente Clara
御木诀	Técnica de Domínio da Madeira
天水化伤术	Técnica de Transformação de Ferimentos da Água Celestial
采水诀	Técnica de Coleta de Água
玄牝重生法	Método de Renascimento da Fêmea Mística
乘风诀	Técnica de Cavalgar o Vento
奔流诀	Técnica do Fluxo Impetuoso
水精真形	Verdadeira Forma da Essência de Água
水气真形	Verdadeira Forma do Qi da Água
水神真形	Verdadeira Forma do Deus da Água
暴雨术	Tempestade
玄魂造命	Técnica de Forjar o Destino com o Espírito Misterioso
醍醐灌顶之术	Técnica da Iluminação Suprema
玄金五气真言	Verdadeiro Feitiço dos Cinco Qi do Metal Misterioso
勾陈三花咒	Feitiço das Três Flores de Gou Chen
紫云宫流光咒	Feitiço do Fluxo de Luz do Palácio Ziyun
奠基经	Sutra Fundacional
金刚要诀	Segredo Essencial do Diamante
奠基秘要	Segredo Essencial da Fundação
玄金奠基秘册	Livro Secreto Fundacional do Metal Misterioso
入道奠基经	Sutra Fundacional do Caminho da Iniciação
庚金金刚	Diamante de Gengjin
断岳奠基宝典	Compêndio Fundacional de Quebrar Montanhas
断岳金刚宝典	Compêndio do Diamante de Quebrar Montanhas
化形金刚	Diamante Transmórfico
辟谷宝典	Compêndio da Dieta de Jejum
叶厚上仙神视神功	Habilidade Divina de Visão do Imortal Superior 叶厚
御气清心经	Sutra da Mente Clara para Dominar o Qi
赤霄宫合一册	Livro da União do Palácio Chixiao
入道归祖神功	Habilidade Divina do Retorno aos Antepassados do Caminho
玄机神视秘要	Segredo Essencial da Visão Divina do Mistério
归真鲸吞要诀	Segredo da Engolida Verdadeira para Retornar à Essência
天魔解体大法	Grande Método de Desintegração do Demônio Celestial
炼制灵石之术	Técnica de Refinamento das Pedras Espirituais
玄机流光真言	Verdadeiro Feitiço do Fluxo de Luz do Mistério
金丹流光	Fluxo de Luz do Elixir Dourado
迅影	Sombra Veloz
混元秘法	Técnica Secreta do Caos Primordial
寒月坤元决	Decisão de Kun Yuan da Lua Fria
五戒千钧剑诀	Técnica da Espada dos Mil Quilos dos Cinco Mandamentos
彻法混元十式	As Dez Formas do Caos Primordial Absoluto
多宝通卷	Compêndio dos Muitos Tesouros
百炼秘要	Segredo da Centena de Fornalhas
饕餮	饕餮
龙虎鬼手通卷	Compêndio das Mãos Fantasmagóricas do Dragão e Tigre
真丹多宝	Muitos Tesouros do Elixir Verdadeiro
三才多宝纲要	Resumo dos Muitos Tesouros dos Três Talentos
六气圆转十三式	As Treze Formas do Giro Circular dos Seis Qi
献祭	Oferta de Sacrifício
精火筑灵	Forjar Espírito com Fogo Refinado
逆浪天星咒	Feitiço da Estrela Celestial Contra as Correntes
少林金刚神雷	Trovão Divino do Diamante de Shaolin
金刚	Diamante
奠基要诀	Essência do Segredo Fundacional
修蛇金刚宝典	Compêndio do Diamante da Serpente Cultivada
五内奠基宝典	Compêndio Fundacional dos Internos
知节奠基经	Sutra Fundacional da Compreensão dos Limites
万源归真金刚宝典	Compêndio do Diamante do Retorno à Essência das Dez Mil Fontes
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Volume Secreto do Diamante Ziwei
凌霄奠基秘要	Segredo Essencial Fundacional de 凌霄
百汇奠基秘法	Técnica Secreta Fundacional dos Muitos Tesouros
沃野丹方	Fórmula do Elixir dos Campos Férteis
星辰合一册	Livro da União das Estrelas
壬水合一书	Livro da União da Água Ren
凌霄合一册	Livro da União de 凌霄
逆浪清心神功	Habilidade Divina da Mente Clara Contra as Correntes
文盛真人摄神册	Livro de Captura Divina do Verdadeiro Cultivador 文盛
百汇佛心	Coração Budista dos Muitos Tesouros
大衍神算	Cálculo Derivativo
分神之术	Técnica da Dispersão do Espírito
庚金决意秘传	Tradição Secreta da Determinação do Metal Geng
赤日三花诀	Técnica das Três Flores do Sol Vermelho
奠基密卷	Volume Secreto Fundacional
天金金刚经	Sutra do Diamante Celestial
玄金金刚秘要	Segredo Essencial do Diamante do Metal Misterioso
龙虎金刚	Diamante do Dragão e Tigre
勾陈奠基	Fundação de Gou Chen
百草阁金刚秘法	Técnica Secreta do Diamante do Pavilhão das Centenas de Ervas
饕餮纪要	Registros dos Vorazes Taotie
多宝	Muitos Tesouros
阴阳鬼手秘传	Tradição Secreta das Mãos Fantasmagóricas Yin-Yang
金雷鬼手宝典	Compêndio das Mãos Fantasma do Trovão Dourado
寒月百炼通卷	Compêndio da Centena de Fornalhas da Lua Fria
炎神殿鬼手纲要	Resumo das Mãos Fantasma do Templo do Deus do Fogo
御气万古秘要	Segredo Essencial do Qi Dominante Eterno
阴阳神佑秘要	Segredo Essencial da Benção Divina Yin-Yang
魂体寄生	Parasitismo do Espírito e do Corpo
武当佛心典	Clássico do Coração Budista de Wudang
星辰五方	Estrelas dos Cinco Lados
陨星诀	Técnica da Estrela Cadente
逆浪不坏真言	Verdadeiro Feitiço da Indestrutibilidade Contra as Correntes
曳影七式	As Sete Formas da Sombra Arrastada
归祖要诀	Essência do Segredo do Retorno aos Antepassados
勾陈气摄秘法	Técnica Secreta de Absorção do Qi de Gou Chen
壬癸神佑	Benção Divina Ren-Gui
凝光鬼手宝典	Compêndio das Mãos Fantasma da Luz Congelada
惊波百炼宝册	Livro Precioso da Centena de Fornalhas de Ondas Surpreendentes
修蛇归祖密卷	Volume Secreto do Retorno Ancestral do Cultivo da Serpente
玄武神视纪要	Registros da Visão Divina da Tartaruga Negra
冷月急诵秘法	Técnica Secreta de Recitação Rápida da Lua Fria
腾岳覆天	Tengyue que Cobre o Céu
破灭	Aniquilação
破灭密卷	Volume Secreto da Aniquilação
气摄宝典	Compêndio da Absorção do Qi
勾陈决意要诀	Essência do Segredo da Determinação de Gou Chen
彻法归祖秘要	Segredo Essencial do Retorno Definitivo aos Antepassados
华山万古神功	Arte Marcial Divina Eterna de Huashan
伐毛洗髓之术	Técnica de Despelar e Lavar a Medula
彻法不朽	Imortalidade Absoluta do Método
化形金刚神雷	Trovão Divino do Diamante Transmórfico
奠基秘册	Livro Secreto Fundacional
长生金刚秘要	Segredo Essencial do Diamante da Longevidade
黄庭金刚秘法	Técnica Secreta do Diamante do Pavilhão Amarelo
新境奠基经	Sutra Fundacional do Novo Reinado
少林金刚经	Sutra do Diamante de Shaolin
大日奠基秘要	Segredo Essencial Fundacional do Grande Sol
佛心秘法	Técnica Secreta do Coração Budista
合一秘要	Segredo Essencial da União
长生通慧记	Registros da Compreensão da Longevidade
南海佛心典	Clássico do Coração Budista do Mar do Sul
玄关神农	Shennong do Portal Sombrio
断岳鲸吞秘要	Segredo Essencial da Engolida de Quebrar Montanhas
化形神佑典	Clássico da Transformação e Benção Divina
太乙清心经	Sutra da Mente Clara de Taiyi
托体同山诀	Técnica de Sincronia com a Montanha
西海九极咒	Feitiço dos Nove Extremos do Mar do Oeste
咒神宝典	Compêndio do Deus dos Feitiços
崩天卷	Volume da Ruptura do Céu
多宝秘传	Tradição Secreta dos Muitos Tesouros
多宝宝册	Livro dos Muitos Tesouros
天金摄神册	Livro de Captura Divina do Ouro Celestial
未来星宿百炼秘传	Tradição Secreta da Centena de Fornalhas dos Astros Futuros
辛金百炼秘传	Tradição Secreta da Centena de Fornalhas do Xin Jin
断岳多宝宝册	Livro dos Muitos Tesouros de Quebrar Montanhas
玄机多宝	Muitos Tesouros do Mistério
天魔化身术	Técnica da Transfiguração do Demônio Celestial
开天眼之术	Técnica de Abrir os Olhos Celestiais
通符书	Livro dos Talismãs
云气汇流	Confluência das Nuvens e Qi
剑符录	Registros dos Talismãs da Espada
玄符录	Registros dos Talismãs Misteriosos
天甲符	Talismã da Armadura Celestial
咒符录	Registros dos Talismãs dos Feitiços
神咒符	Talismã do Feitiço Divino
结云经	Sutra da União das Nuvens
祈天经	Sutra da Prece Celestial
通天符法	Técnica dos Talismãs que Conectam os Céus
天真论	Doutrina da Pureza Celestial
无上神符	Talismã Supremo
借天符	Talismã Celestial Emprestado
遮天符	Talismã que Cobre o Céu
云行法	Técnica da Caminhada nas Nuvens
东木分神书	Livro da Divisão do Espírito da Madeira do Leste
天岭金刚真言	Verdadeiro Feitiço do Diamante de Tianling
戊土八极真言	Verdadeiro Feitiço dos Oito Extremos da Terra Wu
归家五方诀	Técnica dos Cinco Caminhos para Retornar ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos de Kun Yuan
千钧十三式	As Treze Formas dos Mil Quilos
曳影式	Forma da Sombra Arrastada
破灭要诀	Essência do Segredo da Aniquilação
神农宝典	Compêndio do Shennong
摄神	Capturar o Espírito
万里多宝	Tesouros Incontáveis
五内琢玉通卷	Compêndio de Lapidação de Jade dos Internos
凌霄佛心要诀	Essência do Segredo do Coração Budista de 凌霄
己土辟谷要诀	Essência do Segredo da Dieta de Jejum de Ji Tu
炎神殿通慧要诀	Essência do Segredo da Compreensão no Templo do Deus do Fogo
东海神佑要诀	Essência do Segredo da Benção Divina do Mar do Leste
风月幻境	Ilusão de Vento e Lua
真丹金刚	Diamante do Elixir Verdadeiro
长生陨星诀	Técnica da Estrela Cadente da Longevidade
崩天	Ruptura Celestial
急诵秘要	Segredo Essencial da Recitação Rápida
崩天秘诀	Segredo da Ruptura Celestial
华山归藏密卷	Volume Secreto do Retorno e Armazenamento de Huashan
摄神册	Livro de Captura Divina
入道鬼手要诀	Essência do Segredo das Mãos Fantasma do Caminho
多宝神农	Shennong dos Muitos Tesouros
造化饕餮神功	Arte Divina do Taotie da Criação
戊己神佑要诀	Essência do Segredo da Benção Divina de Wu Ji
五印刻神	Gravação Divina dos Cinco Selos
行疆神视秘传	Tradição Secreta da Visão Divina de Xingjiang
知节金刚咒	Mantra do Diamante de Zhijie
现在贤流光真言	Verdadeiro Feitiço do Fluxo de Luz de Xianzai Xian
戊土金刚咒	Mantra do Diamante da Terra Wu
急诵	Recitação Rápida
咒神九卷	Nove Volumes do Deus dos Feitiços
归祖	Retorno aos Antepassados
通慧册	Livro da Compreensão
琢玉通卷	Compêndio da Lapidação de Jade
行疆佛心典	Clássico do Coração Budista de Xingjiang
东华多宝秘传	Tradição Secreta dos Muitos Tesouros de Donghua
和春枫真人神佑典	Clássico da Benção Divina do Verdadeiro Cultivador He Chunfeng
玄关合一秘法	Técnica Secreta da União do Portal Sombrio
真丹佛心册	Livro do Coração Budista do Elixir Verdadeiro
镇岳鬼手纲要	Resumo das Mãos Fantasmagóricas de Zhenyue
六气饕餮神功	Arte Divina Voraz dos Seis Qi
驱云诀	Técnica de Dispersão das Nuvens
行疆陨星咒	Feitiço da Estrela Cadente de Xingjiang
阴阳天星咒	Feitiço da Estrela Celestial Yin-Yang
化影神雷	Trovão Divino da Transformação Sombria
迅击要诀	Essência do Segredo do Golpe Rápido
迅影宝典	Compêndio da Sombra Veloz
迅击决	Técnica do Golpe Rápido
千钧密卷	Volume Secreto dos Mil Quilos
西海混元	Caos Primordial do Mar do Oeste
神视秘法	Técnica Secreta da Visão Divina
麒麟归祖	Retorno Ancestral do Qilin
现在贤清心要诀	Essência do Segredo da Mente Clara de Xianzai Xian
戊己合一要诀	Essência do Segredo da União Wu Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Sutra Fundacional do Verdadeiro Cultivador Ban Guyun
焚风术	Técnica do Vento Ardente
杀意	Intenção Assassina
御剑术	Técnica de Domínio da Espada
天妖化血术	Técnica da Transformação Sanguínea do Demônio Celestial
七杀魔体	Corpo Demoníaco das Sete Mortes
剑心通明	Coração da Espada Iluminado
心剑交感	Sincronia entre Coração e Espada
击字诀	Técnica do Golpe
崩字诀	Técnica da Ruptura
御字诀	Técnica da Maestria
刺字诀	Técnica da Perfuração
点字诀	Técnica do Ponto
化字诀	Técnica da Transformação
洗字诀	Técnica da Purificação
劈字诀	Técnica do Corte
分字诀	Técnica da Separação
摄神御鬼大法	Grande Técnica de Captura Espiritual e Controle de Espíritos
神御剑	Espada da Dominação Divina
神合剑	Espada da União Divina
