拜祖师	Adoração aos Ancestrais
凡柔	Fanrou
搬山公	搬山公	Movimentador de Montanhas
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>夜观星象</font>, de repente derramou lágrimas.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente achou o <font color=OBJCOLOR>灵石墙</font> ao lado muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Manto Dourado
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com o silêncio absoluto, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>书画</font>, de repente derramou lágrimas.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	寅时，<font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente derramou lágrimas.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>于是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	Enquanto <font color=MYCOLOR>昌志用</font> conversava com <font color=HECOLOR>毛依白</font>, <font color=HECOLOR>毛依白</font> de repente descobriu o <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font> que <font color=MYCOLOR>昌志用</font> usava. <font color=MYCOLOR>昌志用</font> então passou a lhe contar a origem de <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>, e <font color=HECOLOR>毛依白</font> ficou maravilhada.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu limpo, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>娱乐</font>, de repente seu coração se comoveu, adquirindo muitas percepções sobre o caminho celestial.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu sem nuvens, <font color=MYCOLOR>昌志用</font> silenciosamente <font color=OBJCOLOR>olhou o teto</font>, de repente lembrou de seu <font color=OBJCOLOR>父亲昌学智</font>.
4天 14:12	4d 14:12
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>读书品卷</font>, de repente teve vontade de comer <font color=OBJCOLOR>母猫粪便</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>奏乐</font>, não pôde deixar de cantar baixinho.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>看天花板</font>, de repente se sentiu inexplicavelmente irritado.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>干栋</font> silenciosamente <font color=OBJCOLOR>olhou o teto</font>, de repente lembrou de sua <font color=OBJCOLOR>母亲晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	Dentro da seita, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>书画</font>, de repente teve a imagem de <font color=OBJCOLOR>钭世</font> surgindo em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	Dentro da seita, <font color=MYCOLOR>干栋</font> sozinho <font color=OBJCOLOR>olhou o teto</font>, de repente teve inúmeros pensamentos.
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Dentro da seita, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>凝神望天</font>, de repente teve vontade de comer <font color=OBJCOLOR>母猫粪便</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol se inclinando, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>奏乐</font>, de repente achou muito interessante o <font color=OBJCOLOR>灵石琴台</font> ao lado……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> por estar de espírito vibrante, não pôde deixar de <font color=OBJCOLOR>奏乐</font> para desabafar.
4天 11:16	4d 11:16
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	No horário de Hai, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente derramou lágrimas.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu sem nuvens, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente se sentiu muito cabisbaixa.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava o teto</font>, de repente se sentiu inexplicavelmente irritada.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Mulher da Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu límpido, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>observava as nuvens se desdobrar</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	Dentro da seita, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente se sentiu inexplicavelmente irritado.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu sem nuvens, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente teve vontade de ir ver <font color=OBJCOLOR>天极峰</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	No horário de 日禺, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente teve vontade de comer <font color=OBJCOLOR>饮气丹</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> sozinho <font color=OBJCOLOR>tocava música</font>, de repente teve inúmeros pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> foi perturbado pela emoção de <font color=OBJCOLOR>precisar de um quarto</font>, e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Coluna de Queima de Almas
蛟龙	Dragão da Inundação
身体	Corpo
龙尾	Cauda
龙角	Chifre
龙左前爪	Garra Dianteira Esquerda
龙右前爪	Garra Dianteira Direita
龙左后爪	Garra Traseira Esquerda
龙右后爪	Garra Traseira Direita
逆鳞	Escama Proibida
肆叁伍叁贰贰零玖贰	
扫地	Varrer o chão
七七七	七七七
神秘大能	Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do Jianghu
天苍246年 春 第9日	
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, nas profundezas do deserto, de repente o céu desabou e a terra se rachou, e as inscrições de pedra do sagrado local dos demônios da antiguidade reapareceram no mundo!
陶飞心境不稳	O estado de espírito de 陶飞 estava instável
韶兴遇到瓶颈	韶兴 encontrou um gargalo
项辉遇到瓶颈	项辉 encontrou um gargalo
奚顺遇到瓶颈	奚顺 encontrou um gargalo
郜世遇到瓶颈	郜世 encontrou um gargalo
姬彭亮遇到瓶颈	姬彭亮 encontrou um gargalo
昌志用遇到瓶颈	昌志用 encontrou um gargalo
钭世遇到瓶颈	钭世 encontrou um gargalo
熊子石遇到瓶颈	熊子石 encontrou um gargalo
陶飞遇到瓶颈	陶飞 encontrou um gargalo
干栋遇到瓶颈	干栋 encontrou um gargalo
水雅绿遇到瓶颈	水雅绿 encontrou um gargalo
韶兴突破瓶颈成功	韶兴 quebrou o gargalo com sucesso
项辉突破瓶颈成功	项辉 quebrou o gargalo com sucesso
奚顺突破瓶颈成功	奚顺 quebrou o gargalo com sucesso
郜世突破瓶颈成功	郜世 quebrou o gargalo com sucesso
姬彭亮突破瓶颈成功	姬彭亮 quebrou o gargalo com sucesso
昌志用突破瓶颈成功	昌志用 quebrou o gargalo com sucesso
钭世突破瓶颈成功	钭世 quebrou o gargalo com sucesso
干栋突破瓶颈成功	干栋 quebrou o gargalo com sucesso
水雅绿突破瓶颈成功	水雅绿 quebrou o gargalo com sucesso
存档写入完成	Jogo Salvo
门派传闻	Rumor da Seita
天苍246年 春 第12日	Ano 246 de Tiancang, Primavera, Dia 12  
据传百蛮山的大能蓟语山在稻香村出没。	Diz-se que o poderoso de 百蛮山, 蓟语山, aparece em 稻香村.
据传丹霞洞天的大能平坚在雪风原出没。	Diz-se que o poderoso de 丹霞洞天, 平坚, aparece em 雪风原.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Diz-se que um venerável que ascendeu na 正一道派 de repente concedeu grandes bênçãos, elevando significativamente o poder da seita.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Diz-se que 正一道 encontrou uma caverna de cultivo de artefatos antigos, obtendo numerosos artefatos espirituais para abrigar a essência, e o poder da seita aumentou consideravelmente.
灵石护山剑阵正被攻击	A formação de espadas protetora da montanha de 灵石 está sendo atacada
灵石墙正被攻击	O muro de 灵石 está sendo atacado
理气丹	Pílula de Regulação do Qi
理气丹正在发挥药效	A Pílula de Regulação do Qi está fazendo efeito
赋灵术	Técnica de Infusão Espiritual
五泉涤心法	Método dos Cinco Mananciais para Purificar o Coração
先天罡气	Qi Inato de Gang
化伤术	Técnica de Cura de Ferimentos
天霖诀	Técnica da Chuva Abundante
天一真法	Técnica Verdadeira do Céu Um
水镜观心定	Disciplina do Espelho d'Água
同风诀	Técnica do Vento Unido
归海诀	Técnica do Retorno ao Mar
九阴真水界	Reino Verdadeiro das Águas dos Nove Yin
罡煞合流	Convergência de Gang e Sha
新境神佑书	Livro da Proteção Divina do Novo Reino
紫火千钧剑诀	Técnica da Espada de Fogo Violeta de Mil Quilos
五方神雷	Relâmpago Divino dos Cinco Lados
紫火落花	Queda de Flores de Fogo Violeta
丁火落花真言	Feitiço Verdadeiro de Queda de Flores de Fogo de Ding
多宝流光真言	Feitiço Verdadeiro do Fluxo de Luz de Duobao
混元要诀	Técnica Essencial do Hunyuan
少量的	Ligeiramente
混元十三式	Treze Movimentos do Hunyuan
破灭秘诀	Segredo da Aniquilação
曳影	Sombra Arrastada
五戒坤元	Cinco Preceitos do Kunyuan
中量的	Visivelmente
御气混元宝典	Manual de Hunyuan de Domínio do Qi
赤炎圆转剑诀	Técnica da Espada de Giro Circular de Chamas Rubras
五台混元七式	Sete Movimentos do Hunyuan de Wutai
三才坤元十三式	Treze Movimentos do Kunyuan dos Três Talentos
大量的	Grandemente
未来星宿千钧宝典	Manual das Estrelas do Futuro de Mil Quilos
嵩山坤元秘要	Segredo Essencial do Kunyuan de Songshan
佛心书	Livro do Coração Budista
鄂芸上仙归祖经	Sutra do Retorno aos Antepassados do Imortal 鄂芸
哈氏神佑秘要	Segredo Essencial da Proteção Divina Ha
微草神农通卷	Volume Compreensivo das Ervas do Divino Shen Nong
五内多宝宝典	Manual dos Múltiplos Tesouros Internos
赤月合一秘要	Segredo Essencial da União da Lua Rubra
五内饕餮神功	Habilidade Divina Voraz dos Múltiplos Tesouros Internos
阴神夺舍	Possessão Menor
冥灵真法	Verdadeira Técnica do Espírito Sombrio
天道神丹	Pílula Divina do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada de Giro Circular da Longevidade
入定之术	Técnica de Meditação Profunda
断岳覆天诀	Técnica de Derrubada dos Montes e Cobertura do Céu
勾陈流光	Fluxo de Luz de Gouchen
经之柔上仙金刚咒	Feitiço de Diamante do Imortal Jingzhi
紫薇流光真言	Feitiço Verdadeiro do Fluxo de Luz de Ziwei
金刚经	Sutra do Diamante
奠基宝典	Manual de Fundação
金刚宝典	Manual do Diamante
金刚秘册	Compêndio Secreto do Diamante
东海金刚秘要	Segredo Essencial do Diamante do Mar do Leste
玄关金刚宝典	Manual do Diamante da Entrada Mística
白虎奠基	Fundação do Tigre Branco
御气金刚	Diamante de Domínio do Qi
庚辛金刚密卷	Volume Secreto do Diamante de Gengxin
断岳奠基秘要	Segredo Essencial da Fundação da Derrubada dos Montes
神佑册	Compêndio da Proteção Divina
辟谷密卷	Volume Secreto do Jejum
五内鲸吞纪要	Resumo da Devoração Interna
龙虎佛心书	Livro do Coração Budista dos Dragões e Tigres
阴阳佛心记	Registro do Coração Budista Yin-Yang
庚辛清心经	Sutra da Pureza do Coração de Gengxin
寒月摄神秘法	Técnica Secreta de Captura dos Espíritos da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Segredo Essencial da Pureza do Coração do Imortal 须雅芝
白虎饕餮要诀	Segredo do Tigre Branco e do Taotie
灵息诀	Técnica da Respiração Espiritual
鼎炉吸真术	Técnica da Fornalha da Verdade
再造术	Técnica da Recriação
尘暴术	Técnica da Tempestade de Poeira
求雨术	Técnica de Invocação da Chuva
甘霖术	Técnica da Chuva Abençoada
风水鉴定	Avaliação do Feng Shui
太和御气诀	Técnica Suprema de Controle do Qi
清心咒	Feitiço da Mente Pura
御木诀	Técnica de Controle da Madeira
天水化伤术	Técnica Celestial de Cura com Água
采水诀	Técnica de Coleta de Água
玄牝重生法	Método de Renascimento do Xuanpin
乘风诀	Técnica de Montar o Vento
奔流诀	Técnica da Correnteza
水精真形	Forma Verdadeira do Espírito da Água
水气真形	Forma Verdadeira da Essência da Água
水神真形	Forma Verdadeira do Deus da Água
暴雨术	Técnica da Tempestade
玄魂造命	Molde do Destino da Alma Profunda
醍醐灌顶之术	Técnica da Iluminação Suprema
玄金五气真言	Feitiço dos Cinco Sopros de Ouro
勾陈三花咒	Feitiço das Três Flores de Gouchén
紫云宫流光咒	Feitiço da Luz Fluente do Palácio da Nuvem Roxa
奠基经	Escritura da Fundação
金刚要诀	Segredo do Diamante
奠基秘要	Segredo da Fundação
玄金奠基秘册	Manual Secreto da Fundação do Ouro Místico
入道奠基经	Escritura da Fundação para a Iluminação
庚金金刚	Diamante do Metal Geng
断岳奠基宝典	Compêndio Fundamental da Montanha Partida
断岳金刚宝典	Compêndio Diamante da Montanha Partida
化形金刚	Diamante da Transformação
辟谷宝典	Compêndio do Jejum Taoísta
叶厚上仙神视神功	Técnica de Visão Divina do Imortal Yehou
御气清心经	Escritura do Coração Puro de Controle do Qi
赤霄宫合一册	Compêndio da União do Palácio Chixiao
入道归祖神功	Técnica Suprema do Retorno à Origem
玄机神视秘要	Segredo da Visão Divina do Mistério Celestial
归真鲸吞要诀	Segredo do Retorno à Verdade e Engolir como uma Baleia
天魔解体大法	Grande Técnica de Desintegração do Demônio Celestial
炼制灵石之术	Técnica de Refinamento de Pedras Espirituais
玄机流光真言	Feitiço da Luz Fluente do Mistério Celestial
金丹流光	Luz Fluente da Pílula Dourada
迅影	Sombra Veloz
混元秘法	Método Secreto do Caos Primordial
寒月坤元决	Técnica Kun Yuan da Lua Fria
五戒千钧剑诀	Técnica da Espada de Cinco Preceitos e Mil Jun
彻法混元十式	Dez Técnicas Absolutas do Caos Primordial
多宝通卷	Manual Completo dos Muitos Tesouros
百炼秘要	Segredo das Cem Refinarias
饕餮	Taotie
龙虎鬼手通卷	Manual Completo da Mão Fantasma do Dragão e do Tigre
真丹多宝	Pílula Verdadeira dos Muitos Tesouros
三才多宝纲要	Compêndio dos Muitos Tesouros dos Três Poderes
六气圆转十三式	Treze Técnicas da Circulação dos Seis Sopros
献祭	Oferta de Sacrifício
精火筑灵	Fogo Refinado para Construção da Alma
逆浪天星咒	Feitiço da Estrela Celestial contra a Maré
少林金刚神雷	Trovão Sagrado do Diamante de Shaolin
金刚	Diamante
奠基要诀	Segredo Fundamental
修蛇金刚宝典	Compêndio Diamante da Cobra Refinada
五内奠基宝典	Compêndio da Fundação dos Cinco Órgãos
知节奠基经	Escritura da Fundação de Zhi Jie
万源归真金刚宝典	Compêndio Diamante do Retorno das Mil Fontes
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Manual Secreto do Diamante Ziwei
凌霄奠基秘要	Segredo da Fundação de Lingxiao
百汇奠基秘法	Método Secreto da Fundação Baihui
沃野丹方	Fórmula da Pílula dos Campos Férteis
星辰合一册	Compêndio da União das Estrelas
壬水合一书	Livro da União da Água Ren
凌霄合一册	Compêndio da União de Lingxiao
逆浪清心神功	Técnica Sagrada da Mente Pura contra a Maré
文盛真人摄神册	Compêndio de Captura Espiritual do Mestre Wensheng
百汇佛心	Coração Búdico de Baihui
大衍神算	Cálculo Derivativo
分神之术	Técnica de Separação da Alma
庚金决意秘传	Segredo da Determinação do Metal Geng
赤日三花诀	Técnica das Três Flores do Sol Escarlate
奠基密卷	Manual Secreto da Fundação
天金金刚经	Escritura Diamante do Ouro Celestial
玄金金刚秘要	Segredo do Diamante do Ouro Místico
龙虎金刚	Diamante do Dragão e do Tigre
勾陈奠基	Fundação de Gouchén
百草阁金刚秘法	Método Secreto do Diamante do Pavilhão das Cem Ervas
饕餮纪要	Registro do Taotie
多宝	Muitos Tesouros
阴阳鬼手秘传	Segredo da Mão Fantasma Yin-Yang
金雷鬼手宝典	Compêndio da Mão Fantasma do Trovão Dourado
寒月百炼通卷	Manual Completo das Cem Refinarias da Lua Fria
炎神殿鬼手纲要	Compêndio da Mão Fantasma do Templo do Deus Flamejante
御气万古秘要	Segredo Milenar do Controle do Qi
阴阳神佑秘要	Segredo da Bênção Divina do Yin-Yang
魂体寄生	Parasitismo da Alma e do Corpo
武当佛心典	Clássico do Coração Búdico de Wudang
星辰五方	Cinco Direções Estelares
陨星诀	Técnica da Estrela Cadente
逆浪不坏真言	Feitiço da Indestrutibilidade contra a Maré
曳影七式	Sete Técnicas da Sombra Arrastada
归祖要诀	Segredo do Retorno à Origem
勾陈气摄秘法	Método Secreto da Captura do Qi de Gouchén
壬癸神佑	Bênção Divina de Ren e Gui
凝光鬼手宝典	Compêndio da Mão Fantasma da Luz Condensada
惊波百炼宝册	Livro das Cem Refinarias da Onda Assustadora
修蛇归祖密卷	Manual Secreto da Cobra do Retorno à Origem
玄武神视纪要	Registro da Visão Divina da Tartaruga Negra
冷月急诵秘法	Método Secreto da Recitação Rápida da Lua Fria
腾岳覆天	Técnica da Montanha Ascendente que Cobre o Céu
破灭	Destruição
破灭密卷	Manual Secreto da Destruição
气摄宝典	Compêndio da Captura do Qi
勾陈决意要诀	Segredo da Determinação de Gouchén
彻法归祖秘要	Segredo Supremo do Retorno à Lei Fundamental
华山万古神功	Técnica Sagrada Eterna do Monte Hua
伐毛洗髓之术	Técnica de Purificação dos Ossos e Sangue
彻法不朽	Imortalidade através da Lei Suprema
化形金刚神雷	Trovão Divino Diamante da Transformação
奠基秘册	Manual Secreto da Fundação
长生金刚秘要	Segredo do Diamante da Imortalidade
黄庭金刚秘法	Método Secreto do Diamante do Pátio Amarelo
新境奠基经	Escritura da Fundação do Novo Reino
少林金刚经	Escritura do Diamante de Shaolin
大日奠基秘要	Segredo da Fundação do Grande Sol
佛心秘法	Método Secreto do Coração Búdico
合一秘要	Segredo da União
长生通慧记	Registro da Iluminação da Imortalidade
南海佛心典	Clássico do Coração Búdico do Mar do Sul
玄关神农	Divindade Misteriosa Shennong
断岳鲸吞秘要	Segredo da Engolida da Baleia da Montanha Partida
化形神佑典	Clássico da Bênção Divina da Transformação
太乙清心经	Escritura do Coração Puro Taiyi
托体同山诀	Técnica da União com a Montanha
西海九极咒	Feitiço dos Nove Extremos do Mar Ocidental
咒神宝典	Compêndio do Deus dos Feitiços
崩天卷	Rolo do Colapso Celestial
多宝秘传	Segredo dos Muitos Tesouros
多宝宝册	Livro dos Muitos Tesouros
天金摄神册	Compêndio da Captura Espiritual do Ouro Celestial
未来星宿百炼秘传	Segredo das Cem Refinarias das Estrelas do Futuro
辛金百炼秘传	Segredo das Cem Refinarias do Metal Xin
断岳多宝宝册	Livro dos Muitos Tesouros da Montanha Partida
玄机多宝	Muitos Tesouros do Mistério Celestial
天魔化身术	Técnica da Encarnação do Demônio Celestial
开天眼之术	Técnica da Abertura do Olho Celestial
通符书	Livro dos Amuletos Conectados
云气汇流	Fluxo da Energia das Nuvens
剑符录	Registro dos Amuletos da Espada
玄符录	Registro dos Amuletos Místicos
天甲符	Amuleto da Armadura Celestial
咒符录	Registro dos Amuletos de Feitiço
神咒符	Amuleto Sagrado de Feitiço
结云经	Escritura da Formação das Nuvens
祈天经	Escritura da Oração Celestial
通天符法	Técnica do Amuleto Celestial
天真论	Dissertação da Verdade Celestial
无上神符	Amuleto Supremo Divino
借天符	Amuleto do Empréstimo Celestial
遮天符	Amuleto da Cobertura Celestial
云行法	Método do Caminho das Nuvens
东木分神书	Livro da Separação da Alma da Madeira Oriental
天岭金刚真言	Feitiço Diamante das Montanhas Celestiais
戊土八极真言	Feitiço dos Oito Extremos da Terra Wu
归家五方诀	Técnica das Cinco Direções do Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos de Kun Yuan
千钧十三式	Treze Técnicas dos Mil Jun
曳影式	Técnica da Sombra Arrastada
破灭要诀	Segredo da Destruição
神农宝典	Compêndio de Shennong
摄神	Captura da Alma
万里多宝	Muitos Tesouros a Longas Milhas
五内琢玉通卷	Manual Completo de Lapidação do Jade dos Cinco Internos
凌霄佛心要诀	Segredo do Coração Búdico de Lingxiao
己土辟谷要诀	Segredo do Jejum de Ji Tu
炎神殿通慧要诀	Segredo da Compreensão do Templo do Deus Flamejante
东海神佑要诀	Segredo da Proteção Divina do Mar do Leste
风月幻境	Ilusão do Vento e da Lua
真丹金刚	Diamante da Pílula Verdadeira
长生陨星诀	Técnica da Estrela Cadente da Longevidade
崩天	Desabamento do Céu
急诵秘要	Segredo da Recitação Urgente
崩天秘诀	Segredo do Desabamento Celestial
华山归藏密卷	Manual Secreto da Conservação do Monte Hua
摄神册	Compêndio da Captura do Espírito
入道鬼手要诀	Segredo da Mão Fantasma de Iniciação
多宝神农	Shennong dos Muitos Tesouros
造化饕餮神功	Técnica Divina da Criação do Taotie
戊己神佑要诀	Segredo da Proteção Divina de WuJi
五印刻神	Gravação dos Cinco Selos Divinos
行疆神视秘传	Tradição Secreta da Visão Divina de Xingjiang
知节金刚咒	Feitiço do Diamante de Zhi Jie
现在贤流光真言	Verdadeiro Mantra da Luz Fluente do Sábio Atual
戊土金刚咒	Feitiço do Diamante da Terra Wu
急诵	Recitação Urgente
咒神九卷	Manual dos Nove Volumes do Deus dos Feitiços
归祖	Retorno à Origem
通慧册	Compêndio da Sabedoria
琢玉通卷	Manual Completo de Lapidação do Jade
行疆佛心典	Clássico do Coração Búdico de Xingjiang
东华多宝秘传	Segredo dos Muitos Tesouros de Donghua
和春枫真人神佑典	Clássico da Bênção Divina do Imortal He Chunfeng
玄关合一秘法	Método Secreto da União de Xuanguan
真丹佛心册	Compêndio do Coração Búdico da Pílula Verdadeira
镇岳鬼手纲要	Compêndio da Mão Fantasma que Domina a Montanha
六气饕餮神功	Técnica Divina do Taotie dos Seis Sopros
驱云诀	Técnica de Dispersão das Nuvens
行疆陨星咒	Feitiço da Estrela Cadente de Xingjiang
阴阳天星咒	Feitiço da Estrela Celestial Yin-Yang
化影神雷	Trovão Divino da Transformação da Sombra
迅击要诀	Segredo da Investida Veloz
迅影宝典	Compêndio da Sombra Veloz
迅击决	Decisão da Investida Veloz
千钧密卷	Manual Secreto dos Mil Jun
西海混元	Caos Primordial do Mar Ocidental
神视秘法	Método Secreto da Visão Divina
麒麟归祖	Retorno à Origem do Qilin
现在贤清心要诀	Segredo do Coração Puro do Sábio Atual
戊己合一要诀	Segredo da União de WuJi
长生决意	Determinação para a Longevidade
班谷云真人奠基经	Escritura da Fundação do Imortal Ban Guyun
焚风术	Técnica do Vento em Chamas
杀意	Intenção de Matar
御剑术	Técnica de Domínio da Espada
天妖化血术	Técnica da Transformação Sanguínea do Demônio Celestial
七杀魔体	Corpo Demoníaco dos Sete Assassinatos
剑心通明	Clareza do Coração da Espada
心剑交感	Sinergia entre o Coração e a Espada
击字诀	Técnica dos Caracteres de Ataque
崩字诀	Técnica dos Caracteres do Colapso
御字诀	Técnica dos Caracteres de Domínio
刺字诀	Técnica dos Caracteres de Estocada
点字诀	Técnica dos Caracteres de Pontuação
化字诀	Técnica dos Caracteres de Transformação
洗字诀	Técnica dos Caracteres de Purificação
劈字诀	Técnica dos Caracteres de Corte
分字诀	Técnica dos Caracteres de Divisão
摄神御鬼大法	Grande Técnica da Captura dos Espíritos e Domínio dos Demônios
神御剑	Espada Divina de Domínio
神合剑	Espada Divina da União
魔流剑意	Intenção da Espada do Fluxo Demoníaco
剑灵	Espírito da Espada
