拜祖师	Adorar os ancestrais
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu completamente limpo, <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>lendo e apreciando livros</font> quando, de repente, teve vontade de comer <font color=OBJCOLOR>fezes de gata</font>。
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	No clã, <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>tocando música</font> quando não pôde deixar de cantar baixinho junto。
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, sentiu uma irritação inexplicável。
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>Gan Dong</font> estava silenciosamente <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, lembrou-se de sua <font color=OBJCOLOR>mãe Jin Dai</font>。
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	No clã, <font color=MYCOLOR>Gan Dong</font> estava <font color=OBJCOLOR>praticando caligrafia e pintura</font> quando, de repente, a imagem de <font color=OBJCOLOR>Dou Shi</font> surgiu em sua mente。
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	No clã, <font color=MYCOLOR>Gan Dong</font> estava sozinho <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, centenas de pensamentos surgiram。
4天 07:41	4d 07:41
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira Evenfall
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	No clã, <font color=MYCOLOR>Ji Pengliang</font> estava <font color=OBJCOLOR>fixando o olhar no céu</font> quando, de repente, teve vontade de comer <font color=OBJCOLOR>fezes de gata</font>。
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol declinando e o coração preguiçoso, <font color=MYCOLOR>Ji Pengliang</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, achou o <font color=OBJCOLOR>palco de qin de pedra espiritual</font> ao lado muito interessante……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	Por causa de um humor <font color=OBJCOLOR>colorido e variado</font>, <font color=MYCOLOR>Ji Pengliang</font> não pôde deixar de <font color=OBJCOLOR>tocar música</font> para desabafar。
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	Na última vigília, <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, derramou lágrimas。
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu completamente limpo, <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>jogando xadrez</font> quando, de repente, sentiu-se muito abatida。
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>Shui Yalü</font> estava <font color=OBJCOLOR>olhando para o teto</font> quando, de repente, sentiu uma irritação inexplicável。
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Dama da Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Em um dia claro e tranquilo, <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>observando as nuvens</font> quando, de repente, soltou um longo suspiro。
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, sentiu uma irritação inexplicável。
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu completamente limpo, <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>jogando xadrez</font> quando, de repente, quis ir ver o <font color=OBJCOLOR>Pico Celeste</font>。
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	No horário de Ri Yu, <font color=MYCOLOR>Gao Shi</font> estava <font color=OBJCOLOR>tocando música</font> quando, de repente, quis comer <font color=OBJCOLOR>Pílula de Ingestão de Qi</font>。
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>Gao Shi</font> estava sozinho <font color=OBJCOLOR>tocando música</font> quando, de repente, centenas de pensamentos surgiram。
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>Gao Shi</font> foi perturbado pela emoção de <font color=OBJCOLOR>precisar de um quarto</font> e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente。
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Coluna Queimadora de Almas
肆叁伍叁贰贰零玖贰	
扫地	Varrer o Chão
七七七	
神秘大能	Poder Misterioso
教学	Aula
门	Clã
江湖秘闻	Segredo do Mundo Marcial
天苍246年 春 第9日	
据说大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Dizem que, nas profundezas do deserto, a terra e o céu ruiu de repente, e as inscrições de pedra sagrada do eremitério demoníaco do antigo Clã Dragão ressurgiram no mundo！
陶飞心境不稳	Tao Fei em estado mental instável
韶兴遇到瓶颈	Shao Xing encontrou um gargalo
项辉遇到瓶颈	Xiang Hui encontrou um gargalo
奚顺遇到瓶颈	Xi Shun encontrou um gargalo
郜世遇到瓶颈	Gao Shi encontrou um gargalo
姬彭亮遇到瓶颈	Ji Pengliang encontrou um gargalo
昌志用遇到瓶颈	Chang Zhiyong encontrou um gargalo
钭世遇到瓶颈	Dou Shi encontrou um gargalo
熊子石遇到瓶颈	Xiong Zishi encontrou um gargalo
陶飞遇到瓶颈	Tao Fei encontrou um gargalo
干栋遇到瓶颈	Gan Dong encontrou um gargalo
水雅绿遇到瓶颈	Shui Yalü encontrou um gargalo
韶兴突破瓶颈成功	Shao Xing superou o gargalo com sucesso
项辉突破瓶颈成功	Xiang Hui superou o gargalo com sucesso
奚顺突破瓶颈成功	Xi Shun superou o gargalo com sucesso
郜世突破瓶颈成功	Gao Shi superou o gargalo com sucesso
姬彭亮突破瓶颈成功	Ji Pengliang superou o gargalo com sucesso
昌志用突破瓶颈成功	Chang Zhiyong superou o gargalo com sucesso
钭世突破瓶颈成功	Dou Shi superou o gargalo com sucesso
干栋突破瓶颈成功	Gan Dong superou o gargalo com sucesso
水雅绿突破瓶颈成功	Shui Yalü superou o gargalo com sucesso
存档写入完成	Jogo salvo
门派传闻	Rumor da seita
天苍246年 春 第12日	Ano 246 de Tiancang, Primavera, Dia 12
据传百蛮山的大能蓟语山在稻香村出没。	Dizem que o poderoso Jiyu Shan de Baiman Shan aparece em Daoxiang Village.
据传丹霞洞天的大能平坚在雪风原出没。	Dizem que o poderoso Ping Jian de Danxia Dongtian aparece em Xuefeng Plain.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que um venerável ascendido da seita Zhengyi de repente enviou grandes bênçãos, aumentando muito o poder da seita.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Dizem que a seita Zhengyi encontrou a caverna de um cultivador de artefatos antigo, obtendo muitos objetos espirituais para cultivo de Yuan Shen, aumentando muito o poder da seita.
灵石护山剑阵正被攻击	O Arranjo de Espadas Protetor de Montanha de Pedras Espirituais está sendo atacado
灵石墙正被攻击	A Parede de Pedras Espirituais está sendo atacada
食物储量不足	Reservas de alimentos insuficientes
理气丹	Pílulas de Regulagem de Qi
理气丹正在发挥药效	As Pílulas de Regulagem de Qi estão fazendo efeito
赋灵术	Técnica de Imbuir Espírito
五泉涤心法	Técnica de Purificação das Cinco Fontes
先天罡气	Qi Gênesis Innato
化伤术	Técnica de Cura de Ferimentos
天霖诀	Manual da Chuva Celestial
天一真法	Verdadeiro Método do Primeiro Céu
水镜观心定	Reflexão Aquática para Observar a Mente
同风诀	Técnica do Vento Comum
归海诀	Técnica de Retorno ao Mar
九阴真水界	Reino da Verdadeira Água dos Nove Yin
罡煞合流	Confluência de Energia e Mortalidade
新境神佑书	Livro da Proteção Divina do Novo Reino
紫火千钧剑诀	Técnica da Espada do Fogo Púrpura Mil Toneladas
五方神雷	Trovões Divinos dos Cinco Quadrantes
紫火落花	Flores Caídas de Fogo Púrpura
丁火落花真言	Mantra das Flores Caídas de Fogo Yang
多宝流光真言	Mantra do Raio de Múltiplos Tesouros
混元要诀	Essência do Caos Primordial
少量的	Em pequena quantidade
混元十三式	Treze Formas do Caos Primordial
破灭秘诀	Segredo da Aniquilação
曳影	Sombra Arrastada
五戒坤元	Cinco Preceitos da Terra Primordial
中量的	Em quantidade moderada
御气混元宝典	Manual de Dominar o Qi e o Caos Primordial
赤炎圆转剑诀	Técnica da Espada Rotativa de Fogo Vermelho
五台混元七式	Sete Formas do Caos Primordial de Wutai
三才坤元十三式	Treze Formas dos Três Talentos da Terra Primordial
大量的	Em grande quantidade
未来星宿千钧宝典	Manual Mil Toneladas das Constelações Futuras
嵩山坤元秘要	Segredo do Solo Primordial de Songshan
佛心书	Livro do Coração de Buda
鄂芸上仙归祖经	Clássico do Retorno ao Ancestral da Imortal E Yun
哈氏神佑秘要	Segredo da Proteção Divina de Clã Ha
微草神农通卷	Rolo Completo do Imperador Divino dos Pequenos Ervas
五内多宝宝典	Classificação dos Cinco Órgãos e Muitos Tesouros
赤月合一秘要	Segredo da União da Lua Vermelha
五内饕餮神功	Divina Arte do Gourmand dos Cinco Órgãos
阴神夺舍	Possessão Menor
冥灵真法	Verdadeiro Método do Espírito Profundo
天道神丹	Elixir Divino do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada Rotativa da Longevidade
入定之术	Técnica de Entrar em Meditação
断岳覆天诀	Técnica de Quebrar Montanhas e Cobrir o Céu
勾陈流光	Fluxo Luminoso de Gouchen
经之柔上仙金刚咒	Mantra Diamante do Imortal Jing Zhirou
紫薇流光真言	Mantra da Luz Fluida de Ziwei
金刚经	Sutra do Diamante
奠基宝典	Manual de Fundação
金刚宝典	Manual Diamante
金刚秘册	Tomos Secretos Diamante
东海金刚秘要	Essenciais Secretos Diamante do Mar do Leste
玄关金刚宝典	Manual Diamante do Pórtico Profundo
白虎奠基	Fundação do Tigre Branco
御气金刚	Diamante de Dominar o Qi
庚辛金刚密卷	Pergaminho Secreto Diamante Gengxin
断岳奠基秘要	Essenciais Secretos da Fundação de Quebrar Montanhas
神佑册	Livro da Proteção Divina
辟谷密卷	Pergaminho Secreto de Jejum
五内鲸吞纪要	Resumo de Devorar os Cinco Órgãos
龙虎佛心书	Livro do Coração de Buda de Dragão e Tigre
阴阳佛心记	Registro do Coração de Buda Yin Yang
庚辛清心经	Sutra Limpo Gengxin
寒月摄神秘法	Método Secreto de Capturar Espíritos da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Essenciais Secretos de Purificar a Mente do Imortal Xu Yazhi
白虎饕餮要诀	Segredo do Gourmand do Tigre Branco
灵息诀	Técnica do Suspiro Espiritual
鼎炉吸真术	Técnica de Absorver a Verdade do Caldeirão
再造术	Técnica de Recriação
尘暴术	Técnica de Tempestade de Poeira
求雨术	Técnica de Invocação de Chuva
甘霖术	Técnica da Chuva Benevolente
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica Suprema de Dominar o Qi
清心咒	Mantra de Purificação da Mente
御木诀	Técnica de Dominar Madeiras
天水化伤术	Técnica de Cura com Água Celestial
采水诀	Técnica de Coleta de Água
玄牝重生法	Método de Renascimento do Portal Proibido
乘风诀	Técnica de Montar o Vento
奔流诀	Técnica da Correnteza Furiosa
水精真形	Forma Verdadeira do Espírito da Água
水气真形	Forma Verdadeira do Qi Aquático
水神真形	Forma Verdadeira do Deus da Água
暴雨术	Técnica de Tempestade de Chuva
玄魂造命	Criação de Vida do Espírito Misterioso
醍醐灌顶之术	Técnica de Esclarecimento Supremo
玄金五气真言	Mantra dos Cinco Qis do Ouro Misterioso
勾陈三花咒	Mantra das Três Flores de Gouchen
紫云宫流光咒	Mantra de Luz Fluida do Palácio de Nuvem Púrpura
奠基经	Sutra de Fundação
金刚要诀	Segredos Diamante
奠基秘要	Essenciais Secretos de Fundação
玄金奠基秘册	Tomos Secretos de Fundação do Ouro Misterioso
入道奠基经	Sutra de Fundação de Entrada no Caminho
庚金金刚	Diamante de Ouro Geng
断岳奠基宝典	Manual de Fundação de Quebrar Montanhas
断岳金刚宝典	Manual Diamante de Quebrar Montanhas
化形金刚	Diamante Transformador de Forma
辟谷宝典	Manual de Jejum
叶厚上仙神视神功	Poder Divino de Visão do Imortal Ye Hou
御气清心经	Sutra Limpo de Dominar o Qi
赤霄宫合一册	Tomos da União do Palácio Chixiao
入道归祖神功	Poder Divino de Retorno ao Ancestral ao Entrar no Caminho
玄机神视秘要	Essenciais Secretos de Visão Divina de Xuanyuan
归真鲸吞要诀	Segredos de Devorar para Retornar ao Verdadeiro
天魔解体大法	Grande Método de Dissolução de Demônios Celestiais
炼制灵石之术	Técnica de Refino de Pedras Espirituais
玄机流光真言	Mantra de Luz Fluida de Xuanyuan
金丹流光	Luz Fluida de Pedra Preciosa
迅影	Sombra Rápida
混元秘法	Método Secreto do Caos Primordial
寒月坤元决	Decisão de Kun Yuan da Lua Fria
五戒千钧剑诀	Técnica da Espada Mil Toneladas dos Cinco Preceitos
彻法混元十式	Dez Formas de Purificação e Caos Primordial
多宝通卷	Rolo Completo de Muitos Tesouros
百炼秘要	Essenciais Secretos de Centenas de Forjas
饕餮	Gourmand
龙虎鬼手通卷	Rolo Completo das Mãos Fantasma de Dragão e Tigre
真丹多宝	Verdadeiros Elixires e Muitos Tesouros
三才多宝纲要	Esboço dos Três Talentos e Muitos Tesouros
六气圆转十三式	Treze Formas de Rotação Circular dos Seis Qis
献祭	Oferta Sacrificial
精火筑灵	Forjar Espírito com Fogo Essencial
逆浪天星咒	Mantra da Estrela Celestial de Ondas Contrárias
少林金刚神雷	Trovão Divino Diamante de Shaolin
金刚	Diamante
奠基要诀	Segredos de Fundação
修蛇金刚宝典	Manual Diamante da Cobra Cultivadora
五内奠基宝典	Manual de Fundação dos Cinco Órgãos
知节奠基经	Sutra de Fundação da Disciplina Consciente
万源归真金刚宝典	Manual Diamante do Retorno à Verdade de Dez Mil Fontes
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Pergaminho Secreto Diamante de Ziwei
凌霄奠基秘要	Essenciais Secretos de Fundação de Lingxiao
百汇奠基秘法	Método Secreto de Fundação de Baihui
沃野丹方	Prescrição de Elixir das Terras Férteis
星辰合一册	Tomos da União das Estrelas
壬水合一书	Livro da União de Shui Ren
凌霄合一册	Tomos da União de Lingxiao
逆浪清心神功	Arte Divina de Purificação da Mente de Ondas Contrárias
文盛真人摄神册	Tomos de Captura de Espírito de Wensheng Zhenren
百汇佛心	Coração de Buda de Baihui
大衍神算	Cálculo Derivativo
分神之术	Técnica de Dividir o Espírito
庚金决意秘传	Transmissão Secreta de Decisão de Ouro Geng
赤日三花诀	Técnica das Três Flores do Sol Vermelho
奠基密卷	Pergaminho Secreto de Fundação
天金金刚经	Sutra Diamante de Ouro Celestial
玄金金刚秘要	Essenciais Secretos Diamante de Ouro Misterioso
龙虎金刚	Diamante Dragão e Tigre
勾陈奠基	Fundação de Gouchen
百草阁金刚秘法	Método Secreto Diamante do Pavilhão de Cem Ervas
饕餮纪要	Resumo de Gourmand
多宝	Muitos Tesouros
阴阳鬼手秘传	Transmissão Secreta das Mãos Fantasma Yin Yang
金雷鬼手宝典	Manual Mão Fantasma do Trovão Dourado
寒月百炼通卷	Rolo Completo de Centenas de Forjas da Lua Fria
炎神殿鬼手纲要	Esboço da Mão Fantasma do Templo do Deus Flamejante
御气万古秘要	Essenciais Secretos de Dominar o Qi Eterno
阴阳神佑秘要	Essenciais Secretos da Proteção Divina Yin Yang
魂体寄生	Parasitar o Corpo da Alma
武当佛心典	Clássico do Coração de Buda de Wudang
星辰五方	Cinco Direções das Estrelas
陨星诀	Técnica da Estrela Cadente
逆浪不坏真言	Mantra da Ondas Contrárias Indestrutível
曳影七式	Sete Formas de Sombra Arrastada
归祖要诀	Segredos de Retornar aos Ancestrais
勾陈气摄秘法	Método Secreto de Capturar Qi de Gouchen
壬癸神佑	Proteção Divina de Ren Gui
凝光鬼手宝典	Manual Mão Fantasma de Ningguang
惊波百炼宝册	Tomos Preciosos de Centenas de Forjas de Ondas Assustadoras
修蛇归祖密卷	Pergaminho Secreto de Retorno aos Ancestrais da Cobra Cultivadora
玄武神视纪要	Resumo da Visão Divina de Xuanwu
冷月急诵秘法	Método Secreto de Recitação Urgente da Lua Fria
腾岳覆天	Montanha Subjulgando o Céu
破灭	Aniquilação
破灭密卷	Pergaminho Secreto da Aniquilação
气摄宝典	Manual de Captura de Qi
勾陈决意要诀	Segredos de Decisão de Gouchen
彻法归祖秘要	Essenciais Secretos de Purificação e Retorno aos Ancestrais
华山万古神功	Arte Divina Eterna de Huashan
伐毛洗髓之术	Técnica de Cavar Pelos e Lavar Medula
彻法不朽	Purificação Imortal
化形金刚神雷	Trovão Divino Diamante Transformador de Forma
奠基秘册	Tomos Secretos de Fundação
长生金刚秘要	Essenciais Secretos do Diamante da Longevidade
黄庭金刚秘法	Técnica Secreta do Diamante do Pátio Amarelo
新境奠基经	Escritura de Fundação do Novo Reino
少林金刚经	Sutra do Diamante de Shaolin
大日奠基秘要	Essenciais Secretos da Fundação do Grande Sol
佛心秘法	Técnica Secreta do Coração de Buda
合一秘要	Essenciais Secretos da Unificação
长生通慧记	Registro da Sabedoria da Longevidade
南海佛心典	Clássico do Coração de Buda do Mar do Sul
玄关神农	Shennong do Portal Místico
断岳鲸吞秘要	Essenciais Secretos da Devoradora de Montanhas
化形神佑典	Clássico da Proteção Divina da Metamorfose
太乙清心经	Escritura Pura do Coração da Suprema Unidade
托体同山诀	Técnica de União Corporal com a Montanha
西海九极咒	Encantamento dos Nove Extremos do Mar do Oeste
咒神宝典	Manual Divino de Encantamentos
崩天卷	Rolo do Colapso Celestial
多宝秘传	Tradição Secreta dos Muitos Tesouros
多宝宝册	Tomo dos Muitos Tesouros
天金摄神册	Tomo Celestial da Captura Espiritual de Metal
未来星宿百炼秘传	Tradição Secreta das Cem Refinagens das Constelações Futuras
辛金百炼秘传	Tradição Secreta das Cem Refinagens do Metal Xin
断岳多宝宝册	Tomo dos Muitos Tesouros da Montanha Quebrada
玄机多宝	Tesouros Misteriosos
天魔化身术	Técnica de Encarnação do Demônio Celestial
开天眼之术	Técnica de Abertura do Olho Celestial
通符书	Livro dos Talismãs de Comunicação
云气汇流	Convergência das Energias das Nuvens
剑符录	Registro dos Talismãs da Espada
玄符录	Registro dos Talismãs Místicos
天甲符	Talismã da Armadura Celestial
咒符录	Registro dos Talismãs de Encantamento
神咒符	Talismã do Encantamento Divino
结云经	Escritura de Formação de Nuvens
祈天经	Escritura de Oração Celestial
通天符法	Arte dos Talismãs que Atingem os Céus
天真论	Discurso sobre a Verdade Celestial
无上神符	Talismã Divino Supremo
借天符	Talismã de Empréstimo Celestial
遮天符	Talismã de Ocultação Celestial
云行法	Arte de Caminhar nas Nuvens
东木分神书	Livro da Separação Espiritual da Madeira Oriental
天岭金刚真言	Mantra do Diamante das Montanhas Celestiais
戊土八极真言	Mantra das Oito Extremidades da Terra Wu
归家五方诀	Técnica dos Cinco Caminhos de Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos de Kunyuan
千钧十三式	Treze Estilos de Mil Jin
曳影式	Estilo da Sombra Arrastada
破灭要诀	Segredos da Aniquilação
神农宝典	Manual de Shennong
摄神	Captura Espiritual
万里多宝	Muitos Tesouros das Dez Mil Léguas
五内琢玉通卷	Rolo Completo do Cinzelamento Interno da Jade
凌霄佛心要诀	Segredos do Coração de Buda Celestial
己土辟谷要诀	Segredos da Dieta de Terra Ji
炎神殿通慧要诀	Segredos da Sabedoria do Templo do Deus do Fogo
东海神佑要诀	Segredos da Proteção Divina do Mar do Leste
风月幻境	Ilusão de Vento e Lua
真丹金刚	Diamante do Elixir Verdadeiro
长生陨星诀	Técnica da Estrela Cadente da Longevidade
崩天	Colapso Celestial
急诵秘要	Essenciais Secretos da Recitação Urgente
崩天秘诀	Segredo do Colapso Celestial
华山归藏密卷	Rolo Secreto da Retirada de Huashan
摄神册	Tomo da Captura Espiritual
入道鬼手要诀	Segredos da Mão Fantasma do Caminho
多宝神农	Shennong dos Muitos Tesouros
造化饕餮神功	Arte Divina Glutona da Criação
戊己神佑要诀	Segredos da Proteção Divina Wu-Ji
五印刻神	Talismãs dos Cinco Selos Gravados
行疆神视秘传	Segredos Ocultos da Visão Divina na Fronteira
知节金刚咒	Mantra Diamante da Consciência da Moderação
现在贤流光真言	Mantra da Luz Fluente do Sábio Atual
戊土金刚咒	Mantra Diamante da Terra Wu
急诵	Recitação Urgente
咒神九卷	Nove Rolos do Deus dos Encantamentos
归祖	Retorno aos Ancestrais
通慧册	Tomo da Sabedoria Acessível
琢玉通卷	Tomo Completo do Lapidamento da Jade
行疆佛心典	Clássico do Coração de Buda da Fronteira
东华多宝秘传	Tradição Secreta dos Muitos Tesouros do Leste Huá
和春枫真人神佑典	Clássico da Proteção Divina do Mestre Héchūnfēng
玄关合一秘法	Técnica Secreta da Unificação do Portal Místico
真丹佛心册	Tomo do Coração de Buda do Elixir Verdadeiro
镇岳鬼手纲要	Esboço dos Controles da Mão Fantasma Guardiã da Montanha
六气饕餮神功	Arte Divina dos Seis Qi Glutões
驱云诀	Técnica de Expulsão das Nuvens
行疆陨星咒	Mantra da Estrela Cadente da Fronteira
阴阳天星咒	Mantra da Estrela Celestial Yin Yang
化影神雷	Trovão Divino da Sombra Transformadora
迅击要诀	Segredos do Golpe Rápido
迅影宝典	Manual da Sombra Veloz
迅击决	Técnica do Golpe Veloz
千钧密卷	Rolo Secreto do Mil Jin
西海混元	Hun Yuan do Mar do Oeste
神视秘法	Técnica Secreta da Visão Divina
麒麟归祖	Retorno aos Ancestrais do Qilin
现在贤清心要诀	Segredos do Coração Puro do Sábio Atual
戊己合一要诀	Segredos da Unificação Wu-Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Escritura Fundadora do Mestre Bāngǔyún
焚风术	Técnica do Vento Incendiário
杀意	Intenção de Matar
御剑术	Técnica de Controle da Espada
天妖化血术	Técnica da Transformação Sanguínea do Demônio Celestial
七杀魔体	Corpo Demoníaco das Sete Mortes
剑心通明	Claridade do Coração da Espada
心剑交感	Conexão entre Coração e Espada
击字诀	Técnica dos Golpes de Caracteres
崩字诀	Técnica do Colapso de Caracteres
御字诀	Técnica de Controle de Caracteres
刺字诀	Técnica de Perfuração de Caracteres
点字诀	Técnica do Toque de Caracteres
化字诀	Técnica de Transformação de Caracteres
洗字诀	Técnica de Lavagem de Caracteres
劈字诀	Técnica de Corte de Caracteres
分字诀	Técnica de Separação de Caracteres
摄神御鬼大法	Grande Técnica de Captura de Espíritos e Controle de Fantasmas
神御剑	Espada do Controle Divino
神合剑	Espada da União Divina
魔流剑意	Intenção Demoníaca da Espada
剑灵	 Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Imortal do Corte do Espírito
极剑·一	Espada Suprema I
极剑·二	Espada Suprema II
极剑·三	Espada Suprema III
我剑·一	Minha Espada I
我剑·二	Minha Espada II
我剑·三	Minha Espada III
勾陈覆灭诀	Técnica de Aniquilação de Gouchen
碧光天星真言	Mantra da Estrela Celestial da Luz Verde
新境金刚神雷	Trovão Divino Diamante do Novo Reino
归藏卷	Rolo da Retirada
咒神密卷	Rolo Secreto do Deus dos Encantamentos
妙手	Mãos Habilidosas
咒神七签	Sete Talismãs do Deus dos Encantamentos
苍木崩天九卷	Nove Rolos do Colapso Celestial do Carvalho Azul
龙虎沃野药典	Compêndio de Ervas dos Campos Fertéis de Dragão e Tigre
气摄神功	Arte Divina da Captura de Qi
妙手丹方	Fórmulas Médicas das Mãos Habilidosas
甲乙多宝秘法	Técnica Secreta dos Muitos Tesouros de Jia e Yi
苍木百炼通卷	Tomo Completo das Cem Refinagens do Carvalho Azul
万木饕餮秘法	Técnica Secreta Glutona das Dez Mil Árvores
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Muitos Tesouros de Shaolin
忘情归祖秘要	Essenciais Secretos do Retorno aos Ancestrais sem Emoção
勾陈琢玉秘要	Essenciais Secretos do Lapidamento de Jade de Gouchen
金丹不坏真言	Mantra da Imortalidade do Elixir Dourado
碧光心光咒	Encantamento da Luz do Coração Verde
蓄神要诀	Segredos do Acúmulo Espiritual
迅影十式	Dez Formas da Sombra Veloz
坤元要诀	Segredos do Elemento Kunyuan
紫云宫破灭决	Técnica de Aniquilação do Palácio das Nuvens Roxas
过去庄严迅击宝典	Manual Solene do Golpe Rápido do Passado
青龙破灭十式	Dez Formas de Aniquilação do Dragão Azul
琢玉宝册	Tomo dos Tesouros Lapidados de Jade
多宝要诀	Segredos dos Muitos Tesouros
青龙多宝通卷	Tomo Completo dos Muitos Tesouros do Dragão Azul
苍木多宝通卷	Tomo Completo dos Muitos Tesouros do Carvalho Azul
玄机百炼宝册	Tomo dos Tesouros das Cem Refinagens Misteriosas
苍莽百炼秘传	Tradição Secreta das Cem Refinagens da Vastidão Selvagem
甲乙百炼秘法	Técnica Secreta das Cem Refinagens de Jia e Yi
过去庄严辟谷纪要	Resumo do Jejum Solene do Passado
灵犀咒	Mantra do Talo Espiritual
嵩山流光	Luz Fluente do Monte Song
太乙不朽诀	Segredos da Imortalidade da Suprema Unidade
彻法天星神雷	Trovão Divino Estelar da Purificação
入道心光	Luz do Coração no Caminho
迅影秘诀	Segredos da Sombra Veloz
蓄神剑	Espada do Acúmulo Espiritual
圆转宝典	Manual da Circulação Perfeita
修蛇破灭七式	Sete Formas de Aniquilação da Serpente Cultivada
百汇混元秘法	Técnica Secreta da Unificação das Cem Correntes
黄庭混元	Hun Yuan do Pátio Amarelo
五戒千钧七式	Sete Formas do Mil Jin das Cinco Preceitos
