拜祖师	Venerando os ancestrais
万里无云，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>夜观星象</font>时，突然流下眼泪。	Com o céu sem nuvens, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>observava as estrelas à noite</font>, de repente derramou lágrimas.
3天 22:21	3d 22:21
平旦之时，<font color=MYCOLOR>凤妹</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石墙</font>很有意思……	Ao amanhecer, <font color=MYCOLOR>凤妹</font> enquanto <font color=OBJCOLOR>olhava para o teto</font>, de repente achou que a <font color=OBJCOLOR>parede de Pedra Espiritual</font> ao lado era muito interessante……
4天 04:34	4d 04:34
凤	Feng
妹	Mei
远航	Yuanhang
车	Che
依亦	Yiyi
金衫罩	Veste Dourada
万籁俱静，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>书画</font>时，突然流下眼泪。	Com tudo em silêncio, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>praticava caligrafia e pintura</font>, de repente derramou lágrimas.
2天 00:06	2d 00:06
寅时，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>奏乐</font>时，突然流下眼泪。	À hora de Yin, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente derramou lágrimas.
3天 03:25	3d 03:25
<font color=MYCOLOR>昌志用</font>在和<font color=HECOLOR>毛依白</font>聊天时，<font color=HECOLOR>毛依白</font>突然发现了<font color=MYCOLOR>昌志用</font>身上的<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>。<font color=MYCOLOR>昌志用</font>与是向她聊起了<font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>的来历，<font color=HECOLOR>毛依白</font>听后啧啧称奇。	<font color=MYCOLOR>昌志用</font> enquanto conversava com <font color=HECOLOR>毛依白</font>, <font color=HECOLOR>毛依白</font> de repente notou o <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font> em <font color=MYCOLOR>昌志用</font>. <font color=MYCOLOR>昌志用</font> então começou a contar a ela a origem do <font color=OBJCOLOR><font color=OBJCOLOR>野猪皮薄下裳</font></font>, e <font color=HECOLOR>毛依白</font> ficou maravilhada.
3天 17:36	3d 17:36
天朗气清，<font color=MYCOLOR>昌志用</font>在<font color=OBJCOLOR>娱乐</font>时，突然心中一动，对天道又多了许多感悟。	Com o céu limpo, <font color=MYCOLOR>昌志用</font> enquanto <font color=OBJCOLOR>se divertia</font>, de repente foi tocado internamente, adquirindo ainda mais percepção do Tao.
4天 07:39	4d 07:39
万里无云，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>父亲昌学智</font>。	Com o céu sem nuvens, <font color=MYCOLOR>昌志用</font> tranquilamente <font color=OBJCOLOR>olhava para o teto</font>, de repente lembrou-se de seu <font color=OBJCOLOR>pai 昌学智</font>.
4天 14:12	4d 14:12
门派中，<font color=MYCOLOR>昌志用</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲宰父瑞</font>。	No clã, <font color=MYCOLOR>昌志用</font> tranquilamente <font color=OBJCOLOR>olhava para o teto</font>, de repente lembrou-se de sua <font color=OBJCOLOR>mãe 宰父瑞</font>.
4天 23:37	4d 23:37
昌	Chang
志用	Zhiyong
学智	Xuezhi
宰父	Zaifu
瑞	Rui
越	Yue
心	Xin
镇岳公子	Príncipe da Montanha
晴空万里，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>读书品卷</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	Com o céu sem nuvens, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>lia rolos</font>, de repente teve vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
2天 08:03	2d 08:03
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	No clã, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>tocava música</font>, não pôde deixar de cantar suavemente.
2天 22:54	2d 22:54
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>olhava para o teto</font>, de repente sentiu uma irritação inexplicável.
3天 02:18	3d 02:18
正午之时，<font color=MYCOLOR>干栋</font>静静的<font color=OBJCOLOR>看天花板</font>，突然想起自己的<font color=OBJCOLOR>母亲晋黛</font>。	Ao meio-dia, <font color=MYCOLOR>干栋</font> tranquilamente <font color=OBJCOLOR>olhava para o teto</font>, de repente lembrou-se de sua <font color=OBJCOLOR>mãe 晋黛</font>.
3天 11:00	3d 11:00
门派中，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>书画</font>时，脑海中突然浮现<font color=OBJCOLOR>钭世</font>的模样。	No clã, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>praticava caligrafia e pintura</font>, de repente teve a imagem de <font color=OBJCOLOR>钭世</font> em sua mente.
3天 18:42	3d 18:42
门派中，<font color=MYCOLOR>干栋</font>一个人<font color=OBJCOLOR>看天花板</font>，突然思绪万千。	No clã, <font color=MYCOLOR>干栋</font> sozinho <font color=OBJCOLOR>olhava para o teto</font>, de repente ficou imerso em pensamentos.
4天 07:41	4d 07:41
子夜时分，<font color=MYCOLOR>干栋</font>在<font color=OBJCOLOR>奏乐</font>时，忍不住轻声和唱了起来。	À meia-noite, <font color=MYCOLOR>干栋</font> enquanto <font color=OBJCOLOR>tocava música</font>, não pôde deixar de cantar suavemente.
4天 23:25	4d 23:25
干	Gan
栋	Dong
裕	Yu
晋	Jin
裘	Qiu
婕	Jie
丹霞障	Barreira do Crepúsculo
门派中，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>凝神望天</font>时，突然想吃<font color=OBJCOLOR>母猫粪便</font>。	No clã, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>concentrava-se em olhar para o céu</font>, de repente teve vontade de comer <font color=OBJCOLOR>fezes de gata</font>.
3天 00:12	3d 00:12
日斜心慵，<font color=MYCOLOR>姬彭亮</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得旁边的<font color=OBJCOLOR>灵石琴台</font>很有意思……	Com o sol inclinado e o coração preguiçoso, <font color=MYCOLOR>姬彭亮</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente achou que a <font color=OBJCOLOR>mesa de cítara da Pedra Espiritual</font> ao lado era muito interessante……
3天 13:48	3d 13:48
<font color=MYCOLOR>姬彭亮</font>因<font color=OBJCOLOR>多姿多彩</font>心情不错，忍不住来<font color=OBJCOLOR>奏乐</font>抒怀。	<font color=MYCOLOR>姬彭亮</font> por estar de bom humor devido à <font color=OBJCOLOR>vitalidade</font>, não pôde deixar de ir a <font color=OBJCOLOR>tocar música</font> para desabafar.
4天 11:16	4d 11:16
姬	Ji
彭亮	Pengliang
子轩	Zixuan
冷雪	Lengxue
秦	Qin
御木灵宝	Tesouro de Madeira
亥时，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然流下眼泪。	À hora de Hai, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava para o teto</font>, de repente derramou lágrimas.
1天 22:55	1d 22:55
万里无云，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>下棋</font>时，突然觉得很气闷。	Com o céu sem nuvens, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente sentiu-se muito desanimada.
3天 22:38	3d 22:38
门派中，<font color=MYCOLOR>水雅绿</font>在<font color=OBJCOLOR>看天花板</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>水雅绿</font> enquanto <font color=OBJCOLOR>olhava para o teto</font>, de repente sentiu uma irritação inexplicável.
4天 01:23	4d 01:23
雅绿	Yalü
壬水娘子	Mulher da Água
天朗气清，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>观云卷云舒</font>时，突然发出一声长叹。	Com o céu limpo, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>observava as nuvens se desenrolarem</font>, de repente soltou um longo suspiro.
2天 16:46	2d 16:46
门派中，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然觉得莫名烦躁。	No clã, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente sentiu uma irritação inexplicável.
2天 17:46	2d 17:46
晴空万里，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>下棋</font>时，突然想去<font color=OBJCOLOR>天极峰</font>看看。	Com o céu sem nuvens, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>jogava xadrez</font>, de repente teve vontade de ir ver o <font color=OBJCOLOR>Pico do Extremo Céu</font>.
3天 04:23	3d 04:23
日禺之时，<font color=MYCOLOR>郜世</font>在<font color=OBJCOLOR>奏乐</font>时，突然想吃<font color=OBJCOLOR>饮气丹</font>。	Durante a hora de Ri Yu, <font color=MYCOLOR>郜世</font> enquanto <font color=OBJCOLOR>tocava música</font>, de repente teve vontade de comer <font color=OBJCOLOR>Pílula de Ingestão de Qi</font>.
4天 09:16	4d 09:16
正午之时，<font color=MYCOLOR>郜世</font>一个人<font color=OBJCOLOR>奏乐</font>，突然思绪万千。	Ao meio-dia, <font color=MYCOLOR>郜世</font> sozinho <font color=OBJCOLOR>tocava música</font>, de repente ficou imerso em pensamentos.
4天 11:21	4d 11:21
<font color=MYCOLOR>郜世</font>被<font color=OBJCOLOR>需要房间</font>的情绪困扰，只能<font color=OBJCOLOR>下棋</font>来放空心灵。	<font color=MYCOLOR>郜世</font> foi atormentado pela emoção de <font color=OBJCOLOR>necessitar de um quarto</font>, e só pôde <font color=OBJCOLOR>jogar xadrez</font> para esvaziar a mente.
4天 17:11	4d 17:11
郜	Gao
和	He
於	Yu
云	Yun
燃魂柱	Queimador de Almas
肆叁伍叁贰贰零玖贰	
扫地	Varrer o Chão
七七七	777
神秘大能	Poder Misterioso
教学	Ensino
门	Escola
江湖秘闻	Segredo do Mundo
天苍246年 春 第9日	Tian Cang 246, Primavera, Dia 9
据传大漠深处突然天崩地裂，上古时期妖族圣地龙崖石刻再现人间！	Diz-se que, nas profundezas do grande deserto, de repente o céu desabou e a terra se partiu, e as inscrições em pedra do penhasco do dragão, santuário sagrado da raça demoníaca dos tempos antigos, reapareceram no mundo!
天苍246年 春 第12日	Tian Cang 246, Primavera, Dia 12
陶飞心境不稳	O estado de espírito de 陶飞 está instável
韶兴遇到瓶颈	韶兴 encontrou um gargalo
项辉遇到瓶颈	项辉 encontrou um gargalo
奚顺遇到瓶颈	奚顺 encontrou um gargalo
郜世遇到瓶颈	郜世 encontrou um gargalo
姬彭亮遇到瓶颈	姬彭亮 encontrou um gargalo
昌志用遇到瓶颈	昌志用 encontrou um gargalo
钭世遇到瓶颈	钭世 encontrou um gargalo
熊子石遇到瓶颈	熊子石 encontrou um gargalo
陶飞遇到瓶颈	陶飞 encontrou um gargalo
干栋遇到瓶颈	干栋 encontrou um gargalo
水雅绿遇到瓶颈	水雅绿 encontrou um gargalo
韶兴突破瓶颈成功	韶兴 superou o gargalo com sucesso
项辉突破瓶颈成功	项辉 superou o gargalo com sucesso
奚顺突破瓶颈成功	奚顺 superou o gargalo com sucesso
郜世突破瓶颈成功	郜世 superou o gargalo com sucesso
姬彭亮突破瓶颈成功	姬彭亮 superou o gargalo com sucesso
昌志用突破瓶颈成功	昌志用 superou o gargalo com sucesso
钭世突破瓶颈成功	钭世 superou o gargalo com sucesso
干栋突破瓶颈成功	干栋 superou o gargalo com sucesso
水雅绿突破瓶颈成功	水雅绿 superou o gargalo com sucesso
存档写入完成	Jogo Salvo
门派传闻	Rumor da Seita
据传百蛮山的大能蓟语山在稻香村出没。	Diz-se que o poderoso de 百蛮山, 蓟语山, aparece em 稻香村.
据传丹霞洞天的大能平坚在雪风原出没。	Diz-se que o poderoso de 丹霞洞天, 平坚, aparece em 雪风原.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Diz-se que, na Seita do Caminho Correto, um venerável ascendente repentinamente desceu grandes bênçãos, fazendo a força da seita aumentar significativamente.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Diz-se que, na Seita do Caminho Correto, ao encontrar a caverna de um cultivador de artefatos antigos e obter muitos artefatos espirituais que abrigam o espírito primordial, a força da seita aumentou significativamente.
灵石护山剑阵正被攻击	O Escudo de Espadas da Pedra Espiritual está sendo atacado
灵石墙正被攻击	A Muralha da Pedra Espiritual está sendo atacada
理气丹	Pílula de Regulação do Qi
理气丹正在发挥药效	A Pílula de Regulação do Qi está fazendo efeito
赋灵术	Técnica de Infusão Espiritual
五泉涤心法	Método das Cinco Fontes de Purificação do Coração
先天罡气	Qi Preexistente
化伤术	Técnica de Cura de Ferimentos
天霖诀	Técnica da Chuva Celestial
天一真法	Verdadeira Técnica Tianyi
水镜观心定	Meditação do Coração no Espelho d'Água
同风诀	Técnica do Vento Comum
归海诀	Técnica do Retorno ao Mar
九阴真水界	Reino da Verdadeira Água dos Nove Yin
罡煞合流	Confluência do Qi Letal
新境神佑书	Livro da Proteção Divina do Novo Reino
紫火千钧剑诀	Técnica da Espada de Fogo Roxo de Mil Quilos
五方神雷	Relâmpago Divino dos Cinco Lados
紫火落花	Fogo Roxo das Flores Caídas
丁火落花真言	Verdadeiro Feitiço das Flores Caídas de Fogo de Ding
多宝流光真言	Verdadeiro Feitiço do Fluxo de Luz dos Muitos Tesouros
混元要诀	Segredo da Origem Primordial
少量的	Ligeiramente
混元十三式	Os Treze Movimentos da Origem Primordial
破灭秘诀	Segredo da Aniquilação
曳影	Sombra Arrastada
五戒坤元	Cinco Preceitos da Origem Terrestre
中量的	Moderadamente
御气混元宝典	Manual do Domínio do Qi e da Origem Primordial
赤炎圆转剑诀	Técnica da Espada do Giro Circular de Fogo Escarlate
五台混元七式	Os Sete Movimentos da Origem Primordial dos Cinco Pavilhões
三才坤元十三式	Os Treze Movimentos da Origem Terrestre dos Três Talentos
大量的	Em grande quantidade
未来星宿千钧宝典	Manual dos Mil Quilos da Constelação Futura
嵩山坤元秘要	Segredo Essencial da Origem Terrestre de Songshan
佛心书	Livro do Coração Budista
鄂芸上仙归祖经	Clássico do Retorno dos Antepassados do Imortal 鄂芸
哈氏神佑秘要	Segredo Essencial da Proteção Divina Ha
微草神农通卷	Compilado das Ervas de Shennong
五内多宝宝典	Clássico dos Muitos Tesouros Internos
赤月合一秘要	Segredo Essencial da União da Lua Escarlate
五内饕餮神功	Poder Divino do Voraz Interno
阴神夺舍	Possessão Menor
冥灵真法	Magia Verdadeira do Espírito Sombrio
天道神丹	Pílula Divina do Caminho Celestial
天道神器	Artefato Divino do Caminho Celestial
长生圆转剑	Espada da Rotação Eterna
入定之术	Técnica de Meditação
断岳覆天诀	Técnica de Quebra de Montanha e Cobertura do Céu
勾陈流光	Luz Fluente de Goushen
经之柔上仙金刚咒	Feitiço do Sutra Suave do Imortal Superior
紫薇流光真言	Verdadeiro Feitiço da Luz Fluente de Ziwei
金刚经	Sutra do Diamante
奠基宝典	Manual Fundamental
金刚宝典	Manual do Diamante
金刚秘册	Índice Secreto do Diamante
东海金刚秘要	Pontos Secretos do Diamante do Mar Oriental
玄关金刚宝典	Manual Secreto do Diamante do Portal Misterioso
白虎奠基	Fundamento do Tigre Branco
御气金刚	Poder do Diamante do Qi
庚辛金刚密卷	Rolo Secreto do Diamante de Gengxin
断岳奠基秘要	Pontos Secretos do Fundamento da Quebra de Montanha
神佑册	Índice da Proteção Divina
辟谷密卷	Rolo Secreto do Fechamento de Estômago
五内鲸吞纪要	Resumo da Engolida das Cinco Entranhas
龙虎佛心书	Livro do Coração do Buda do Dragão e Tigre
阴阳佛心记	Registro do Coração do Buda de Yin e Yang
庚辛清心经	Coração Claro de Gengxin
寒月摄神秘法	Técnica Secreta de Captura da Mente da Lua Fria
海量的	Massivamente
须雅芝上仙清心秘要	Pontos Secretos da Mente Clara do Imortal Xū Yǎzhī
白虎饕餮要诀	Técnicas Secretas do Tigre Branco e da Fome Larga
灵息诀	Técnica do Espírito Vital
鼎炉吸真术	Técnica de Absorção Verdadeira do Forno Triplo
再造术	Técnica de Renascimento
尘暴术	Técnica da Tempestade de Poeira
求雨术	Técnica de Invocação de Chuva
甘霖术	Técnica da Chuva Benéfica
风水鉴定	Avaliação de Feng Shui
太和御气诀	Técnica do Qi Supremo
清心咒	Feitiço de Clareza Mental
御木诀	Técnica do Controle da Madeira
天水化伤术	Técnica de Cura das Feridas com Água Celestial
采水诀	Técnica de Coleta de Água
玄牝重生法	Técnica de Renascimento do Útero Misterioso
乘风诀	Técnica de Cavalgar o Vento
奔流诀	Técnica do Fluxo Rápido
水精真形	Verdadeira Forma do Espírito da Água
水气真形	Verdadeira Forma do Qi da Água
水神真形	Verdadeira Forma do Deus da Água
暴雨术	Técnica da Tempestade de Chuva
玄魂造命	Técnica da Criação da Alma Misteriosa
醍醐灌顶之术	Técnica do Néctar Divino
玄金五气真言	Verdadeiro Feitiço dos Cinco Qi do Ouro Misterioso
勾陈三花咒	Feitiço das Três Flores de Goushen
紫云宫流光咒	Feitiço da Luz Fluente do Palácio de Nuvens Púrpuras
奠基经	Sutra Fundacional
金刚要诀	Técnicas Secretas do Diamante
奠基秘要	Pontos Secretos do Fundamento
玄金奠基秘册	Caderno Secreto do Fundamento do Ouro Misterioso
入道奠基经	Sutra Fundacional do Caminho
庚金金刚	Diamante de Gengjin
断岳奠基宝典	Manual Fundacional da Quebra de Montanha
断岳金刚宝典	Manual do Diamante da Quebra de Montanha
化形金刚	Transformação do Diamante
辟谷宝典	Manual de Fechamento de Estômago
叶厚上仙神视神功	Poder Divino de Visão do Imortal Yè Hòu
御气清心经	Coração Claro do Qi Supremo
赤霄宫合一册	Livro de União do Palácio de Chìxiāo
入道归祖神功	Poder Divino do Caminho de Retorno aos Ancestrais
玄机神视秘要	Pontos Secretos da Visão Divina Misteriosa
归真鲸吞要诀	Técnicas Secretas do Retorno à Verdade e Engolida das Baleias
天魔解体大法	Grande Técnica de Dissolução do Demônio Celestial
炼制灵石之术	Técnica de Refinamento de Pedras Espirituais
玄机流光真言	Verdadeiro Feitiço da Luz Fluente Misteriosa
金丹流光	Luz Fluente da Pílula Dourada
迅影	Sombra Rápida
混元秘法	Técnica Secreta do Caos Primordial
寒月坤元决	Técnica de Unidade do Caos da Lua Fria
五戒千钧剑诀	Técnica da Espada dos Cinco Mandamentos
彻法混元十式	Dez Técnicas do Caos Primordial
多宝通卷	Rolo Completo do Tesouro Incontável
百炼秘要	Pontos Secretos das Cem Refinagens
饕餮	Devorador Insaciável
龙虎鬼手通卷	Rolo Completo das Mãos Demoníacas do Dragão e Tigre
真丹多宝	Pílula Verdadeira do Tesouro Incontável
三才多宝纲要	Resumo do Tesouro Incontável dos Três Talentos
六气圆转十三式	Dezesseis Estilos de Rotação dos Seis Qi
献祭	Sacrifício
精火筑灵	Construção Espiritual com Fogo Puro
逆浪天星咒	Feitiço da Estrela Celestial contra a Maré
少林金刚神雷	Relâmpago Divino do Diamante de Shaolin
金刚	Diamante
奠基要诀	Técnicas Secretas do Fundamento
修蛇金刚宝典	Manual do Diamante da Serpente
五内奠基宝典	Manual Fundacional das Cinco Entranhas
知节奠基经	Sutra Fundacional da Sabedoria do Ritmo
万源归真金刚宝典	Manual do Diamante do Retorno à Verdade de Wanyuan
南海奠基	Fundamento do Mar do Sul
紫薇金刚密卷	Rolo Secreto do Diamante de Ziwei
凌霄奠基秘要	Pontos Secretos do Fundamento de Lingxiao
百汇奠基秘法	Técnica Secreta do Fundamento de Baihui
沃野丹方	Fórmula de Pílula do Campo Fértil
星辰合一册	Livro da União das Estrelas
壬水合一书	Livro da União das Águas Ren
凌霄合一册	Livro da União de Lingxiao
逆浪清心神功	Poder Divino de Clareza Mental contra a Maré
文盛真人摄神册	Livro de Captura da Mente do Verdadeiro Imortal Wén Shèng
百汇佛心	Buda Coração de Baihui
大衍神算	Cálculo Derivativo
分神之术	Técnica de Separação da Mente
庚金决意秘传	Transmissão Secreta da Determinação de Gengjin
赤日三花诀	Técnica das Três Flores do Sol Vermelho
奠基密卷	Rolo Secreto do Fundamento
天金金刚经	Sutra do Diamante do Ouro Celestial
玄金金刚秘要	Pontos Secretos do Diamante de Ouro Misterioso
龙虎金刚	Diamante do Dragão e Tigre
勾陈奠基	Fundamento de Goushen
百草阁金刚秘法	Técnicas Secretas do Diamante da Casa das Cem Ervas
饕餮纪要	Resumo do Devorador Insaciável
多宝	Tesouro Incontável
阴阳鬼手秘传	Transmissão Secreta das Mãos Demoníacas de Yin e Yang
金雷鬼手宝典	Manual das Mãos Demoníacas do Relâmpago Dourado
寒月百炼通卷	Rolo Completo da Forja da Lua Fria
炎神殿鬼手纲要	Resumo das Mãos Demoníacas do Templo do Deus do Fogo
御气万古秘要	Pontos Secretos do Qi Eterno
阴阳神佑秘要	Pontos Secretos da Proteção Divina de Yin e Yang
魂体寄生	Parasitismo da Alma
武当佛心典	Livro do Coração do Buda de Wudang
星辰五方	As Cinco Direções das Estrelas
陨星诀	Técnica da Estrela Cadente
逆浪不坏真言	Verdadeiro Feitiço Contra a Maré Imortal
曳影七式	Sete Estilos da Sombra Fluente
归祖要诀	Técnica Secreta do Retorno aos Ancestrais
勾陈气摄秘法	Técnica Secreta de Captura do Qi de Goushen
壬癸神佑	Proteção Divina de Ren e Gui
凝光鬼手宝典	Manual das Mãos Demoníacas da Luz Concentrada
惊波百炼宝册	Livro das Cem Forjas da Onda Surpreendente
修蛇归祖密卷	Rolo Secreto do Retorno aos Ancestrais da Serpente
玄武神视纪要	Resumo da Visão Divina de Xuanwu
冷月急诵秘法	Técnica Secreta de Recitação Urgente da Lua Fria
腾岳覆天	Técnica de Montar a Montanha e Cobrir o Céu
破灭	Destruição
破灭密卷	Rolo Secreto da Destruição
气摄宝典	Manual de Captura de Qi
勾陈决意要诀	Técnica Secreta da Determinação de Goushen
彻法归祖秘要	Pontos Secretos da Técnica de Retorno aos Ancestrais
华山万古神功	Poder Divino Eterno da Montanha Hua
伐毛洗髓之术	Técnica de Aparar os Pelos e Lavar a Medula
彻法不朽	Técnica de Imortalidade Completa
化形金刚神雷	Relâmpago Divino do Diamante da Transformação
奠基秘册	Caderno Secreto do Fundamento
长生金刚秘要	Pontos Secretos do Diamante da Vida Eterna
黄庭金刚秘法	Técnica Secreta do Diamante do Salão Amarelo
新境奠基经	Sutra Fundacional do Novo Reino
少林金刚经	Sutra do Diamante de Shaolin
大日奠基秘要	Pontos Secretos do Fundamento do Grande Sol
佛心秘法	Técnica Secreta do Coração do Buda
合一秘要	Pontos Secretos da União
长生通慧记	Registro da Sabedoria Eterna
南海佛心典	Livro do Coração do Buda do Mar do Sul
玄关神农	Xuan Guan Shen Nong
断岳鲸吞秘要	Pontos Secretos da Engolida da Quebra de Montanha
化形神佑典	Livro da Proteção Divina da Transformação
太乙清心经	Coração Claro do Sutra de Taiyi
托体同山诀	Técnica do Corpo Unido com a Montanha
西海九极咒	Feitiço dos Nove Extremos do Mar Ocidental
咒神宝典	Manual dos Feitiços Divinos
崩天卷	Rolo da Destruição do Céu
多宝秘传	Transmissão Secreta do Tesouro Incontável
多宝宝册	Livro do Tesouro Incontável
天金摄神册	Livro de Captura da Mente do Ouro Celestial
未来星宿百炼秘传	Transmissão Secreta da Forja das Estrelas Futuras
辛金百炼秘传	Transmissão Secreta da Forja de Xin Jin
断岳多宝宝册	Livro do Tesouro Incontável da Quebra de Montanha
玄机多宝	Tesouro Incontável Misterioso
天魔化身术	Técnica da Transformação do Demônio Celestial
开天眼之术	Técnica da Abertura do Olho Celestial
通符书	Livro de Símbolos
云气汇流	Convergência de Qi das Nuvens
剑符录	Livro dos Símbolos da Espada
玄符录	Livro dos Símbolos Misteriosos
天甲符	Símbolo do Armamento Celestial
咒符录	Livro dos Símbolos dos Feitiços
神咒符	Símbolo dos Feitiços Divinos
结云经	Sutra dos Nuvens Unidas
祈天经	Sutra de Oração ao Céu
通天符法	Técnica dos Símbolos Celestiais
天真论	Tema da Pureza Celestial
无上神符	Símbolo Supremo Divino
借天符	Símbolo de Empréstimo Celestial
遮天符	Símbolo de Escudo Celestial
云行法	Técnica da Caminhada das Nuvens
东木分神书	Livro da Separação da Mente da Madeira Oriental
天岭金刚真言	Verdadeiro Feitiço do Diamante da Montanha Celestial
戊土八极真言	Verdadeiro Feitiço dos Oito Extremos da Terra Wù
归家五方诀	Técnica das Cinco Direções do Retorno ao Lar
坤元九极神雷	Relâmpago Divino dos Nove Extremos de Kunyuan
千钧十三式	Dezesseis Estilos do Peso de Mil Qún
曳影式	Técnica da Sombra Fluente
破灭要诀	Técnica Secreta da Destruição
神农宝典	Manual Divino de Shen Nong
摄神	Captura da Mente
万里多宝	Tesouro Incontável de Dez Mil Milhas
五内琢玉通卷	Rolo Completo do Polimento de Jade das Cinco Entranhas
凌霄佛心要诀	Técnicas Secretas do Coração do Buda de Lingxiao
己土辟谷要诀	Técnica Secreta de Fechamento de Estômago de Ji Tu
炎神殿通慧要诀	Técnica Secreta de Sabedoria do Templo do Deus do Fogo
东海神佑要诀	Técnica Secreta da Proteção Divina do Mar Oriental
风月幻境	Visão Fantástica de Vento e Lua
真丹金刚	Pílula Verdadeira do Diamante
长生陨星诀	Técnica da Estrela Cadente Eterna
崩天	Destruição do Céu
急诵秘要	Técnicas Secretas de Recitação Urgente
崩天秘诀	Segredos da Destruição do Céu
华山归藏密卷	Rolo Secreto do Retorno e Armazenamento da Montanha Hua
摄神册	Livro de Captura da Mente
入道鬼手要诀	Técnica Secreta das Mãos Demoníacas do Caminho
多宝神农	Tesouro Incontável de Shen Nong
造化饕餮神功	Poder Divino do Devorador Insaciável da Criação
戊己神佑要诀	Técnica Secreta da Proteção Divina de Wuji
五印刻神	Gravação Divina dos Cinco Selos
行疆神视秘传	Transmissão Secreta da Visão Divina de Xingjiang
知节金刚咒	Feitiço do Diamante da Sabedoria do Ritmo
现在贤流光真言	Verdadeiro Feitiço da Luz Fluente do Imortal Atual
戊土金刚咒	Feitiço do Diamante de Wùtǔ
急诵	Recitação Urgente
咒神九卷	Nove Rolos dos Feitiços Divinos
归祖	Retorno aos Ancestrais
通慧册	Livro da Sabedoria
琢玉通卷	Rolo Completo do Polimento do Jade
行疆佛心典	Livro do Coração do Buda de Xingjiang
东华多宝秘传	Transmissão Secreta do Tesouro Incontável de Donghua
和春枫真人神佑典	Livro da Proteção Divina do Verdadeiro Imortal He Chunfeng
玄关合一秘法	Técnica Secreta da União do Portal Misterioso
真丹佛心册	Livro do Coração do Buda da Pílula Verdadeira
镇岳鬼手纲要	Resumo das Mãos Demoníacas do Templo do Tigre
六气饕餮神功	Poder Divino do Devorador Insaciável dos Seis Qi
驱云诀	Técnica de Expulsão das Nuvens
行疆陨星咒	Feitiço da Estrela Cadente de Xingjiang
阴阳天星咒	Feitiço da Estrela Celestial de Yin e Yang
化影神雷	Relâmpago Divino da Transformação da Sombra
迅击要诀	Técnica Secreta do Ataque Rápido
迅影宝典	Manual das Sombras Rápidas
迅击决	Técnica do Golpe Rápido
千钧密卷	Rolo Secreto do Peso Mil Qún
西海混元	Chaos Primordial do Mar Ocidental
神视秘法	Técnica Secreta da Visão Divina
麒麟归祖	Retorno do Qilin aos Ancestrais
现在贤清心要诀	Técnica Secreta da Clareza Mental do Imortal Atual
